Sample ID	Sample Composite Start	Sample Composite End	Sample Received Date	Sample Flow (MGD)	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)
N02-0210	12/07/2022 07:00 AM	12/08/2022 07:00 AM	12/09/2022	8.56	Flu A	15255.4353140294	Flu B	0
A01-0430	12/06/2022 12:00 AM	12/07/2022 12:00 AM	12/09/2022	17.2	Flu A	18568.3085024357	Flu B	0
M04-0136	11/16/2022 12:00 AM	11/17/2022 12:00 AM	12/14/2022	0.118	Flu A	2053.74315613881	Flu B	0
M04-0134	11/15/2022 12:00 AM	11/16/2022 12:00 AM	12/14/2022	0.173	Flu A	17454.1449733078	Flu B	0
H01-0422	12/02/2022 08:00 AM	12/03/2022 08:00 AM	12/09/2022	1.8	Flu A	13270.9156349301	Flu B	2211.52752405032
B01-0283	11/27/2022 07:00 AM	11/28/2022 07:00 AM	12/14/2022	10.5	Flu A	81905.2478671075	Flu B	2153.35191227496
G01-0282	12/06/2022 09:00 AM	12/07/2022 09:00 AM	12/09/2022	0.765	Flu A	64520.2551037071	Flu B	0
C01-0322	12/06/2022 07:00 AM	12/07/2022 07:00 AM	12/13/2022	5.542	Flu A	50676.7328828574	Flu B	0
B01-0278	12/06/2022 07:00 AM	12/07/2022 07:00 AM	12/14/2022	13.01	Flu A	43943.5820281505	Flu B	0
A04-0223	12/07/2022 08:00 AM	12/08/2022 08:00 AM	12/09/2022	1.367	Flu A	32282.0348292589	Flu B	0
A04-0228	12/09/2022 08:00 AM	12/10/2022 08:00 AM	12/12/2022	0.699	Flu A	114319.431334734	Flu B	0
E01-0213	11/30/2022 12:00 PM	12/01/2022 12:00 PM	12/08/2022	2.781	Flu A	21457.7015116811	Flu B	0
C01-0325	12/11/2022 07:00 AM	12/12/2022 07:00 AM	12/13/2022	6.327	Flu A	23444.755487144	Flu B	0
A02-0854	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	0	Flu B	0
B01-0276	11/29/2022 07:00 AM	11/30/2022 07:00 AM	12/09/2022	9.135	Flu A	16895.6474214792	Flu B	0
A02-0856	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	2622.8459738195	Flu B	0
H01-0425	12/05/2022 08:00 AM	12/06/2022 08:00 AM	12/09/2022	1.6	Flu A	56020.3843563795	Flu B	0
A04-0229	12/12/2022 08:00 AM	12/13/2022 08:00 AM	12/14/2022	0.579	Flu A	44313.3578449488	Flu B	0
E01-0214	12/05/2022 08:30 AM	12/06/2022 08:30 AM	12/08/2022	2.955	Flu A	29956.2323838472	Flu B	0
B01-0288	11/28/2022 07:00 AM	11/29/2022 07:00 AM	12/14/2022	5.11	Flu A	63227.7066260577	Flu B	0
C01-0324	12/08/2022 07:00 AM	12/09/2022 07:00 AM	12/13/2022	6.871	Flu A	27854.7560423612	Flu B	0
A02-0930	12/10/2022 09:00 AM	12/12/2022 09:00 AM	12/12/2022	NA	Flu A	2180.34928198904	Flu B	0
H01-0423	12/03/2022 08:00 AM	12/04/2022 08:00 AM	12/09/2022	1.9	Flu A	13532.2921536863	Flu B	0
A02-0855	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	6147.0722593367	Flu B	2048.92393201589
C01-0323	12/07/2022 07:00 AM	12/08/2022 07:00 AM	12/13/2022	8.489	Flu A	16047.1677593887	Flu B	0
A04-0227	12/08/2022 08:00 AM	12/09/2022 08:00 AM	12/09/2022	0.83	Flu A	18085.879124701	Flu B	0
E01-0215	12/06/2022 08:30 AM	12/07/2022 08:30 AM	12/08/2022	6.927	Flu A	5956.33699558676	Flu B	0
H01-0426	12/07/2022 08:00 AM	12/08/2022 08:00 AM	12/09/2022	2	Flu A	77503.8492679595	Flu B	0
H01-0424	12/04/2022 08:00 AM	12/05/2022 08:00 AM	12/09/2022	1.7	Flu A	0	Flu B	2217.37766638398
C01-0321	12/05/2022 07:00 AM	12/06/2022 07:00 AM	12/13/2022	6.114	Flu A	42916.0018265249	Flu B	0
H01-0421	12/01/2022 08:00 AM	12/02/2022 08:00 AM	12/09/2022	1.8	Flu A	15638.3009254932	Flu B	0
A02-0926	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	0	Flu B	0
A02-0924	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	2266.17455016822	Flu B	0
B01-0347	12/12/2022 07:00 AM	12/13/2022 07:00 AM	12/14/2022	7.931	Flu A	31882.3252245784	Flu B	0
A02-0932	12/10/2022 09:00 AM	12/12/2022 09:00 AM	12/12/2022	NA	Flu A	2066.60402007401	Flu B	0
A02-0923	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	0	Flu B	0
J01-0191	12/09/2022 07:30 AM	12/10/2022 07:30 AM	12/14/2022	0.151	Flu A	2071.19975471869	Flu B	0
B01-0298	11/30/2022 07:00 AM	12/01/2022 07:00 AM	12/09/2022	11.916	Flu A	6461.05161868034	Flu B	0
H01-0430	12/06/2022 08:00 AM	12/07/2022 07:00 AM	12/09/2022	2.1	Flu A	19146.0495069623	Flu B	2126.90689601004
A02-0921	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	4888.23937252163	Flu B	0
Q01-0197	12/04/2022 08:00 AM	12/05/2022 08:00 AM	12/08/2022	0.371	Flu A	20457.7363282442	Flu B	0
A02-0937	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	10539.3327400088	Flu B	2107.65455150977
N02-0221	11/29/2022 07:00 AM	11/30/2022 07:00 AM	12/09/2022	8.569	Flu A	4025.33269487323	Flu B	0
D01-0207	12/11/2022 07:30 AM	12/12/2022 07:30 AM	12/13/2022	1.16	Flu A	16368.585973978	Flu B	0
A01-0435	12/12/2022 12:00 AM	12/13/2022 12:00 AM	12/14/2022	8.6	Flu A	55822.2442120314	Flu B	0
A02-0925	12/12/2022 09:00 AM	12/14/2022 09:00 AM	12/14/2022	NA	Flu A	1658996.57964706	Flu B	0
D01-0213	12/06/2022 07:30 AM	12/07/2022 07:30 AM	12/13/2022	1.17	Flu A	41767.6714807747	Flu B	0
N02-0225	12/06/2022 07:00 AM	12/07/2022 07:00 AM	12/09/2022	10.85	Flu A	10275.7659181952	Flu B	0
G01-0291	12/04/2022 09:00 AM	12/05/2022 09:00 AM	12/09/2022	0.777	Flu A	63593.6857759954	Flu B	0
N02-0209	12/01/2022 07:00 AM	12/02/2022 07:30 AM	12/09/2022	9.36	Flu A	2209.77849327028	Flu B	0
A01-0431	12/07/2022 12:00 AM	12/08/2022 12:00 AM	12/09/2022	12.5	Flu A	48501.3362020252	Flu B	0
A02-0939	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	23788.3134931326	Flu B	0
Q01-0199	12/06/2022 08:00 AM	12/07/2022 08:00 AM	12/08/2022	0.623	Flu A	10586.7199413478	Flu B	0
A01-0433	12/10/2022 12:00 AM	12/11/2022 12:00 AM	12/12/2022	9.5	Flu A	117163.686901331	Flu B	0
B01-0292	12/01/2022 07:00 AM	12/02/2022 07:00 AM	12/09/2022	7.4	Flu A	17206.9242037833	Flu B	0
A02-0938	12/07/2022 09:00 AM	12/09/2022 09:00 AM	12/09/2022	NA	Flu A	15497.0481432974	Flu B	2213.51318294182
G01-0296	12/02/2022 09:00 AM	12/03/2022 09:00 AM	12/09/2022	0.716	Flu A	108263.535350561	Flu B	0
Q01-0198	12/05/2022 08:00 AM	12/06/2022 08:00 AM	12/08/2022	0.355	Flu A	12212.6457095146	Flu B	0
A01-0434	12/11/2022 12:00 AM	12/12/2022 12:00 AM	12/14/2022	9.1	Flu A	96923.7832725046	Flu B	0
N02-0216	12/04/2022 07:00 AM	12/05/2022 07:00 AM	12/09/2022	8.56	Flu A	4874.87831152975	Flu B	0
