assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
N02-0427.a1	N02-0427.e1	N02-0427	AB15	E06	5	unknown	sample			sample			18181		0	
N02-0427.a2	N02-0427.e1	N02-0427	AB15	E06	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18181	0	0	
N02-0427.a3	N02-0427.e1	N02-0427	AB15	E06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18181	0	0.34597510099411	
E01-0402.a1	E01-0402.e1	E01-0402	AB15	B06	5	unknown	sample			sample			19641		0	
E01-0402.a2	E01-0402.e1	E01-0402	AB15	B06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19641	0	0	
E01-0402.a3	E01-0402.e1	E01-0402	AB15	B06	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	19641	0	0	
A01-0805.a1	A01-0805.e1	A01-0805	AB15	D05	5	unknown	sample			sample			17379		0	
A01-0805.a2	A01-0805.e1	A01-0805	AB15	D05	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	17379	0	0.796412765979767	
A01-0805.a3	A01-0805.e1	A01-0805	AB15	D05	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	17379	0	0	
T01-0253.a1	T01-0253.e1	T01-0253	AB15	C06	5	unknown	sample			sample			18426		0	
T01-0253.a2	T01-0253.e1	T01-0253	AB15	C06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18426	0	1.57108914852142	
T01-0253.a3	T01-0253.e1	T01-0253	AB15	C06	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18426	0	0	
E01-0399.a1	E01-0399.e1	E01-0399	AB15	G05	5	unknown	sample			sample			14803		0	
E01-0399.a2	E01-0399.e1	E01-0399	AB15	G05	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	14803	0	0	
E01-0399.a3	E01-0399.e1	E01-0399	AB15	G05	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	14803	0	0.169958338141441	
C01-0602.a1	C01-0602.e1	C01-0602	AB15	D07	5	unknown	sample			sample			18966		0	
C01-0602.a2	C01-0602.e1	C01-0602	AB15	D07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18966	0	0.0663236752152443	
C01-0602.a3	C01-0602.e1	C01-0602	AB15	D07	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18966	0	0	
K01-0360.a1	K01-0360.e1	K01-0360	AB15	A08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18692	0	0	
K01-0360.a2	K01-0360.e1	K01-0360	AB15	A08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18692	0	0.673121213912964	
K01-0360.a3	K01-0360.e1	K01-0360	AB15	A08	5	unknown	sample			sample			18692		0	
C01-0605.a1	C01-0605.e1	C01-0605	AB15	G07	5	unknown	sample			sample			19478		0	
C01-0605.a2	C01-0605.e1	C01-0605	AB15	G07	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	19478	0	0	
C01-0605.a3	C01-0605.e1	C01-0605	AB15	G07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19478	0	0.452131330966949	
A01-0806.a1	A01-0806.e1	A01-0806	AB15	A07	5	unknown	sample			sample			19070		0	
A01-0806.a2	A01-0806.e1	A01-0806	AB15	A07	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	19070	0	0	
A01-0806.a3	A01-0806.e1	A01-0806	AB15	A07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19070	0	0.857775390148163	
P01-0094.a1	P01-0094.e1	P01-0094	AB15	D08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20141	0	0.0624543391168118	
P01-0094.a2	P01-0094.e1	P01-0094	AB15	D08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	20141	0	0	
P01-0094.a3	P01-0094.e1	P01-0094	AB15	D08	5	unknown	sample			sample			20141		0	
M03-0293.a1	M03-0293.e1	M03-0293	AB15	G08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	16648	0	0	
M03-0293.a2	M03-0293.e1	M03-0293	AB15	G08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	16648	0	0	
M03-0293.a3	M03-0293.e1	M03-0293	AB15	G08	5	unknown	sample			sample			16648		0	
A01-0802.a1	A01-0802.e1	A01-0802	AB15	A05	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	16697	0	0.226024076342583	
A01-0802.a2	A01-0802.e1	A01-0802	AB15	A05	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	16697	0	0	
A01-0802.a3	A01-0802.e1	A01-0802	AB15	A05	5	unknown	sample			sample			16697		0	
AB15.FA1	NA	NA	AB15	H06	5	control	PCR Positive	Influenza Virus A (FluA)	M	GBlock	RNA	FAM	18269	0	22.5083141326904	
J01-0393.a1	J01-0393.e1	J01-0393	AB15	F06	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	20993	0	0	
J01-0393.a2	J01-0393.e1	J01-0393	AB15	F06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20993	0	0	
J01-0393.a3	J01-0393.e1	J01-0393	AB15	F06	5	unknown	sample			sample			20993		0	
C01-0604.a1	C01-0604.e1	C01-0604	AB15	F07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18145	0	0.069324679672718	
C01-0604.a2	C01-0604.e1	C01-0604	AB15	F07	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18145	0	0	
C01-0604.a3	C01-0604.e1	C01-0604	AB15	F07	5	unknown	sample			sample			18145		0	
O01-0479.a1	O01-0479.e1	O01-0479	AB15	E08	5	unknown	sample			sample			20773		0	
O01-0479.a2	O01-0479.e1	O01-0479	AB15	E08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	20773	0	0	
O01-0479.a3	O01-0479.e1	O01-0479	AB15	E08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20773	0	0.4845150411129	
G01-0550.a1	G01-0550.e1	G01-0550	AB15	F05	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	16822	0	0.22434438765049	
G01-0550.a2	G01-0550.e1	G01-0550	AB15	F05	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	16822	0	0	
G01-0550.a3	G01-0550.e1	G01-0550	AB15	F05	5	unknown	sample			sample			16822		0	
H01-0905.a1	H01-0905.e1	H01-0905	AB15	B08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20361	0	0.123562045395374	
H01-0905.a2	H01-0905.e1	H01-0905	AB15	B08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	20361	0	0	
H01-0905.a3	H01-0905.e1	H01-0905	AB15	B08	5	unknown	sample			sample			20361		0	
R01-0370.a1	R01-0370.e1	R01-0370	AB15	H07	5	unknown	sample			sample			16798		0	
R01-0370.a2	R01-0370.e1	R01-0370	AB15	H07	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	16798	0	0	
R01-0370.a3	R01-0370.e1	R01-0370	AB15	H07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	16798	0	353.654113769531	
M04-0217.a1	M04-0217.e1	M04-0217	AB15	C08	5	unknown	sample			sample			20808		0	
M04-0217.a2	M04-0217.e1	M04-0217	AB15	C08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20808	0	2.23867297172546	
M04-0217.a3	M04-0217.e1	M04-0217	AB15	C08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	20808	0	0	
E01-0401.a1	E01-0401.e1	E01-0401	AB15	A06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20335	0	0	
E01-0401.a2	E01-0401.e1	E01-0401	AB15	A06	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	20335	0	0	
E01-0401.a3	E01-0401.e1	E01-0401	AB15	A06	5	unknown	sample			sample			20335		0	
E01-0400.a1	E01-0400.e1	E01-0400	AB15	H05	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	17944	0	0.210315436124802	
E01-0400.a2	E01-0400.e1	E01-0400	AB15	H05	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	17944	0	0	
E01-0400.a3	E01-0400.e1	E01-0400	AB15	H05	5	unknown	sample			sample			17944		0	
R02-0392.a1	R02-0392.e1	R02-0392	AB15	D06	5	unknown	sample			sample			18066		0	
R02-0392.a2	R02-0392.e1	R02-0392	AB15	D06	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18066	0	0	
R02-0392.a3	R02-0392.e1	R02-0392	AB15	D06	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18066	0	0.139259517192841	
A01-0804.a1	A01-0804.e1	A01-0804	AB15	C05	5	unknown	sample			sample			17895		0	
A01-0804.a2	A01-0804.e1	A01-0804	AB15	C05	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	17895	0	0	
A01-0804.a3	A01-0804.e1	A01-0804	AB15	C05	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	17895	0	0.421818137168884	
AB15.HE2	NA	NA	AB15	G06	5	control	PCR Negative	Homo sapiens	RNase P	NA	RNA	HEX	19435	0	0	
AB15.FA3	NA	NA	AB15	G06	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	FAM	19435	0	0	
C01-0601.a1	C01-0601.e1	C01-0601	AB15	C07	5	unknown	sample			sample			16584		0	
C01-0601.a2	C01-0601.e1	C01-0601	AB15	C07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	16584	0	0.531047403812408	
C01-0601.a3	C01-0601.e1	C01-0601	AB15	C07	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	16584	0	0	
D01-0409.a1	D01-0409.e1	D01-0409	AB15	H08	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	16168	0	0	
D01-0409.a2	D01-0409.e1	D01-0409	AB15	H08	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	16168	0	0	
D01-0409.a3	D01-0409.e1	D01-0409	AB15	H08	5	unknown	sample			sample			16168		0	
A01-0807.a1	A01-0807.e1	A01-0807	AB15	B07	5	unknown	sample			sample			20561		0	
A01-0807.a2	A01-0807.e1	A01-0807	AB15	B07	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20561	0	0.673127830028534	
