"county"	"target"	"epi_year"	"epi_week"	"abundance_per_person"	"abundance_alert_level"	"trend_alert_level"	"county_fips"
"StarCityWWTP-01"	"SARS-CoV-2"	2020	45	0.986971716367737	"UNKNOWN"	NA	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	46	0.6793880576304	"UNKNOWN"	"UNKNOWN"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	47	0.71413073984957	"UNKNOWN"	"UNKNOWN"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	48	0.665185203696739	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	49	1.28813360343354	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	50	0.915885181775037	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	51	0.76796433313727	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	52	1.76348041730281	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2020	53	1.75133789698901	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	1	1.22298856779354	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	2	0.954649713297013	"UNKNOWN"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	3	0.822587357670337	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	4	0.872467528533563	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	5	0.935494323054669	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	6	0.520611757843279	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	7	1.14840301454257	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	10	0.949437051458407	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	11	1.12205578915589	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	12	0.537037592389547	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	13	1.36076568001097	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	14	0.738930282300654	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	15	0.750489740755918	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	16	0.568251872705305	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	17	0.931228937980219	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	18	1.81623353012982	"HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	19	1.55101422902741	"HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	20	2.25958925099348	"HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	21	1.7859943602449	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	22	2.49098758969267	"HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	23	0.928637379621875	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	24	1.4119916499761	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	25	3.2431110887471	"HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	26	2.19812023320802	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	27	1.94750542842127	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	28	2.15666940233561	"MODERATE"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	29	7.23241429750513	"VERY HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	30	8.5582877407409	"VERY HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	32	25.4307569999877	"VERY HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	33	30.2436491485939	"VERY HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	34	73.4055992021792	"VERY HIGH"	"INCREASING"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	35	64.6433628670405	"VERY HIGH"	"STABLE"	NA
"StarCityWWTP-01"	"SARS-CoV-2"	2021	36	84.1784288749247	"VERY HIGH"	"INCREASING"	NA
