"county"	"target"	"epi_year"	"epi_week"	"abundance_per_person"	"total_abundance"	"county_fips"	"abundance_alert_level"	"trend_alert_level"
"Boone"	"Influenza Virus A (FluA)"	2023	51	0.209827229255763	955.76302926	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	1	1.07823990974685	4911.3827888969	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	4	0.852548816932194	3883.35986112616	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	8	3.61901287847705	16484.603661463	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	9	7.3147224489319	33318.5607548848	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	10	0.686662570414929	3127.74800824	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	11	1.50269973414929	6844.79728905	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	12	0.373205691064764	1699.9519228	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	14	0.0389062029769484	177.21775456	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	15	0.875965481170143	3990.02276673	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	19	0.612279887198683	2788.93488619	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	21	0.242658493242591	1105.30943672	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	23	0.390567052274424	1779.03292311	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	24	0.215294674346872	980.66724165	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	27	0.213163043907794	970.957665	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	28	0.495302823271131	2256.10436	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	30	0.342495253931943	1560.06588166	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	31	0.129217525813392	588.58583008	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	32	0.024010552298573	109.36806572	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	36	0.117255796422393	534.100152704	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	37	0.00350534783315038	15.96685938	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	39	0.525832092592755	2395.16518176	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	40	0.351365828320527	1600.471348	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	41	0.569970554924259	2596.21587768	54005	"LOW"	"STABLE"
"Boone"	"Influenza Virus A (FluA)"	2024	44	2.92334554872744	13315.8389744535	54005	"LOW"	"STABLE"
