assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
E01-0660.a1	E01-0660.e1	E01-0660	AB58	F02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19165	0	2.75962233543396	
E01-0660.a2	E01-0660.e1	E01-0660	AB58	F02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	19165	0	35.8157958984375	
E01-0660.a3	E01-0660.e1	E01-0660	AB58	F02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	19165	0	5.39347457885742	
E01-0660.a4	E01-0660.e1	E01-0660	AB58	F02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19165	0	0	
E01-0660.a5	E01-0660.e1	E01-0660	AB58	F02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	19165	0	0	
A04-0560.a1	A04-0560.e1	A04-0560	AB58	A04	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20088	0	0	
A04-0560.a2	A04-0560.e1	A04-0560	AB58	A04	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20088	0	0	
A04-0560.a3	A04-0560.e1	A04-0560	AB58	A04	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20088	0	7.78864192962646	
A04-0560.a4	A04-0560.e1	A04-0560	AB58	A04	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20088	0	24.1502685546875	
A04-0560.a5	A04-0560.e1	A04-0560	AB58	A04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20088	0	148.718444824219	
C01-0782.a1	C01-0782.e1	C01-0782	AB58	A02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20481	0	2.58212161064148	
C01-0782.a2	C01-0782.e1	C01-0782	AB58	A02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20481	0	28.2593669891357	
C01-0782.a3	C01-0782.e1	C01-0782	AB58	A02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20481	0	4.24486017227173	
C01-0782.a4	C01-0782.e1	C01-0782	AB58	A02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20481	0	0	
C01-0782.a5	C01-0782.e1	C01-0782	AB58	A02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20481	0	0.0614175237715244	
A01-1071.a1	A01-1071.e1	A01-1071	AB58	B01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20568	0	0	
A01-1071.a2	A01-1071.e1	A01-1071	AB58	B01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20568	0	0.183482110500336	
A01-1071.a3	A01-1071.e1	A01-1071	AB58	B01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20568	0	3.61340355873108	
A01-1071.a4	A01-1071.e1	A01-1071	AB58	B01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20568	0	21.2778587341309	
A01-1071.a5	A01-1071.e1	A01-1071	AB58	B01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20568	0	4.04280185699463	
AB58.RO1	NA	NA	AB58	F04	5	control	PCR Negative	SARS-CoV-2	SC2	NA	RNA	ROX	20734	0	0	
AB58.CY2	NA	NA	AB58	F04	5	control	PCR Negative	Respiratory Syncitial Virus, Human (RSV)	G	NA	RNA	Cy5	20734	0	0	
AB58.FA3	NA	NA	AB58	F04	5	control	PCR Negative	Influenza Virus A (FluA)	M	NA	RNA	FAM	20734	0	0	
AB58.CZ4	NA	NA	AB58	F04	5	control	PCR Negative	Influenza Virus B (FluB)	NEP/NS1	NA	RNA	Cy5.5	20734	0	9.98888206481934	
AB58.HE5	NA	NA	AB58	F04	5	control	PCR Negative	Respiratory Syncitial Virus, Bovine (BRSV)	Other	NA	RNA	HEX	20734	0	0	
T01-0378.a1	T01-0378.e1	T01-0378	AB58	H03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21038	0	0	
T01-0378.a2	T01-0378.e1	T01-0378	AB58	H03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21038	0	0.418599516153336	
T01-0378.a3	T01-0378.e1	T01-0378	AB58	H03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21038	0	3.35270309448242	
T01-0378.a4	T01-0378.e1	T01-0378	AB58	H03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21038	0	41.3905563354492	
T01-0378.a5	T01-0378.e1	T01-0378	AB58	H03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21038	0	11.170389175415	
A01-1073.a1	A01-1073.e1	A01-1073	AB58	D01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20812	0	21.9485111236572	
A01-1073.a2	A01-1073.e1	A01-1073	AB58	D01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20812	0	5.99776220321655	
A01-1073.a3	A01-1073.e1	A01-1073	AB58	D01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20812	0	0	
A01-1073.a4	A01-1073.e1	A01-1073	AB58	D01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20812	0	0	
A01-1073.a5	A01-1073.e1	A01-1073	AB58	D01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20812	0	3.20736575126648	
AB58.CZ6	NA	NA	AB58	G04	5	control	PCR Positive	Influenza Virus B (FluB)	NEP/NS1	GBlock	RNA	Cy5.5	20673	0	16.8448352813721	
AB58.CY7	NA	NA	AB58	G04	5	control	PCR Positive	Respiratory Syncitial Virus, Human (RSV)	G	GBlock	RNA	Cy5	20673	0	8.97625923156738	
AB58.FA8	NA	NA	AB58	G04	5	control	PCR Positive	Influenza Virus A (FluA)	M	LV-SARS_N	RNA	FAM	20673	0	8.60862445831299	
AB58.HE9	NA	NA	AB58	G04	5	control	PCR Positive	Respiratory Syncitial Virus, Bovine (BRSV)	Other	BRSV	RNA	HEX	20673	0	20.7357997894287	
AB58.RO10	NA	NA	AB58	G04	5	control	PCR Positive	SARS-CoV-2	SC2	GBlock	RNA	ROX	20673	0	6.95559692382813	
E01-0661.a1	E01-0661.e1	E01-0661	AB58	G02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	19739	0	0	
E01-0661.a2	E01-0661.e1	E01-0661	AB58	G02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	19739	0	0.254924595355988	
E01-0661.a3	E01-0661.e1	E01-0661	AB58	G02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	19739	0	4.34076023101807	
E01-0661.a4	E01-0661.e1	E01-0661	AB58	G02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	19739	0	31.1618537902832	
E01-0661.a5	E01-0661.e1	E01-0661	AB58	G02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19739	0	1.78555798530579	
K01-0503.a1	K01-0503.e1	K01-0503	AB58	B03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20710	0	21.3778209686279	
K01-0503.a2	K01-0503.e1	K01-0503	AB58	B03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20710	0	0	
K01-0503.a3	K01-0503.e1	K01-0503	AB58	B03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20710	0	2.73613524436951	
K01-0503.a4	K01-0503.e1	K01-0503	AB58	B03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20710	0	4.50258111953735	
K01-0503.a5	K01-0503.e1	K01-0503	AB58	B03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20710	0	2.43182587623596	
C01-0781.a1	C01-0781.e1	C01-0781	AB58	H01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21182	0	6.01207971572876	
C01-0781.a2	C01-0781.e1	C01-0781	AB58	H01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21182	0	0	
C01-0781.a3	C01-0781.e1	C01-0781	AB58	H01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21182	0	0	
C01-0781.a4	C01-0781.e1	C01-0781	AB58	H01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21182	0	19.7508144378662	
C01-0781.a5	C01-0781.e1	C01-0781	AB58	H01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21182	0	1.0693576335907	
J01-0504.a1	J01-0504.e1	J01-0504	AB58	D03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20923	0	0.841942250728607	
J01-0504.a2	J01-0504.e1	J01-0504	AB58	D03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20923	0	35.2993774414063	
J01-0504.a3	J01-0504.e1	J01-0504	AB58	D03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20923	0	5.24122333526611	
J01-0504.a4	J01-0504.e1	J01-0504	AB58	D03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20923	0	0	
J01-0504.a5	J01-0504.e1	J01-0504	AB58	D03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20923	0	0.661478579044342	
