assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
H01-1004.a1	H01-1004.e1	H01-1004	AB121	A03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	18416	0	0	
H01-1004.a2	H01-1004.e1	H01-1004	AB121	A03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	18416	0	3.41977691650391	
H01-1004.a3	H01-1004.e1	H01-1004	AB121	A03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18416	0	0	
H01-1004.a4	H01-1004.e1	H01-1004	AB121	A03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	18416	0	0	
H01-1004.a5	H01-1004.e1	H01-1004	AB121	A03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	18416	0	1.02495718002319	
K01-0552.a1	K01-0552.e1	K01-0552	AB121	H02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20768	0	0	
K01-0552.a2	K01-0552.e1	K01-0552	AB121	H02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20768	0	0.666416764259338	
K01-0552.a3	K01-0552.e1	K01-0552	AB121	H02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20768	0	0.424042552709579	
K01-0552.a4	K01-0552.e1	K01-0552	AB121	H02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20768	0	0.969450235366821	
K01-0552.a5	K01-0552.e1	K01-0552	AB121	H02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20768	0	0	
A01-1387.a1	A01-1387.e1	A01-1387	AB121	C01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21935	0	0.860468626022339	
A01-1387.a2	A01-1387.e1	A01-1387	AB121	C01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21935	0	0.0573462657630444	
A01-1387.a3	A01-1387.e1	A01-1387	AB121	C01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21935	0	0	
A01-1387.a4	A01-1387.e1	A01-1387	AB121	C01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21935	0	1.14742231369019	
A01-1387.a5	A01-1387.e1	A01-1387	AB121	C01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21935	0	0	
A04-0677.a1	A04-0677.e1	A04-0677	AB121	D03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21080	0	0.0596722699701786	
A04-0677.a2	A04-0677.e1	A04-0677	AB121	D03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21080	0	0	
A04-0677.a3	A04-0677.e1	A04-0677	AB121	D03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21080	0	1.07453417778015	
A04-0677.a4	A04-0677.e1	A04-0677	AB121	D03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21080	0	0	
A04-0677.a5	A04-0677.e1	A04-0677	AB121	D03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21080	0	1.31344437599182	
N02-0573.a1	N02-0573.e1	N02-0573	AB121	E04	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21936	0	0	
N02-0573.a2	N02-0573.e1	N02-0573	AB121	E04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21936	0	0.401460468769073	
N02-0573.a3	N02-0573.e1	N02-0573	AB121	E04	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21936	0	0.975197732448578	
N02-0573.a4	N02-0573.e1	N02-0573	AB121	E04	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21936	0	0	
N02-0573.a5	N02-0573.e1	N02-0573	AB121	E04	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21936	0	2.12345814704895	
D01-0616.a1	D01-0616.e1	D01-0616	AB121	B03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	17089	0	1.0309134721756	
D01-0616.a2	D01-0616.e1	D01-0616	AB121	B03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	17089	0	0	
D01-0616.a3	D01-0616.e1	D01-0616	AB121	B03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	17089	0	0	
D01-0616.a4	D01-0616.e1	D01-0616	AB121	B03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	17089	0	0.0736086592078209	
D01-0616.a5	D01-0616.e1	D01-0616	AB121	B03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	17089	0	0.368086397647858	
C01-1019.a1	C01-1019.e1	C01-1019	AB121	F02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20498	0	1.41218948364258	
C01-1019.a2	C01-1019.e1	C01-1019	AB121	F02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20498	0	0	
C01-1019.a3	C01-1019.e1	C01-1019	AB121	F02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20498	0	2.14961385726929	
C01-1019.a4	C01-1019.e1	C01-1019	AB121	F02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20498	0	0.797999262809753	
C01-1019.a5	C01-1019.e1	C01-1019	AB121	F02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20498	0	0.0613665878772736	
C01-1020.a1	C01-1020.e1	C01-1020	AB121	G02	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	18941	0	0	
C01-1020.a2	C01-1020.e1	C01-1020	AB121	G02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	18941	0	0.464952170848846	
C01-1020.a3	C01-1020.e1	C01-1020	AB121	G02	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	18941	0	0.996536612510681	
C01-1020.a4	C01-1020.e1	C01-1020	AB121	G02	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	18941	0	1.12946784496307	
C01-1020.a5	C01-1020.e1	C01-1020	AB121	G02	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	18941	0	0	
