epi_date	mean_abundance	location_id	target	cal_year	cal_month	cal_week	epi_year	epi_week	rolling_mean	rolling_mean_basis	abundance_fold_change	abundance_level	trend_slope	trend_level	spike_slope
2021.5	11.6452521338948	ParkersburgWWTP-01	SARS-CoV-2	2021	12	51	2021	50	NA	NA	NA	1	NA	NA	NA
2021.51	0.0910121281290323	ParkersburgWWTP-01	SARS-CoV-2	2021	12	51	2021	51	NA	NA	NA	1	NA	1	-11.55424
2021.52	8.21864070640107	ParkersburgWWTP-01	SARS-CoV-2	2021	12	52	2021	52	NA	NA	NA	1	NA	1	8.12762858
2022.01	42.2767441812499	ParkersburgWWTP-01	SARS-CoV-2	2022	1	1	2022	1	15.5579122874187	NA	NA	1	-11.55424	5	34.05810347
2022.02	93.9647765820638	ParkersburgWWTP-01	SARS-CoV-2	2022	1	2	2022	2	36.1377933994609	NA	NA	1	8.12762858	5	51.6880324
2022.03	739.228449817188	ParkersburgWWTP-01	SARS-CoV-2	2022	1	3	2022	3	220.922152821726	NA	NA	1	34.05810347	2	645.26367324
2022.04	260.332073588776	ParkersburgWWTP-01	SARS-CoV-2	2022	1	4	2022	4	283.95051104232	NA	NA	1	51.6880323999999	7	-478.89637623
2022.05	216.807632946536	ParkersburgWWTP-01	SARS-CoV-2	2022	2	5	2022	5	327.583233233641	NA	NA	1	645.26367324	7	-43.52444064
2022.06	78.0199231717969	ParkersburgWWTP-01	SARS-CoV-2	2022	2	6	2022	6	323.597019881074	NA	NA	1	-478.89637623	3	-138.78770978
2022.07	24.5194154390248	ParkersburgWWTP-01	SARS-CoV-2	2022	2	7	2022	7	144.919761286533	NA	NA	1	-43.5244406400001	4	-53.50050773
2022.08	71.0278722675566	ParkersburgWWTP-01	SARS-CoV-2	2022	2	8	2022	8	97.5937109562285	NA	NA	1	-138.78770978	3	46.50845683
2022.09	71.7276261002342	ParkersburgWWTP-01	SARS-CoV-2	2022	3	9	2022	9	61.3237092446531	134.821618255238	-0.545149286603591	3	-53.50050773	3	0.699753830000001
2022.1	22.8508002548325	ParkersburgWWTP-01	SARS-CoV-2	2022	3	10	2022	10	47.531428515412	135.755413931982	-0.649874526998778	3	46.50845683	7	-48.87682585
2022.11	27.7599414119436	ParkersburgWWTP-01	SARS-CoV-2	2022	3	11	2022	11	48.3415600086417	138.061158038967	-0.649854016181744	3	0.699753829999984	5	4.90914116000001
2022.12	5.74058832787487	ParkersburgWWTP-01	SARS-CoV-2	2022	3	12	2022	12	32.0197390237213	137.85465367409	-0.767728269083893	3	-48.87682585	3	-22.01935308
2022.13	3.0337794732425	ParkersburgWWTP-01	SARS-CoV-2	2022	3	13	2022	13	14.8462773669734	134.584406615089	-0.889687982877291	3	4.90914116	5	-2.70680886
2022.14	4.76026761927523	ParkersburgWWTP-01	SARS-CoV-2	2022	4	14	2022	14	10.3236442080841	127.150697534857	-0.918807805161635	3	-22.01935308	4	1.72648815
2022.15	6.72805743272627	ParkersburgWWTP-01	SARS-CoV-2	2022	4	15	2022	15	5.06567321327973	66.108998169485	-0.923373922559032	3	-2.70680886	5	1.96778981
2022.16	1.67588723253786	ParkersburgWWTP-01	SARS-CoV-2	2022	4	16	2022	16	4.04949793944548	44.5543159731317	-0.909110983952991	3	1.72648815	5	-5.0521702
2022.17	9.44574309041712	ParkersburgWWTP-01	SARS-CoV-2	2022	4	17	2022	17	5.65248884373914	27.2741584851219	-0.792752951596194	3	1.96778981	5	7.76985586
2022.18	27.3658901078565	ParkersburgWWTP-01	SARS-CoV-2	2022	5	18	2022	18	11.3038944658845	23.0529890631268	-0.509656017493845	3	-5.05217019999999	5	17.92014702
2022.19	27.895528505658	ParkersburgWWTP-01	SARS-CoV-2	2022	5	19	2022	19	16.5957622341174	23.3343318186796	-0.288783481649466	4	7.76985586	5	0.529638400000001
2022.2	37.6722548976769	ParkersburgWWTP-01	SARS-CoV-2	2022	5	20	2022	20	25.5948541504021	20.5546970378563	0.245207073753665	4	17.92014702	6	9.77672639000001
2022.21	45.8604145322614	ParkersburgWWTP-01	SARS-CoV-2	2022	5	21	2022	21	34.6985220108632	18.3990960738585	0.885881886347825	5	0.529638399999993	5	8.18815963000001
2022.23	102.577429921594	ParkersburgWWTP-01	SARS-CoV-2	2022	6	23	2022	23	53.5014069642977	25.042981879422	1.13638324788551	5	9.77672639	5	56.71701539
2022.24	84.2586175639599	ParkersburgWWTP-01	SARS-CoV-2	2022	6	24	2022	24	67.5921792288732	29.7512048920901	1.27191401067739	5	8.18815962999999	5	-18.31881236
2022.25	53.1707908839743	ParkersburgWWTP-01	SARS-CoV-2	2022	6	25	2022	25	71.4668132254475	33.703721771765	1.12044277214863	5	56.71701539	7	-31.08782668
2022.26	116.420296650852	ParkersburgWWTP-01	SARS-CoV-2	2022	6	26	2022	26	89.1067837550952	43.1525982032325	1.0649227964313	5	-18.31881236	4	63.24950577
2022.27	128.315894232166	ParkersburgWWTP-01	SARS-CoV-2	2022	7	27	2022	27	95.541399832738	53.4489004209734	0.787527883272367	5	-31.08782668	4	11.89559758
2022.28	218.610872062894	ParkersburgWWTP-01	SARS-CoV-2	2022	7	28	2022	28	129.129463457472	71.105801640154	0.816018671879387	5	63.24950577	7	90.29497783
2022.3	630.6660722344	ParkersburgWWTP-01	SARS-CoV-2	2022	7	30	2022	30	273.503283795078	123.521650390309	1.21421332155821	5	11.89559758	5	412.05520017
2022.31	839.986420622848	ParkersburgWWTP-01	SARS-CoV-2	2022	8	31	2022	31	454.394814788077	192.733373518012	1.35763431363179	5	90.29497783	7	209.32034839
2022.32	654.093810614062	ParkersburgWWTP-01	SARS-CoV-2	2022	8	32	2022	32	585.839293883551	244.960700226862	1.39156441560216	5	412.05520017	7	-185.89261001
2022.33	356.653736508565	ParkersburgWWTP-01	SARS-CoV-2	2022	8	33	2022	33	620.350009994969	272.357217560438	1.27770725355317	5	209.32034839	7	-297.4400741
2022.34	506.734886175961	ParkersburgWWTP-01	SARS-CoV-2	2022	8	34	2022	34	589.367213480359	311.445770166961	0.892359023416526	5	-185.89261001	3	150.08114967
2022.35	495.915272849042	ParkersburgWWTP-01	SARS-CoV-2	2022	8	35	2022	35	503.349426536908	348.95034169336	0.442467212080354	4	-297.4400741	3	-10.8196133299999
