assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
M03-1012.a1	M03-1012.e1	M03-1012	AB139	G03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19723	0	8.63941287994385	
M03-1012.a2	M03-1012.e1	M03-1012	AB139	G03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19723	0	1.34001743793488	
M03-1012.a3	M03-1012.e1	M03-1012	AB139	G03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19723	0	0	
M03-1012.a4	M03-1012.e1	M03-1012	AB139	G03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19723	0	0	
M03-1012.a5	M03-1012.e1	M03-1012	AB139	G03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19723	0	1.78700757026672	
R02-1016.a1	R02-1016.e1	R02-1016	AB139	C04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	21455	0	0	
R02-1016.a2	R02-1016.e1	R02-1016	AB139	C04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	21455	0	0.0586292669177055	
R02-1016.a3	R02-1016.e1	R02-1016	AB139	C04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	21455	0	6.87823581695557	
R02-1016.a4	R02-1016.e1	R02-1016	AB139	C04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	21455	0	0.0586292669177055	
R02-1016.a5	R02-1016.e1	R02-1016	AB139	C04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21455	0	0	
A01-1511.a1	A01-1511.e1	A01-1511	AB139	D01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	22102	0	0	
A01-1511.a2	A01-1511.e1	A01-1511	AB139	D01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	22102	0	0.284590512514114	
A01-1511.a3	A01-1511.e1	A01-1511	AB139	D01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	22102	0	11.951132774353	
A01-1511.a4	A01-1511.e1	A01-1511	AB139	D01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	22102	0	0.39844474196434	
A01-1511.a5	A01-1511.e1	A01-1511	AB139	D01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	22102	0	0	
