"capacity_mgd","concentration_method","county_names","extraction_method","flow_rate","inhibition_adjust","inhibition_detect","inhibition_method","institution_type","lab_id","lod_ref","lod_sewage","ntc_amplify","num_no_target_control","other_jurisdiction","pcr_target","pcr_target_ref","pcr_type","population_served","quant_stan_type","rec_eff_percent","rec_eff_spike_conc","rec_eff_spike_matrix","rec_eff_target_name","reporting_jurisdiction","sample_collect_date","sample_collect_time","sample_id","sample_location","sample_location_specify","sample_matrix","sample_type","sars_cov2_avg_conc","sars_cov2_units","stan_ref","test_result_date","wwtp_jurisdiction","wwtp_name","zipcode"
"2.34","Ceres Nanotrap","54051","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.3","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","12000","rna","-1","","","","WV","2021-12-02","08:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","35837.3373","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","MoundsvilleWWTP-01","26041"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.478","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-03","00:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","94685.32115","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-09","WV","StarCityWWTP-01","26505"
"2.34","Ceres Nanotrap","54051","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.4","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","12000","rna","-1","","","","WV","2021-12-05","08:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","44741.68047","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","MoundsvilleWWTP-01","26041"
"14","Ceres Nanotrap","54039","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.32","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-08","07:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","4428.780307","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","CharlestonWWTP-01","25312"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.7","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-06","00:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","93111.42862","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","StarCityWWTP-01","26505"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.076","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-10-12","00:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","0","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-10-20","WV","StarCityWWTP-01","26505"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","5.843","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-11-29","07:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","200133.5728","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-09","WV","WheelingWWTP-01","26003"
"2.34","Ceres Nanotrap","54051","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.6","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","12000","rna","-1","","","","WV","2021-12-07","08:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","14705.02267","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","MoundsvilleWWTP-01","26041"
"4.9","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.678","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","36000","rna","-1","","","","WV","2021-12-06","08:00","","wwtp","","raw wastewater","24-hr time-weighted composite","1130345.968","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-14","WV","PrincetonWWTP-01","24740"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.575","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-04","00:00","","wwtp","","raw wastewater","24-hr flow-weighted composite","47384.7042","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-09","WV","StarCityWWTP-01","26505"
