assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
L01-0532.a1	L01-0532.e1	L01-0532	AB10	E10	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	17519	0	0	
AB10.FA1	NA	NA	AB10	D12	5	control	PCR Positive	Respiratory Syncitial Virus, Human (RSV)	G	GBlock	RNA	FAM	15169	0	3.98662304878235	
N02-0438.a1	N02-0438.e1	N02-0438	AB10	G10	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	20843	0	0	
C01-0588.a1	C01-0588.e1	C01-0588	AB10	G09	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	18569	0	0	
C01-0586.a1	C01-0586.e1	C01-0586	AB10	E09	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	17830	0	0.141102880239487	
K01-0353.a1	K01-0353.e1	K01-0353	AB10	H11	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	19299	0	0.195547863841057	
D01-0408.a1	D01-0408.e1	D01-0408	AB10	A12	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	17843	0	0	
A01-0787.a1	A01-0787.e1	A01-0787	AB10	B09	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	18149	0	0.0693093985319138	
O01-0461.a1	O01-0461.e1	O01-0461	AB10	A11	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	FAM	11284	0	0	
AB10.FA2	NA	NA	AB10	C12	5	control	PCR Negative	Respiratory Syncitial Virus, Human (RSV)	G	NA	RNA	FAM	19541	0	0	
