assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
AB23.FA1	NA	NA	AB23	F04	5	control	PCR Positive	SARS-CoV-2	N1:SARS	LV-SARS_N	RNA	FAM	16037	0	0.549164652824402	
AB23.FH2	NA	NA	AB23	F04	5	control	PCR Positive	SARS-CoV-2	N2:SARS	LV-SARS_N	RNA	FAM/HEX	16037	0	0.235326930880547	
H01-0909.a1	H01-0909.e1	H01-0909	AB23	C04	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	19223	0	0.327218741178513	
H01-0909.a2	H01-0909.e1	H01-0909	AB23	C04	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	19223	0	0.458130091428757	
H01-0909.a3	H01-0909.e1	H01-0909	AB23	C04	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	19223	0	0	
AB23.FA3	NA	NA	AB23	G04	5	control	PCR Negative	SARS-CoV-2	N1:SARS	NA	RNA	FAM	14171	0	0.177538692951202	
AB23.FH4	NA	NA	AB23	G04	5	control	PCR Negative	SARS-CoV-2	N2:SARS	NA	RNA	FAM/HEX	14171	0	0.266317427158356	
AB23.HE5	NA	NA	AB23	G04	5	control	PCR Negative	Homo sapiens	RNase P	NA	RNA	HEX	14171	0	0	
A01-0826.a1	A01-0826.e1	A01-0826	AB23	C01	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	17972	0	2.17156577110291	
A01-0826.a2	A01-0826.e1	A01-0826	AB23	C01	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	17972	0	1.54072487354279	
A01-0826.a3	A01-0826.e1	A01-0826	AB23	C01	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	17972	0	0.0699920207262039	
C01-0624.a1	C01-0624.e1	C01-0624	AB23	D02	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	19745	0	0.318566977977753	
C01-0624.a2	C01-0624.e1	C01-0624	AB23	D02	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	19745	0	0.127417102456093	
C01-0624.a3	C01-0624.e1	C01-0624	AB23	D02	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	19745	0	0	
E01-0415.a1	E01-0415.e1	E01-0415	AB23	F01	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	18996	0	0.397365868091583	
E01-0415.a2	E01-0415.e1	E01-0415	AB23	F01	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	18996	0	0.132441326975822	
E01-0415.a3	E01-0415.e1	E01-0415	AB23	F01	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18996	0	0	
G01-0544.a1	G01-0544.e1	G01-0544	AB23	D03	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	19852	0	1.64849066734314	
G01-0544.a2	G01-0544.e1	G01-0544	AB23	D03	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	19852	0	2.28310132026672	
G01-0544.a3	G01-0544.e1	G01-0544	AB23	D03	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	19852	0	0.126730307936668	
E01-0416.a1	E01-0416.e1	E01-0416	AB23	G01	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	17223	0	0.0730359479784966	
E01-0416.a2	E01-0416.e1	E01-0416	AB23	G01	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	17223	0	18.3922691345215	
E01-0416.a3	E01-0416.e1	E01-0416	AB23	G01	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	17223	0	22.0288906097412	
R02-0395.a1	R02-0395.e1	R02-0395	AB23	D04	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18428	0	0	
R02-0395.a2	R02-0395.e1	R02-0395	AB23	D04	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	18428	0	1.22924757003784	
R02-0395.a3	R02-0395.e1	R02-0395	AB23	D04	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	18428	0	0.955977618694305	
A04-0533.a1	A04-0533.e1	A04-0533	AB23	G03	5	unknown	sample	SARS-CoV-2	N1:SARS	sample	RNA	FAM	18987	0	0.1987614184618	
A04-0533.a2	A04-0533.e1	A04-0533	AB23	G03	5	unknown	sample	SARS-CoV-2	N2:SARS	sample	RNA	FAM/HEX	18987	0	0.1987614184618	
A04-0533.a3	A04-0533.e1	A04-0533	AB23	G03	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18987	0	0	
C01-0623.a1	C01-0623.e1	C01-0623	AB23	C02	5	unknown	sample	Homo sapiens	RNase P	sample	RNA	HEX	18186	0	0	
