"capacity_mgd","concentration_method","county_names","extraction_method","flow_rate","inhibition_adjust","inhibition_detect","inhibition_method","institution_type","lab_id","lod_ref","lod_sewage","ntc_amplify","num_no_target_control","other_jurisdiction","pcr_target","pcr_target_ref","pcr_type","population_served","quant_stan_type","rec_eff_percent","rec_eff_spike_conc","rec_eff_spike_matrix","rec_eff_target_name","reporting_jurisdiction","sample_collect_date","sample_collect_time","sample_id","sample_location","sample_location_specify","sample_matrix","sample_type","sars_cov2_avg_conc","sars_cov2_units","stan_ref","test_result_date","wwtp_jurisdiction","wwtp_name","zipcode"
"4.9","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.653","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","36000","rna","-1","","","","WV","2021-12-08","09:03","E01-0018","wwtp","","raw wastewater","24-hr time-weighted composite","149371.5084","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","PrincetonWWTP-01","24740"
"4.9","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.636","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","36000","rna","-1","","","","WV","2021-12-09","10:00","E01-0019","wwtp","","raw wastewater","24-hr time-weighted composite","75739.60528","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","PrincetonWWTP-01","24740"
"2.34","Ceres Nanotrap","54051","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.6","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","12000","rna","-1","","","","WV","2021-12-15","08:00","H01-0093","wwtp","","raw wastewater","24-hr flow-weighted composite","17261.33885","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","MoundsvilleWWTP-01","26041"
"0.5","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.098","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","2391","rna","-1","","","","WV","2021-12-14","08:00","E02-0021","wwtp","","raw wastewater","24-hr time-weighted composite","3850.591527","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","AthensWWTP-01","24740"
"14","Ceres Nanotrap","54039","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.114","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-12","07:00","B01-0032","wwtp","","raw wastewater","24-hr flow-weighted composite","7030.995442","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","CharlestonWWTP-01","25312"
"2.34","Ceres Nanotrap","54051","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.8","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","12000","rna","-1","","","","WV","2021-12-09","08:00","H01-0087","wwtp","","raw wastewater","24-hr flow-weighted composite","16309.98395","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","MoundsvilleWWTP-01","26041"
"2.4","Ceres Nanotrap","54057","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.686","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","8168","rna","-1","","","","WV","2021-11-26","09:00","G01-0016","wwtp","","raw wastewater","24-hr time-weighted composite","940052.7442","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-06","WV","KeyserWWTP-01","26726"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.696","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-09","07:00","C01-0056","wwtp","","raw wastewater","24-hr flow-weighted composite","91630.48223","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","WheelingWWTP-01","26003"
"4.9","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.985","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","36000","rna","-1","","","","WV","2021-12-14","07:04","E01-0022","wwtp","","raw wastewater","24-hr time-weighted composite","91314.74733","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","PrincetonWWTP-01","24740"
"14","Ceres Nanotrap","54039","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.945","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-15","07:00","B01-0040","wwtp","","raw wastewater","24-hr flow-weighted composite","21791.58948","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","CharlestonWWTP-01","25312"
"0.5","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","0.077","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","2391","rna","-1","","","","WV","2021-11-23","08:00","E02-0015","wwtp","","raw wastewater","24-hr time-weighted composite","0","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-06","WV","AthensWWTP-01","24740"
"4.9","Ceres Nanotrap","54055","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","2.313","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","36000","rna","-1","","","","WV","2021-12-13","07:03","E01-0021","wwtp","","raw wastewater","24-hr time-weighted composite","137583.7071","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","PrincetonWWTP-01","24740"
"14","Ceres Nanotrap","54039","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","7.429","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-13","07:00","B01-0033","wwtp","","raw wastewater","24-hr flow-weighted composite","6487.889467","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","CharlestonWWTP-01","25312"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","12.3","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-12-10","00:00","A01-0122","wwtp","","raw wastewater","24-hr flow-weighted composite","91226.98233","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","StarCityWWTP-01","26505"
"10","Ceres Nanotrap","54069","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","11.374","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-12-12","07:00","C01-0057","wwtp","","raw wastewater","24-hr flow-weighted composite","58224.27303","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","WheelingWWTP-01","26003"
"20.8","Ceres Nanotrap","54061","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","6.977","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48328","rna","-1","","","","WV","2021-11-29","00:00","A01-0112","wwtp","","raw wastewater","24-hr flow-weighted composite","159836.1415","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-06","WV","StarCityWWTP-01","26505"
"15.5","Ceres Nanotrap","54107","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","4.913","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48050","rna","-1","","","","WV","2021-12-14","06:02","K01-0001","wwtp","","raw wastewater","24-hr flow-weighted composite","68292.4135","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","ParkersburgWWTP-01","26101               "
"2.25","Ceres Nanotrap","54037","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.35","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","17000","rna","-1","","","","WV","2021-12-12","07:03","D01-0022","wwtp","","raw wastewater","24-hr flow-weighted composite","451446.3848","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","CharlesTownWWTP-01","25414"
"15.5","Ceres Nanotrap","54107","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","4.913","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","48050","rna","-1","","","","WV","2021-12-14","06:02","K01-0008","wwtp","","raw wastewater","24-hr flow-weighted composite","63067.37177","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-21","WV","ParkersburgWWTP-01","26101               "
"14","Ceres Nanotrap","54039","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","10.588","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","50000","rna","-1","","","","WV","2021-11-25","07:00","B01-0065","wwtp","","raw wastewater","24-hr flow-weighted composite","2581.488742","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-03","WV","CharlestonWWTP-01","25312"
"2.34","Ceres Nanotrap","54051","Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit","1.4","","not tested","none","not institution specific","wvu_zpm","https://doi.org/10.1039/D0EW00946F","2855","no","1","","n1","https://doi.org/10.1039/D0EW00946F","ddpcr","12000","rna","-1","","","","WV","2021-11-12","08:00","H01-0037","wwtp","","raw wastewater","24-hr flow-weighted composite","5123.374723","copies/L wastewater","https://doi.org/10.1038/s41598-020-80715-1","2021-12-03","WV","MoundsvilleWWTP-01","26041"
