Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day03.mean	n1.day03.ci	n1.day05.mean	n1.day05.ci	n1.day07.mean	n1.day07.ci	n1.day10.mean	n1.day10.ci	n1.day14.mean	n1.day14.ci	n1.load.day03.mean	n1.load.day03.ci	n1.load.day05.mean	n1.load.day05.ci	n1.load.day07.mean	n1.load.day07.ci	n1.load.day10.mean	n1.load.day10.ci	n1.load.day14.mean	n1.load.day14.ci	n1n2.day03.mean	n1n2.day03.ci	n1n2.day05.mean	n1n2.day05.ci	n1n2.day07.mean	n1n2.day07.ci	n1n2.day10.mean	n1n2.day10.ci	n1n2.day14.mean	n1n2.day14.ci	n1n2.load.day03.mean	n1n2.load.day03.ci	n1n2.load.day05.mean	n1n2.load.day05.ci	n1n2.load.day07.mean	n1n2.load.day07.ci	n1n2.load.day10.mean	n1n2.load.day10.ci	n1n2.load.day14.mean	n1n2.load.day14.ci	n2.day03.mean	n2.day03.ci	n2.day05.mean	n2.day05.ci	n2.day07.mean	n2.day07.ci	n2.day10.mean	n2.day10.ci	n2.day14.mean	n2.day14.ci	n2.load.day03.mean	n2.load.day03.ci	n2.load.day05.mean	n2.load.day05.ci	n2.load.day07.mean	n2.load.day07.ci	n2.load.day10.mean	n2.load.day10.ci	n2.load.day14.mean	n2.load.day14.ci
D01-0014	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	01/17/2022 07:15 AM	01/18/2022 07:15 AM	NA	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	284700.1228	36496.14394	160598.13337	NA	NA	NA	523530.6889	2006003.66450551	486968.21058	798046.278909151	473174.302757143	460088.555383824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	281133.587445	1044330.85346775	352674.041797	689803.150944976	337321.163465	399997.682457037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38736.48599	89491.7358795578	218379.873014	780649.015947912	201468.024172857	455441.40711306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1078	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	06/24/2021 12:00 AM	06/24/2021 11:55 PM	7.935	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	0	0	0	0	0	0	0	675.178571428571	2317.22305899442	472.625	1457.20719215865	337.589285714286	979.831236763138	0	0	0	0	20937.3406500571	71857.2694712161	14656.13845504	45188.10974019	10468.6703250286	30384.6437843399	1472.5	6068.96313146673	1968.875	4111.6162741263	1743.92857142857	2573.53677826747	1414.3125	1739.5590714914	1010.22321428571	1261.18916653527	69480.8614403542	291334.450312895	70949.89041967	125153.414032845	61147.1634819357	80034.3517056198	51418.2588664588	56288.9331038119	36727.3277617563	41690.5135596582	2945	12137.9262629335	3937.75	8223.23254825259	2812.67857142857	5345.93442588048	2356	3511.84972745178	1682.85714285714	2477.62211292049	138961.722880708	582668.90062579	141899.78083934	250306.82806569	101356.986313814	169677.87605108	88180.3792778775	115593.994551045	62985.9851984839	82968.2982847969
K01-0025	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	01/10/2022 06:27 AM	01/11/2022 06:32 AM	9.014	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	116071.1896	111017.928	113544.5588	3960544.65499916	3788118.85072195	3874331.75286055	123182.399033333	363357.212806342	85845.415136	138194.084164999	64942.9962514286	92136.218102714	51312.3681153	60747.2971970702	NA	NA	3174374.10603967	8144533.06257127	2307669.79356888	3150103.40127391	1763310.29845327	2183665.75051772	1354414.63242849	1490345.59722644	NA	NA	121752.720396667	367842.453019314	86767.31508	135148.690471343	65600.658031	90874.9050772685	50586.8171983	60693.2187815653	NA	NA	3131590.89660756	8168889.23440338	2345205.80485045	3022450.65888376	1789443.24799351	2135133.0766214	1351873.90738857	1482416.76973216	NA	NA	120323.04176	372372.371824906	87689.215024	132352.589833106	66258.3198105714	89767.8438232389	49861.2662813	61091.8297096377	NA	NA	3088807.68717544	8198136.8976622	2382741.81613203	2907483.32493549	1815576.19753376	2094684.98979846	1349333.18234866	1484917.00255952	NA	NA
B01-0040	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	12/15/2021 07:00 AM	12/16/2021 07:00 AM	6.945	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	21791.58948	74137.68366	47964.63657	572893.749594066	1949055.41962312	1260974.58460859	7263.86316	58864.3753870837	5764.5169844	17426.2461569228	6640.056187	10726.8889050664	9649.3172929	8796.43874418601	9141.64484292857	6584.57020390982	190964.583198022	1547525.14790027	152446.857127754	458422.354429065	178609.445515085	284819.677661251	251285.595562193	224537.821528493	243460.395925917	168993.06145077	15988.21219	129564.131838699	11350.7204212	38339.5512555315	11889.4074056429	23574.5161343094	12114.87751665	14512.5987092349	10774.7064910714	10011.5455479485	420324.861536197	3406198.58730801	299531.242470275	1007626.29866178	318412.208261108	624099.838598276	319425.272444973	384121.2586982	290975.809357316	263658.709009563	24712.56122	200263.888290314	16936.923858	59484.9417448548	17138.7586242857	36676.8846672109	14580.4377404	22955.0057186126	12407.7681392143	15552.9075848773	649685.139874372	5264872.02671574	446615.627812797	1563234.85109908	458214.971007132	970614.505334311	387564.949327753	608425.338229612	338491.222788715	411288.275320613
E02-0054	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	03/25/2022 08:00 AM	03/26/2022 08:00 AM	0.113	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5035.35331226887	7553.25690843163	6294.30511035025	2153.87907634291	3230.91568841332	2692.39738237812	60428.7288244815	424208.794145537	41208.4204349668	128643.886763285	29434.5860249763	78448.9275611715	22676.256232895	49400.9899230826	85748.2581747554	199273.618242196	29579.6429400509	204474.695276168	20277.9906171208	62103.8854248746	14484.2790122292	37953.4267658824	11344.3248666871	23878.4461655655	41863.0536160669	95662.7894488168	56987.4604884537	352973.252586856	37596.2433423848	110297.01877412	27063.4071768395	67591.8933345201	20672.3278993741	42716.1845856333	83231.935451919	195283.738513579	28234.3927336488	169221.593599617	18680.063906718	53205.9263836442	13433.8623292528	32733.5164014229	10428.1755524634	20660.6725782796	40801.4623174853	93707.4207572677	53546.1921524258	283875.489265033	33984.0662498028	93341.3922481999	24692.2283287028	57504.3666390525	18668.3995658532	36581.8607768652	80715.6127290827	191420.740950824	26889.1425272468	135756.067722496	17082.1371963151	45263.8169349951	12383.4456462765	28040.2282412314	9512.02623823977	17824.527403048	39739.8710189037	91825.3511321065
A01-0077	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	10/31/2021 12:00 AM	10/31/2021 11:55 PM	10.075	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	138088.2382	56767.52001	97427.879105	5266410.02247897	2165000.00455462	3715705.01351679	94055.7661133333	258594.288970572	89268.24206	92710.0030025966	73122.4268885714	64259.4658473686	66675.829574	40734.231827019	61720.1083871428	32900.6145826361	3661257.48848401	11042957.6586656	3254734.54043041	3715864.62871204	2596427.42782349	2588863.51471461	2311564.34049112	1672148.38756097	2057855.89885927	1254085.33944011	78695.5965883333	200930.252232533	74019.3428887	81906.3855714055	61073.9613890714	55160.9517557529	52494.21345685	36451.0579885927	52231.7906145357	32260.6205918609	3078055.46844944	9173097.5765571	2709319.55809131	3300510.15396629	2172499.10984418	2240054.45652683	1831185.90490009	1484890.63432722	1728912.44131388	1155687.19790873	63335.4270633333	186802.981928858	58770.4437174	80343.9637758275	49025.4958895714	51236.2812596389	38312.5973397	35712.3508394897	42743.4728419286	35142.6340241652	2494853.44841487	8781256.39824298	2163904.57575221	3222801.36224281	1748570.79186487	2073437.2152098	1350807.46930906	1419753.37420761	1399968.98376848	1177701.0153596
A01-0136	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	12/27/2021 12:00 AM	12/27/2021 11:59 PM	11.2	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	16556.09842	16556.09842	16556.09842	701922.149824584	701922.149824584	701922.149824584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M03-0041	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	04/05/2022 11:00 AM	04/06/2022 11:00 AM	0.22	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5057.22661502659	0	2528.61330751329	4211.60876417332	0	2105.80438208666	5234.01740938425	827.041278661686	4748.06236568838	2124.18749622638	3391.47311834884	3244.14303866396	4053.19742672145	2544.49545779279	5565.38845146341	4099.64569496635	3810.36925769391	2034.25225536844	3509.43150721228	1615.11928225435	2506.73679086591	2407.72173872557	3296.66928100297	2278.2360089869	4468.33728077398	3503.93263480267	4856.87099630013	13605.8030148658	4521.77451783791	4244.04418319087	3617.82465728798	3158.14553242433	4346.3318136055	3865.09133492937	5906.87026901703	4582.58832796497	3474.65652110833	9497.35572209002	3308.00386526093	2979.29264749487	2637.39309553586	2268.39301656201	3513.34001777557	3500.98717293066	4759.79100266803	4009.88577117502	4479.72458321602	26418.063236525	4295.48666998744	7565.58412995114	3844.17619622712	4467.16008604997	4639.46620048955	5984.1996148439	6248.35208657065	5650.19444258662	3138.94378452275	19060.4094523245	3106.57622330958	5464.63218868004	2768.0494002058	3232.64445086146	3730.01075454817	5370.15831678521	5051.24472456208	4981.42601142974
C01-0088	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	02/28/2022 07:00 AM	03/01/2022 07:00 AM	18.918	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	23910.86854	42517.64059	33214.254565	1712314.35656787	3044789.70589705	2378552.03123246	10037.0973813333	58055.8221642869	10603.0352038	17878.2438109026	13446.4877025714	17929.9237262693	12769.0714186	11146.6160914369	25048.9001504286	21556.5707326819	713053.536300113	4170182.895589	730410.92672454	1278608.00456993	886819.121096433	1146403.82469813	757826.934624912	735700.72858758	1240501.51327875	959348.070781654	13654.9854881667	81299.1667089118	11631.5685004	24377.1359129038	15744.442843	24107.9796028186	15634.1227875	14869.9945356298	26777.6819839286	21485.0463882489	970707.238179402	5839361.79436724	811504.994044975	1753161.9568788	1041024.23736792	1549293.82397503	916999.867485027	974662.249708044	1340088.20555809	1006831.49844738	17272.873595	104576.908951037	12660.101797	32224.0648263611	18042.3979834286	30763.3376302934	18499.1741564	18955.8946474825	28506.4638174286	22030.6121539135	1228360.94005869	7510796.76886498	892599.06136541	2311593.53733796	1195229.3536394	1985232.69448351	1076172.80034514	1237300.7569732	1439674.89783743	1097077.46415341
A03-0079	k12	upstream	Sewer Network	K-12 School	105612	MountainviewES-01	11/05/2021 06:00 AM	11/05/2021 01:45 PM	NA	8-hr time-weighted composite	Mountainview Elementary	26501		-79.94331	39.61036	726	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0	0	0	NA	NA	NA	781.855643666667	6335.94591384133	469.1133862	1931.78208515801	39646.2486758571	134729.626067845	39646.2486758571	134729.626067845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1563.77698066667	12672.4241886246	938.2661884	3863.72648314893	24807.9910252857	82489.1297492273	24807.9910252857	82489.1297492273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2345.69831766667	19008.9024634078	1407.4189906	5795.67088113985	9969.73337471429	30382.1016597323	9969.73337471429	30382.1016597323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
