Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day10.mean	n1.day10.ci	n1.day14.mean	n1.day14.ci	n1.day3.mean	n1.day3.ci	n1.day5.mean	n1.day5.ci	n1.day7.mean	n1.day7.ci	n1.load.day10.mean	n1.load.day10.ci	n1.load.day14.mean	n1.load.day14.ci	n1.load.day3.mean	n1.load.day3.ci	n1.load.day5.mean	n1.load.day5.ci	n1.load.day7.mean	n1.load.day7.ci	n1n2.day10.mean	n1n2.day10.ci	n1n2.day14.mean	n1n2.day14.ci	n1n2.day3.mean	n1n2.day3.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.day7.mean	n1n2.day7.ci	n1n2.load.day10.mean	n1n2.load.day10.ci	n1n2.load.day14.mean	n1n2.load.day14.ci	n1n2.load.day3.mean	n1n2.load.day3.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.load.day7.mean	n1n2.load.day7.ci	n2.day10.mean	n2.day10.ci	n2.day14.mean	n2.day14.ci	n2.day3.mean	n2.day3.ci	n2.day5.mean	n2.day5.ci	n2.day7.mean	n2.day7.ci	n2.load.day10.mean	n2.load.day10.ci	n2.load.day14.mean	n2.load.day14.ci	n2.load.day3.mean	n2.load.day3.ci	n2.load.day5.mean	n2.load.day5.ci	n2.load.day7.mean	n2.load.day7.ci
A03-0191	k12	upstream	Sewer Network	K-12 School	105612	SuncrestES-01	01/24/2022 06:00 AM	01/24/2022 02:00 PM	NA	8-hr time-weighted composite	Suncrest Elementary	26505		-79.97825	39.67137	515	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	18083.78968	12916.19696	15499.99332	NA	NA	NA	3431.1941381	5078.2225538602	10108.3819727143	16627.2510309292	7480.31919266667	42973.0754667328	5007.9915156	13543.9074302956	4094.13679685714	8085.16981321465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4519.4832991	4781.10484220489	11463.3964543571	18461.9889656644	6309.38707266667	37365.0048590964	7025.8682179	11384.122691689	5556.90586992857	7319.54278020574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5607.7724601	6806.060914647	12818.410936	20657.441960618	5138.45495266667	31946.7238858551	9043.7449202	16469.8043292544	7019.674943	10480.204426429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0492	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	05/02/2022 09:00 AM	05/04/2022 09:00 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	53411.8533879517	45777.4188369511	49594.6361124514	NA	NA	NA	211675.150781011	502831.110425472	152303.512443293	341336.304326546	87862.3639792204	208490.708385613	390564.834181219	1322759.8926337	283772.941447262	796758.52057247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	217030.829553406	519438.088850732	155862.74319452	352561.2656318	93844.519406557	238207.988676564	403262.860118093	1365475.32696386	293179.496539518	822392.60506757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	222386.508325801	536119.691662183	159421.973945747	363835.686312425	99826.6748338936	270515.33375813	415960.886054968	1408315.80743775	302586.051631774	848095.869206579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R01-0050	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	04/06/2022 09:00 AM	04/07/2022 09:00 AM	0.179	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2922.00415860862	2922.00415860862	2922.00415860862	1979.91609340492	1979.91609340492	1979.91609340492	30279.9359811253	48203.5617483357	59187.8069245235	73402.2883630461	3001.66189042479	3102.38796794576	9731.4071356818	17519.9189439424	13091.452148313	12563.5482598966	32099.9626229465	50941.4005094245	33487.7294836739	41229.4156585503	2039.90247873729	2062.91641036975	6021.25193617726	10359.7667023842	6974.31562210323	7359.59576207384	23162.7098143615	29009.5010038157	47497.6392613391	60903.5151951136	2723.66189042479	5100.28077134094	9564.6071356818	17827.3179322209	14108.19611892	14647.481405093	27018.6864157018	44628.6619930807	26540.9284317948	33747.7250060225	1849.42821835729	3426.34178782442	6483.30603631986	11740.1858796151	7451.22857715879	8212.4812366496	16045.4836475976	13349.0047537635	35807.4715981547	51982.1586936074	2445.66189042479	7249.23870159474	9397.8071356818	18155.5104074174	15124.940089527	17102.6867777773	21937.4102084571	40314.6492068929	19594.1273799158	28305.6651387009	1658.95395797729	4897.86848629547	6945.36013646245	13459.734056072	7928.14153221435	9234.00217047389
G01-0142	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	03/06/2022 09:00 AM	03/07/2022 08:00 AM	0.986	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	42959.50212	33409.14164	38184.32188	160342.658315188	124696.756671496	142519.707493342	20137.192243	14117.7958122061	48335.5022723571	66939.4010913695	24500.3960946667	96032.6919782221	19792.9520644	32078.4930318882	16778.5624814286	20266.0182048273	89051.4451356544	53243.5952433313	181724.812448932	215718.474182478	91926.7597080115	362066.743082899	77759.4890593566	119148.601780842	76162.419034509	77007.5946533936	18948.17904855	12367.0537772046	45040.3633739286	66111.534807787	22055.5553313333	84932.760463719	17468.9269174	28293.4197715358	15661.7290415	17390.7811077355	86323.2568514736	47038.5665385006	171413.969692168	213098.672281484	82727.3252939308	320642.551428351	68605.928796279	104370.436793994	74681.5717023449	68060.0439818977	17759.1658541	10829.8515815002	41745.2244755	66034.7825301	19610.714568	73857.1149103019	15144.9017704	24640.0147572854	14544.8956015714	14847.5196793074	83595.0685672929	43847.5482981111	161103.126935403	213187.653818584	73527.8908798501	279318.170171496	59452.3685332013	90222.4983270922	73200.7243701807	64514.6264560454
A02-0439	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	04/06/2022 09:00 AM	04/08/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1475	2697	2086	NA	NA	NA	3573.94782761782	5483.7369253439	6812.3019484413	10401.8969607364	2209.3886393259	2977.20099759293	1766.03318359554	1465.1649053237	4218.92546802546	8779.32296137977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2886.30374855026	3498.61793868002	5933.08381446447	8925.48000307602	2107.72197265923	2240.87037767686	1816.73318359554	997.719732235608	3319.71964078609	5571.45488167738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2198.65966948271	1680.78287653441	5053.86568048765	7584.32895516844	2006.05530599256	5199.96139517841	1867.43318359554	1782.43557158126	2420.51381354672	2572.45179524911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A04-0014	not institution specific	wwtp	WWTP	WWTP	105612	CheatLakeWWTP-01	02/11/2022 09:00 AM	02/12/2022 09:00 AM	0.698	24-hr time-weighted composite	Cheat Lake	26508	NA	-79.857	39.67712	2000	Monongalia	0.75	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	219077.3267	201271.5706	210174.44865	578849.657277886	531803.000413332	555326.328845609	347001.612562	234763.857792518	607183.325465714	414564.755705411	372333.473566667	802711.131690226	304564.3993	281343.137673736	236504.599045714	221274.734404457	1025116.32411677	375939.602027329	1588904.8166121	923491.444344532	1041223.19160835	2396238.97218101	889140.054090056	770654.180546423	903101.368464765	467628.695633148	327051.45555	237904.513988898	555154.133289286	358677.838360466	345410.482133333	1034099.11513211	274075.415138	341483.951447037	215795.268621429	235160.956809609	979543.475876935	427303.741308243	1461658.17778547	769532.682543071	967034.134155353	3031351.13604977	801082.583099153	957977.308992587	855483.897596657	586400.686948088	307101.298538	249125.568043179	503124.941112857	328512.025915075	318487.4907	1332802.42755495	243586.430976	424083.976124654	195085.938197143	266656.559643806	933970.627637104	508023.022799458	1334411.53895884	692261.053808173	892845.076702358	3856353.012046	713025.11210825	1204636.35618087	807866.426728549	744899.207761982
D01-0029	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	04/11/2022 07:19 AM	04/12/2022 07:19 AM	1.25	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2097	2845	2471	9922.5059625	13461.8643125	11692.1851375	43680.5378843009	66561.0930322326	173458.233907951	273595.433354388	17944.0728363593	126996.790257587	26038.3004493833	60583.8081014571	21469.0802874182	36482.5632663814	208178.037720259	312972.587072529	835426.47046398	1320692.31878151	88047.4682480945	625992.669656314	127374.925911449	296695.226328271	104862.745486028	178735.225184069	34764.2808087036	49822.0893232198	172205.876350046	284257.165783311	14287.9544924398	96028.9388435166	25367.0484695315	63782.9176215824	20626.6905015941	38204.961655708	166089.439323478	235232.242593135	830120.864404247	1372688.80091132	70034.2142772946	473684.755116315	124007.041019599	311938.587397918	100691.914658625	186926.801856239	25848.0237331062	36209.5151422165	170953.518792141	295786.379309435	10631.8361485203	65073.3598138822	24695.7964896798	69275.7616289192	19784.30071577	41300.997675416	124000.840926697	172959.960350287	824815.258344514	1428687.93530505	52020.9603064946	321431.023031663	120639.156127748	338524.103441063	96521.0838312228	201891.002845542
E01-0025	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	01/11/2022 07:30 AM	01/12/2022 07:30 AM	5.229	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	58243.15019	406	29324.575095	1152859.60832745	8036.32700934	580447.967668393	239550.523569	313498.200687856	264173.67423	229976.340021987	97970.7813933333	227056.759233999	104562.159722	71955.5248696621	106845.98747	49984.0276701834	2100875.61403579	2052806.06948436	2131369.21329529	1515188.11931748	2449276.95324014	8255505.02924665	1847721.73239197	2773930.09308677	1520331.22187342	1761126.66652238	210699.56355405	347476.545356915	240780.116873964	253324.353706974	51370.9685266667	130773.040280996	58060.6655841	40215.3142878352	71500.8785193572	39728.351299309	1642428.45281548	2147870.57414374	1784909.52256619	1596853.39942075	1293439.83849709	4647617.82335151	998177.39641746	1494572.63428935	900071.166215805	890258.687900638	181848.6035391	386145.43551863	217386.559517929	279639.697350527	4771.15566	35589.0013938658	11559.1714462	31490.5230769444	36155.7695687143	57476.5653621954	1183981.29159518	2437917.35053482	1438449.83183709	1804295.33888431	137602.72375404	1052831.4471918	148633.060442955	345952.613998933	279811.110558187	352444.595866667
A02-0088	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	09/06/2021 08:38 AM	09/08/2021 08:38 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	125459.3676	34484.016	79971.6918	NA	NA	NA	27016.8599953	37129.4511985869	NA	NA	62276.2792566667	287605.899536197	40761.9521026	96702.2265334305	34286.7525661429	57437.1182918341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22300.95808905	24150.0418104434	NA	NA	45218.4895983333	183564.346159875	30339.5054619	63401.4334770402	27406.3407342143	37038.0756410824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17585.0561828	13820.7868638924	NA	NA	28160.69994	107553.433928108	19917.0588212	36565.7574492107	20525.9289022857	21074.1325989724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02-0333	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	02/05/2022 09:00 AM	02/07/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2690.704758	10763.85632	6727.280539	NA	NA	NA	138288.4003728	151026.872826471	106913.396573429	109478.817912469	85751.946556	584278.871540476	59905.5541576	177007.782166044	140002.117069714	206073.025383775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	133397.1347989	156007.126135974	103343.792378321	111755.626211806	62522.899688	369322.714843646	44641.1262248	114155.785970886	132485.758253429	205922.732459667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128505.869225	165695.354811906	99774.1881832143	117031.031212616	39293.85282	157161.042186091	29376.698292	52957.6918600087	124969.399437143	214008.17939024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
