Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
O01-0060	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	05/09/2022 06:30 AM	05/10/2022 06:30 AM	1.71	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	19598.6746251583	3919.00186892599	11758.8382470421	126863.222340923	25367.8993585534	76115.5608497382	25573.8969594241	31167.0303456631	200635.442803894	199217.44745892	18900.9097907692	23916.9564010255	168260.726037501	229022.993654072	12227.9226221144	18189.5122344422	135886.009271108	273147.666364249
A02-0126	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	09/22/2021 10:21 AM	09/24/2021 10:21 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	54050.04263	67114.13175	60582.08719	NA	NA	NA	70742.04838	183736.870816949	1295895.35912418	4811118.73246562	71581.363439	183651.103490841	922519.61920656	5831997.08711889	72420.678498	183779.827035087	549143.87928894	6852875.44177216
N03-0067	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	04/17/2022 07:30 AM	04/18/2022 07:30 AM	0.38456	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	40760.9517127275	48917.8993552922	44839.4255340098	59336.4213335491	71210.6308840536	65273.5261088013	8943.7903425455	32769.5892403351	13477.9919311613	47240.6078435488	10549.0493644103	35349.7761486588	16278.1116993708	50528.6204557693	12154.3083862751	37956.1293479632	19078.2314675804	53873.5611205314
M04-0039	not institution specific	wwtp	WWTP	WWTP	56072	FarmingtonWWTP-01	04/05/2022 02:00 PM	04/06/2022 02:00 PM	0.263	24-hr time-weighted composite	Farmington	26571		-80.24933	39.51181	610	Marion	0.125	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9160.7084311545	1960	5560.35421557725	9120.06081052504	1951.3031468	5535.68197866252	3575.01399504543	5831.82578775069	2395.33564353225	6924.61674172058	2794.64315192998	3032.16340654301	1661.24269685674	3994.56701255055	2014.27230881453	1255.86440944191	927.149750181239	1105.68274818173
M03-0019	not institution specific	wwtp	WWTP	WWTP	56072	ManningtonWWTP-01	02/25/2022 11:30 AM	02/26/2022 11:30 AM	0.869	24-hr time-weighted composite	Mannington	26582	NA	-80.32371	39.51814	1091	Marion	0.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	297	1564	930.5	976.98782313	5144.81129756	3060.899560345	13893.956308	19600.4315509204	17132.1839373681	22915.9951868402	10583.984266	12429.1527310619	16375.5091800523	32131.7148774726	7274.012224	15158.3227565716	15618.8344227365	45387.1233938592
I01-0003	not institution specific	wwtp	WWTP	WWTP	17884	WarmSpringsWWTP-01	10/27/2021 07:00 AM	10/28/2021 07:00 AM	NA	24-hr flow-weighted composite	Warm Springs	25411		-78.22662	39.62802	3255	Morgan	1.8	Complete	paused	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	105735.9129	102475.8196	104105.86625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A01-0190	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	03/01/2022 12:00 AM	03/02/2022 12:00 AM	9.8	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	121115.4141	31222.10015	76168.757125	4493020.69694515	1158246.81126235	2825633.75410375	71340.021782	54457.3286896649	3049838.96755149	1711858.05343567	59045.127376	31004.271828239	2596585.06793221	1376818.65709888	46750.23297	46204.3192934743	2143331.16831292	2363956.20190644
A01-0042	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	09/20/2021 12:00 AM	09/20/2021 11:55 PM	7.36	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	132638.4389	1730361.567	931500.00295	3695388.82525387	48208941.9279238	25952165.3765888	183882.23994	224283.237351992	5170825.587988	6086955.61477157	317582.075463	652343.118310877	8902968.00786047	18101004.3174601	451281.910986	1322310.973454	12635110.4277329	36783214.9851529
C01-0093	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	03/07/2022 07:00 AM	03/08/2022 07:00 AM	14.69	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10471.39619	7853.302415	9162.3493025	582289.974139826	436703.8718781	509496.923008963	10258.00769	8144.13687935512	730325.062983058	1054887.87330399	11622.232746	9602.53951442352	910240.838307619	1554269.11620934	12986.457802	11677.4284294801	1090156.61363218	2066809.07933877
A02-0434	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	04/04/2022 09:00 AM	04/06/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2033	798	1415.5	NA	NA	NA	1840.2	1808.86251265543	NA	NA	1827.39596302584	1583.00495960273	NA	NA	1814.59192605167	2105.4550274503	NA	NA
