Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
A02-0489	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	05/02/2022 09:00 AM	05/04/2022 09:00 AM	NA	05/04/2022	48-hr time-weighted composite	College Park	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	52626.8819	49855.39578	51241.13884	NA	NA	NA	NA	NA	NA	29579.887134	65752.0731104955	NA	NA	NA	NA	22151.0021148	47229.5392597277	NA	NA	NA	NA	14722.1170956	38050.5497417177	NA	NA	NA	NA
N02-0022	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	03/01/2022 07:00 AM	03/02/2022 07:00 AM	8.56	03/08/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5461.883778	8193.092421	6827.4880995	176982.018680996	265481.671680592	221231.845180794	0.000667907082349597	0.00100189324356779	NA	23308.4590812	50807.1431962924	766665.911686177	1565255.95661886	0.00289329727408173	0.00590707206815177	23442.3317403	54627.7890100942	765826.697917714	1669261.54527104	NA	NA	23576.2043994	58640.8274426523	764987.484149251	1781548.0238287	0.00288696310721281	0.00672333015257266
H01-0128	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	02/14/2022 08:00 AM	02/15/2022 08:00 AM	NA	02/18/2022	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	18705.2412	18705.2412	18705.2412	NA	NA	NA	NA	NA	NA	18939.6669544	22469.8233016895	137702.957465257	187260.911729532	0.00114752464554381	0.0015605075977461	15267.1180076	16060.9265600363	108154.268939265	127524.152174348	NA	NA	11594.5690608	13785.7715931216	78605.5804132729	97394.1299666009	0.000655046503443941	0.000811617749721675
E01-0025	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	01/11/2022 07:30 AM	01/12/2022 07:30 AM	5.229	01/13/2022	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	58243.15019	1071	29657.075095	1152859.60832745	21199.27642119	587029.442374318	0.00320238780090957	5.888687894775e-05	NA	104562.159722	71955.5248696621	1847721.73239197	2773930.09308677	0.00513256036775546	0.00770536136968547	58095.2655841	40069.0467893866	998831.231738251	1493264.65728402	NA	NA	11628.3714462	31393.9288270071	149940.731084537	343960.976844792	0.000416502030790382	0.000955447157902199
L01-0020	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	01/19/2022 09:00 AM	01/20/2022 09:00 AM	0.515	02/02/2022	24-hr time-weighted composite	West Union	26456		-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	998258.1103	933511.3335	965884.7219	1946090.36015502	1819867.41552628	1882978.88784065	0.34505148229699	0.322671527575582	NA	1675218.2916	1837389.40610365	2138137.94340817	2000636.56492715	0.379102472235491	0.35472279519985	1690942.20005	1877358.8768574	2152671.97415288	2037077.38000203	NA	NA	1706666.1085	1918352.59284043	2167206.00489758	2076751.37223618	0.384256383847089	0.36821832841067
A01-0032	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	09/09/2021 12:00 AM	09/09/2021 11:55 PM	9.799	09/13/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	101988.9289	121158.2518	111573.59035	3783099.06129267	4494151.21421519	4138625.13775393	0.00782796528160212	0.00929927001782649	NA	104605.360088	60857.3179233322	3756045.39537365	1831935.75495197	0.00777198600267682	0.0037906301832312	110401.581227	75365.8472047548	3953778.77325846	2317361.63458426	NA	NA	116197.802366	90365.0419633938	4151512.15114326	2831186.51246499	0.0085902833784623	0.00585827369737003
A01-0156	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	01/19/2022 12:00 AM	01/20/2022 12:00 AM	16.9	01/25/2022	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	441672.83	488711.8506	465192.3403	28255325.4312341	31264572.8758177	29759949.1535259	0.0584657453882513	0.0646924616698761	NA	601805.60414	581567.220985849	24644920.4715448	20812698.2192504	0.0509951176782502	0.0430655069923242	568037.484224	743315.900339045	23695201.9204202	27554105.1257697	NA	NA	534269.364308	917783.643231586	22745483.3692956	34335885.3256271	0.0470648141228596	0.0710476024781225
R01-0002	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	05/09/2022 09:00 AM	05/10/2022 08:30 AM	0.143	05/11/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1707	447	1077	924.02236641	241.96719261	582.99477951	4.39801221518325e-05	1.15167630942408e-05	NA	1475.8	1580.4648323797	886.998785364	809.927540914343	4.22179336203713e-05	3.85496211763133e-05	1431.7187243	1066.27434245356	867.165816668676	1025.39542912856	NA	NA	1387.6374486	2929.17294973088	847.332847973353	2442.06402496604	4.03299784851667e-05	0.000116233413848931
G01-0008	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	12/21/2021 09:00 AM	12/22/2021 08:00 AM	0.673	01/06/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	59826.19889	14069.07141	36947.63515	152412.083406551	35842.0980269242	94127.0907167377	0.00186596576158853	0.000438811190339425	NA	98809.382454	143964.675830147	224081.43159111	334961.390784588	0.00274340636130154	0.00410089851597193	96238.457743	160770.712687161	217183.345421571	372968.381324167	NA	NA	93667.533032	180557.129736944	210285.259252033	418532.015003909	0.00257450121513262	0.0051240452375601
A02-0450	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	04/11/2022 09:00 AM	04/13/2022 09:00 AM	NA	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	157871.1498	116111.5175	136991.33365	NA	NA	NA	NA	NA	NA	131041.029994	381684.154719992	NA	NA	NA	NA	125619.78557	379772.092606083	NA	NA	NA	NA	120198.541146	378549.179351937	NA	NA	NA	NA
