Sample ID	type	category	group	level	county_population	Location	status	Sample Composite Start	Sample Composite End	Sample Received Date	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	responsible_lab	responsible_lab_abbrev	daily_flow	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.loadcap	n2.loadcap	n1n2.loadcap	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1.loadcap.day5.mean	n1.loadcap.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.loadcap.day5.mean	n1n2.loadcap.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci	n2.loadcap.day5.mean	n2.loadcap.day5.ci
N03-0091	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	05/13/2022	05/14/2022	05/18/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.49224	52971.45277	73168.67575	63070.06426	98703.3086588894	136337.404565286	117520.356612088	53.2667612838043	73.5765809850439	63.4216711344241	29110.864593	58660.7056852345	53356.1117725595	105374.699238169	28.7944477995464	56.8670799990121	30558.2172711	58754.3867697693	56238.2518646672	106143.441530982	30.3498391066742	57.2819436216849	32005.5699492	60639.0537095252	59120.3919567749	110226.014826722	31.9052304138019	59.4851672027643
R01-0093	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	active	07/14/2022	07/15/2022	07/20/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.103	12671.73557	10137.08247	11404.40902	4940.67459803547	3952.42037533456	4446.54748668501	2.35158238840337	1.88120912676562	2.11639575758449	18796.398238	37462.7775166814	7373.23679290072	15409.2629910801	3.50939399947678	7.3342517806188	17722.92521	34336.6738190946	6866.01270794331	13738.4683526439	3.26797368298111	6.53901397079673	16649.452182	32368.727120797	6358.7886229859	12439.0456375665	3.02655336648544	5.92053576276369
A01-0129	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	active	12/18/2021	12/19/2021	12/21/2021	24-hr flow-weighted composite	Morgantown Star City	26505		-79.9920554	39.6551745	48328	Monongalia	20.8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8	367054.9911	307543.3677	337299.1794	11115629.0708788	9313421.91620206	10214525.4935404	230.003912242981	192.712752776901	211.358332509941	107422.1774658	290667.436754702	3436759.72916905	8970203.26624669	71.1132206830212	185.610893607157	96730.799653	261203.515794022	3062428.91855098	7995802.73748621	63.3675906007073	165.448657868859	86039.4218402	233911.717438382	2688098.10793292	7108309.68519564	55.6219605183934	147.084706281982
N03-0004	not institution specific	wwtp	WWTP	WWTP	67256	SalemWWTP-01	active	04/03/2022	04/04/2022	04/06/2022	24-hr time-weighted composite	Salem	26426		-80.54515	39.28597	1853	Harrison	0.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.4226	58537.93971	66907.18219	62722.56095	93643.9772563349	107032.373847204	100338.17555177	50.5364151410334	57.761669642312	54.1490423916727	13702.2921692	46368.692582978	23030.5208380898	73330.5793433048	12.4287754118132	39.5739769796572	14877.8175006	49389.2637156394	25084.7697430244	77882.9247844263	13.537382484093	42.0307203369813	16053.342832	52458.5290355889	27139.018647959	82573.6770868872	14.6459895563729	44.5621570895236
H01-0017	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	active	10/14/2021	10/15/2021	10/25/2021	24-hr flow-weighted composite	Moundsville	26041	NA	-80.75493	39.92986	12000	Marshall	2.34	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37851.755814	48457.5680184008	NA	NA	NA	NA	25815.3713623	34977.8918760352	NA	NA	NA	NA	13778.9869106	31762.2412604623	NA	NA	NA	NA
O01-0098	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	06/09/2022	06/10/2022	06/15/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.91	134182.1654	120744.6063	127463.38585	462220.404761401	415931.734522016	439076.069641708	76.1357938990942	68.5112394205264	72.3235166598103	102777.897032	53623.4362106383	484332.010984414	297486.035435564	79.777962606558	49.0011588594242	101313.760882	62702.7142040213	476176.380875198	352262.589539366	78.4345875267993	58.0238164288199	99849.624732	74578.186865331	468020.750765983	419216.328202344	77.0912124470405	69.0522695111751
B01-0012	not institution specific	wwtp	WWTP	WWTP	183279	CharlestonWWTP-01	active	09/29/2021	09/30/2021	10/06/2021	24-hr flow-weighted composite	Charleston	25312		-81.67768	38.37287	50000	Kanawha	14	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	80861.0341	45460.93792	63160.98601	NA	NA	NA	NA	NA	NA	43236.047016	71066.5730921546	NA	NA	NA	NA	34288.041251	45869.1102998628	NA	NA	NA	NA	25340.035486	37517.9854339207	NA	NA	NA	NA
A02-0586	higher ed dorm	upstream	Sewer Network	Dormitory	105612	OaklandE-02	active	09/10/2022	09/12/2022	09/13/2022	48-hr time-weighted composite	WVU Oakland Hall	26505	Isolates WVU Oakland Hall.	-79.9622118	39.6511596	862	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	2528	1634	2081	NA	NA	NA	NA	NA	NA	2298.6555984	2640.62869570136	NA	NA	NA	NA	2223.3044136	1454.02666181675	NA	NA	NA	NA	2147.9532288	1005.05200589331	NA	NA	NA	NA
A02-0618	higher ed dorm	upstream	Sewer Network	Dormitory	105612	Seneca-01	active	09/14/2022	09/16/2022	09/16/2022	48-hr time-weighted composite	WVU Seneca Hall	26505	Captures Seneca Hall and associated dining	-79.95614	39.6392	474	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	4578.26902158559	13736.308850348	9157.2889359668	NA	NA	NA	NA	NA	NA	12417.4590057169	20416.1276897712	NA	NA	NA	NA	10492.2078270931	6466.53535779977	NA	NA	NA	NA	8566.95664846938	8349.21431655512	NA	NA	NA	NA
E01-0145	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	active	07/20/2022	07/21/2022	07/28/2022	24-hr time-weighted composite	Princeton	24740		-81.07993	37.38036	36000	Mercer	4.9	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.901	348677.153	272630.6462	310653.8996	2509103.25128342	1961867.69019512	2235485.47073927	69.6973125356507	54.4963247276423	62.0968186316465	325982.48594	236349.304086411	2776453.0342461	1842276.23962641	77.1236953957249	51.1743399896225	316237.16407	243394.447146303	2708588.59382939	1983121.23924335	75.2385720508165	55.0867010900932	306491.8422	255020.388108139	2640724.15341269	2147552.91730701	73.353448705908	59.6542477029724
R01-0144	not institution specific	wwtp	WWTP	WWTP	28695	HuttonsvilleWWTP-01	active	09/18/2022	09/19/2022	09/21/2022	24-hr time-weighted composite	Huttonsville	26273		-79.97895	38.71288	2101	Randolph	0.41	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.177	251291.84961319	215300.619900227	233296.234756708	168369.954438635	144255.198165044	156312.576301839	80.1380078241956	68.6602561470936	74.3991319856446	272452.707409859	108188.322599534	177450.234566917	72467.3814725765	84.459892702007	34.4918522001792	247488.1593436	134533.521811239	160673.943985301	86371.0714733296	76.4749852381251	41.1095056988718	222523.611277342	194075.499737362	143897.653403685	124520.818463215	68.4900777742432	59.2674052656903
O01-0196	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	12/02/2022	12/03/2022	12/07/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.94	36640.8716887234	38797.2128391265	37719.0422639249	269079.400872468	284914.913459514	276997.157165991	44.3220887617309	46.9304749562698	45.6262818590004	38985.5232685804	19686.4878134982	298562.976706985	179663.295885294	49.1785499434995	29.5936906416231	38984.7586266696	13957.3409603286	299581.593743279	141621.405465991	49.3463340048227	23.327525196177	38983.9939847589	8638.31426895165	300600.210779572	114747.96452025	49.514118066146	18.9009989326717
O01-0047	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	02/16/2022	02/17/2022	02/21/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1.49	11875.3762	11875.3762	11875.3762	66980.2200536506	66980.2200536506	66980.2200536506	11.0328150310741	11.0328150310741	11.0328150310741	33292.647136	61327.8572598856	208005.451206086	355483.131004632	34.2621398791116	58.5542959981275	30624.430195	55300.6832918277	191944.403678054	323692.046964326	31.6166041307945	53.3177478116169	27956.213254	49550.3104884415	175883.356150021	294278.42850756	28.9710683824775	48.4728098348806
L01-0190	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	active	08/16/2022	08/17/2022	08/24/2022	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.95	275945.7564	256783.1889	266364.47265	992339.434447418	923428.168539252	957883.801493335	1759.46708235358	1637.28398677172	1698.37553456265	224773.079492	228889.730942129	402053.245713745	661260.202617632	712.860364740683	1172.44716776176	220155.96906	218997.0055797	391884.995919582	634062.635165661	694.831553048904	1124.22453043557	215538.858628	209906.638422982	381716.746125418	607235.060503551	676.802741357124	1076.65790869424
C01-0176	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	05/16/2022	05/17/2022	05/24/2022	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	12.339	121410.1441	108746.8332	115078.48865	5670846.13477377	5079366.00596711	5375106.07037044	113.416922695475	101.587320119342	107.502121407409	150897.17726	113439.788628065	6544673.39242291	5205033.81289163	130.893467848458	104.100676257833	153072.28177	102619.223774528	6629887.01229145	4767951.91871919	132.597740245829	95.3590383743838	155247.38628	94893.2745999657	6715100.63215998	4489847.82482259	134.3020126432	89.7969564964518
A02-0445	higher ed dorm	upstream	Sewer Network	Dormitory	105612	CollegePark-02	inactive	04/09/2022	04/11/2022	04/11/2022	48-hr time-weighted composite	College Park Apartments	26505	Isolates all of College Park Apartments.	-79.9458019	39.6362083	567	Monongalia	-1	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	NA	2806	1760	2283	NA	NA	NA	NA	NA	NA	5445.3678818	10599.5479903857	NA	NA	NA	NA	4134.4082029	6560.31903606861	NA	NA	NA	NA	2823.448524	2680.38715666388	NA	NA	NA	NA
G01-0285	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	active	11/20/2022	11/21/2022	11/28/2022	24-hr time-weighted composite	Keyser	26726		-78.97508	39.44123	8168	Mineral	2.4	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	0.895	210439.782142639	217102.482318878	213771.132230758	712957.765869908	735530.60729726	724244.186583584	87.2867000330445	90.0502702371768	88.6684851351107	170839.642211795	140704.999374462	848682.78237338	1124575.01549199	103.903376882147	137.680584658667	169657.397098839	144418.486677884	835002.856440135	1079549.77285895	102.228557350653	132.168189625239	168475.151985884	148666.022105582	821322.930506889	1036339.84640008	100.553737819159	126.878041919696
O01-0125	not institution specific	wwtp	WWTP	WWTP	16695	GraftonWWTP-01	active	08/01/2022	08/02/2022	08/03/2022	24-hr flow-weighted composite	Grafton	26354	NA	-80.01837	39.33877	6071	Taylor	2.3	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2.33	25086.62492	27367.97154	26227.29823	221264.164753512	241385.654033049	231324.909393281	36.4460821534364	39.7604437544143	38.1032629539253	17314.8486534	18042.1125054891	148332.989413609	161550.002655286	24.4330405886359	26.6101140924536	15716.0645937	17634.9528501518	135149.188754017	158262.883253312	22.2614377786225	26.0686679712259	14117.280534	18048.756983137	121965.388094426	161712.025735618	20.0898349686091	26.6368021307228
K01-0090	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	active	05/09/2022	05/10/2022	05/18/2022	24-hr flow-weighted composite	Parkersburg	26101	NA	-81.55739	39.28171	48050	Wood	15.5	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9.196	19172.32465	31958.74695	25565.5358	667400.706533066	1112504.12684523	889952.416689147	13.8897129351315	23.1530515472472	18.5213822411893	51672.05883	51466.9297366153	1115550.95168568	789292.534960439	23.2164610132296	16.4264835579696	54491.199488	49371.222852731	1194998.29633358	737902.070269388	24.8698917030923	15.3569629608614	57310.340146	48313.6653722124	1274445.64098149	742584.531082713	26.5233223929549	15.4544127176423
N02-0193	not institution specific	wwtp	WWTP	WWTP	67256	ClarksburgWWTP-01	active	11/15/2022	11/16/2022	11/17/2022	24-hr flow-weighted composite	Clarksburg	26301		-80.33857	39.27931	26498	Harrison	8	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	15.665	33340.3557166457	54927.6620149611	44134.0088658034	1977031.33809589	3257125.09053106	2617078.21431348	74.6105871422709	122.919657730058	98.7651224361642	98541.8237373234	110023.559884284	2483249.72189808	1361352.01580071	93.7146094761146	51.3756515888261	97103.1307652594	120385.053696169	2506576.41655966	1682929.57761745	94.5949285440281	63.5115698398918	95664.4377931954	136614.220236084	2529903.11122123	2285559.07054619	95.4752476119415	86.2540218335793
C01-0078	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	active	02/14/2022	02/15/2022	02/22/2022	24-hr flow-weighted composite	Wheeling	26003		-80.72757	40.05588	50000	Ohio	10	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	9.704	245	558	401.5	8999.7365668	20497.35920112	14748.54788396	0.179994731336	0.4099471840224	0.2949709576792	44647.777584	71619.9845266701	1959550.31524405	3103675.46437966	39.1910063048809	62.0735092875931	43789.56398	70645.9307859428	1921196.95016939	3079531.91855975	38.4239390033878	61.5906383711951	42931.350376	70265.6281880863	1882843.58509473	3084297.7372564	37.6568717018947	61.6859547451281
K01-0059	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	active	03/21/2022	03/22/2022	03/30/2022	24-hr flow-weighted composite	Parkersburg	26101	NA	-81.55739	39.28171	48050	Wood	15.5	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5.449	19885.60963	11362.05113	15623.83038	410174.486059216	234361.609703704	322268.04788146	8.5364096994634	4.8774528554361	6.70693127744975	36009.13881	63244.9385973066	1086159.24159756	2160544.33624208	22.6047708969315	44.9645023151318	36419.170126	57802.1724033599	1100061.85562029	1966839.00141452	22.8941072969883	40.9331738067537	36829.201442	53690.6960634774	1113964.46964301	1797910.23955248	23.183443697045	37.4174867752857
