Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day10.mean	n1.day10.ci	n1.day14.mean	n1.day14.ci	n1.day3.mean	n1.day3.ci	n1.day5.mean	n1.day5.ci	n1.day7.mean	n1.day7.ci	n1.load.day10.mean	n1.load.day10.ci	n1.load.day14.mean	n1.load.day14.ci	n1.load.day3.mean	n1.load.day3.ci	n1.load.day5.mean	n1.load.day5.ci	n1.load.day7.mean	n1.load.day7.ci	n1n2.day10.mean	n1n2.day10.ci	n1n2.day14.mean	n1n2.day14.ci	n1n2.day3.mean	n1n2.day3.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.day7.mean	n1n2.day7.ci	n1n2.load.day10.mean	n1n2.load.day10.ci	n1n2.load.day14.mean	n1n2.load.day14.ci	n1n2.load.day3.mean	n1n2.load.day3.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.load.day7.mean	n1n2.load.day7.ci	n2.day10.mean	n2.day10.ci	n2.day14.mean	n2.day14.ci	n2.day3.mean	n2.day3.ci	n2.day5.mean	n2.day5.ci	n2.day7.mean	n2.day7.ci	n2.load.day10.mean	n2.load.day10.ci	n2.load.day14.mean	n2.load.day14.ci	n2.load.day3.mean	n2.load.day3.ci	n2.load.day5.mean	n2.load.day5.ci	n2.load.day7.mean	n2.load.day7.ci
C01-0130	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	03/20/2022 07:00 AM	03/21/2022 07:00 AM	7.407	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	10024.7389264405	3341.31341893226	6683.02617268638	281078.961877431	93685.5227843908	187382.242330911	37528.6117113804	72131.3249141873	29721.7685267003	48809.3661036612	9800.5711939186	6220.75758145378	9667.84056276082	4944.5237737675	15127.4793591149	12440.1675632638	1782323.55871744	3703952.99072057	1492326.49485356	2491527.56146009	308504.312411198	286938.393955644	329755.35337609	195253.204202142	562082.281027346	541844.171498106	29454.8306321145	57326.2115564424	24535.5086249032	38522.6051997436	8773.15595513209	8996.0651974425	9406.26561082899	8255.06048522604	11839.546766235	7287.82304805638	1390633.05899941	2946680.50561862	1282002.70418023	1986628.30422618	278370.831590144	370682.363344832	324729.452429812	327210.299317303	432401.752996264	304201.714847559	21381.0495528486	42898.2688201303	19349.2487231061	28618.8309877494	7745.74071634559	21630.4287053934	9144.69065889715	12845.9229672179	8551.61417335511	8110.60232048855	998942.559281382	2202483.20791808	1071678.9135069	1530625.29790984	248237.350769091	713347.221087686	319703.551483533	486072.124303564	302721.224965182	298177.354065457
E02-0096	not institution specific	wwtp	WWTP	WWTP	58758	AthensWWTP-01	01/26/2022 08:00 AM	01/27/2022 08:00 AM	0.131	24-hr time-weighted composite	Athens	24740	NA	-81.01598	37.42163	2391	Mercer	0.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1377259.233	647494.4723	1012376.85265	682967.30438796	321085.198600978	502026.251494469	1453283.57307	1417515.75481471	1068298.31611514	1061328.88496319	2681750.11633333	10528641.3516468	2218313.075	3217286.3359608	1712590.72477143	2188915.94439522	1166864.57596486	996273.225767971	892728.686546371	761726.792048732	1632442.68325865	7398436.72961412	1560123.85822507	2074926.35969191	1173519.97365197	1477011.5442027	1320657.925425	1393479.92241488	973886.775016321	1025512.93477918	2430737.45905	10711319.424764	2044833.46254	3235586.2838387	1554256.86678571	2168821.54769341	1043213.71816559	934816.914231264	805171.072303533	706339.904405093	1493977.85629993	7413709.73567404	1429832.22062754	2070065.6844223	1064554.00566178	1443951.39307846	1188032.27778	1382982.4294621	879475.2339175	999251.969693728	2179724.80176667	10910870.1583448	1871353.85008	3279031.67956213	1395923.0088	2165515.71031779	919562.860366321	897033.616747658	717613.458060696	665965.49590897	1355513.02934121	7434023.75543983	1299540.58303002	2088721.92221051	955588.037671587	1424331.80283282
H01-0200	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	04/24/2022 08:00 AM	04/25/2022 08:00 AM	1.9	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	8281.5937232226	5520.88075317443	6901.23723819852	59563.5326220657	39707.7147025606	49635.6236623132	13653.1256473072	10598.299986852	10414.8661716288	8171.37092875329	17925.4980850965	39131.2338694442	18310.2692496031	16887.4722559747	14170.4909374948	13388.4825658784	109745.837138591	86589.2620326589	84692.9630542622	65975.7086909219	137479.868137126	315731.564913058	144041.534646139	143017.513724138	112946.654751573	107572.95488266	11533.4971577778	8609.96948048604	8781.02903876028	6705.01884279425	13710.8398973942	31341.160563828	15258.2314275205	14696.9638562795	12226.6562290596	11010.7017360003	92982.1611364222	70545.5817654122	71655.1038060071	54175.3868947514	104690.257161496	244543.820694192	120010.252388573	124969.955230451	97880.777045044	89140.9076861691	9413.8686682485	7381.69205689499	7147.19190589179	5677.26044793666	9496.18170969187	31997.8093768634	12206.1936054379	14681.9166731796	10282.8215206244	10059.9094469027	76218.485134253	60854.6588360456	58617.2445577522	46127.1962779798	71900.6461858667	242459.91788381	95978.970131007	123167.112811139	82814.8993385153	82643.0385995285
P01-0026	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	02/28/2022 09:40 AM	03/01/2022 09:21 AM	0.262	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	57520.31833	21903.1962	39711.757265	57047.3529109061	21723.0954169898	39385.224163948	91160.4252511	120883.989058222	104526.629528643	93018.2749792358	47196.2765633333	83724.9461662626	32069.4450562	44870.9966706693	90957.0269115714	187649.448952668	87205.8187329326	107048.719635505	104992.002061568	89530.8612659047	63801.4324663614	93319.0111214312	42281.2506857314	60384.4941467102	92802.1398326205	158333.115637009	87594.66073655	121147.669691409	104163.834229321	93973.9429723527	42734.7654866667	63371.4407034577	28145.0090481	40846.0409532805	88990.8835293571	189997.486264161	91843.5040417349	115422.500052434	109158.336746755	92858.4837381605	60587.9554374084	111103.145893955	39003.8131015295	62659.8056148774	91391.2488058233	160897.880564339	84028.896222	121906.890352324	103801.03893	96296.3316792049	38273.25441	84176.1038164734	24220.57304	42481.4045876151	87024.7401471429	192829.585738887	96481.1893505371	126285.909833433	113324.671431941	98716.5642181515	57374.4784084553	153422.500782396	35726.3755173276	69308.2630457353	89980.3577790261	164136.44146345
S01-0030	not institution specific	wwtp	WWTP	WWTP	21939	FollansbeeWWTP-01	04/21/2022 06:00 AM	04/22/2022 06:00 AM	0.741	24-hr time-weighted composite	Follansbee	26037		-80.59829	40.3258	6468	Brooke	1.6	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13670.2971719205	19139.6643966436	16404.980784282	38345.0305966117	53686.5444597407	46015.7875281762	32499.901432465	41123.4955372658	27780.3706244135	28739.6747955024	38540.1810053736	248564.73993554	31955.5693267196	75436.4751399433	39899.8749767233	63326.3482825581	90305.7312769509	112459.292040906	77087.7192548214	78631.3762236825	111560.082230638	719428.2750525	90790.1596686535	217487.057233204	109779.815328512	173188.934840421	31179.0529594153	42195.3798149295	26299.7642137743	29159.2757396213	36829.6355381608	224621.379782374	29050.1476151049	68539.7140215445	39187.6693739902	64760.2863606505	86373.7970340781	114427.076935722	72831.5511178899	79152.753226604	106523.803364556	650127.798065664	82677.7103257214	198075.77391039	107571.32232927	175484.294904751	29858.2044863656	43857.8437448348	24819.1578031352	30035.7716801093	35119.090070948	201124.822333396	26144.7259034902	62249.1946965549	38475.463771257	67131.3622142019	82441.8627912054	118073.986025379	68575.3829809584	80951.3244469093	101487.524498474	582010.850165913	74565.2609827893	180238.019703738	105362.829330027	180416.159328851
L01-0014	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	01/25/2022 09:10 AM	01/26/2022 09:10 AM	NA	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2558186.86	2753949.866	2656068.363	NA	NA	NA	1746049.59814	925960.100480524	NA	NA	2258243.451	3602143.6907117	1780750.0086	1933407.67450337	1556644.12448571	1217746.63037979	2065227.32419631	1042899.34937515	NA	NA	2577766.17839939	4191374.76407233	1992316.70498446	2164040.96009639	2244909.50190171	1532173.48160644	1756522.904075	943497.478522217	NA	NA	2319696.36316667	3629665.40169265	1780509.54116	1974212.91991499	1555272.65896429	1240374.01808887	2064103.49974104	1050124.42650679	NA	NA	2535063.55766858	4301087.67881595	1975535.02532921	2153111.06998108	2230712.82631873	1548515.9643509	1766996.21001	966428.585203961	NA	NA	2381149.27533333	3663129.91244783	1780269.07372	2033971.94428163	1553901.19344286	1273395.90230698	2062979.67528577	1064702.00996581	NA	NA	2492360.93693777	4545414.51547359	1958753.34567396	2166691.25725196	2216516.15073576	1576947.94015192
A02-0261	not institution specific	upstream	Sewer Network	Mixed	105612	NorthHighSt-02 (MUB)	12/06/2021 09:00 AM	12/08/2021 09:00 AM	NA	48-hr time-weighted composite	North High Street	26505	Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing.	-79.9532029	39.6331164	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	12460.0183	14952.46639	13706.242345	NA	NA	NA	30614.8732989	46900.0377491336	24552.9027331429	32507.9535973089	58559.55006	380824.09799312	42643.80635	115434.347629977	41187.7230867143	71444.1923168173	1295895.35912418	4811118.73246562	1295895.35912418	4811118.73246562	1295895.35912418	4811118.73246562	1295895.35912418	4811118.73246562	1295895.35912418	4811118.73246562	29680.1348889	43438.7208657378	24617.5349861786	30075.3713606923	56072.4889926667	360051.58798688	40227.6782441	109422.669307203	38584.2067257143	66917.4834847102	922519.61920656	5831997.08711889	922519.61920656	5831997.08711889	922519.61920656	5831997.08711889	922519.61920656	5831997.08711889	922519.61920656	5831997.08711889	28745.3964789	40239.2763915503	24682.1672392143	27933.7197931646	53585.4279253333	339378.294774071	37811.5501382	103536.543081061	35980.6903647143	62549.7638326721	549143.87928894	6852875.44177216	549143.87928894	6852875.44177216	549143.87928894	6852875.44177216	549143.87928894	6852875.44177216	549143.87928894	6852875.44177216
B01-0031	not institution specific	wwtp	WWTP	WWTP	178124	CharlestonWWTP-01	12/09/2021 07:00 AM	12/10/2021 07:00 AM	6.747	24-hr flow-weighted composite	Charleston	25312	NA	-81.67768	38.37287	50000	Kanawha	14	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	523	264	393.5	13357.50434421	6742.60257528	10050.053459745	10114.7442879	7702.59913994014	10635.8527158571	5372.08152685339	6060.26946233333	30450.0067695548	9665.0967614	15347.6380100523	9951.084001	11216.4149927971	269642.199926428	194248.348294578	309396.587952773	148822.73991057	167129.779103678	842782.933196362	248571.313086404	373329.043685654	257261.77313191	281700.931696564	9716.3288769	7095.44979528613	11546.7952178929	5399.17554748634	9211.5832445	61265.7791012208	10131.4367256	17293.9060199599	9638.02472292857	11126.0053486654	265540.617348384	189919.301767062	313926.900605946	145135.242069161	254195.891552975	1692801.4984717	267425.685228606	473121.895912498	253713.938133021	302388.358717966	9317.9134659	9822.52780973236	12457.7377199286	8032.14602141559	12362.8970266667	92931.9041532052	10597.7766898	26832.663275919	9324.96544485714	15942.2338915566	261439.03477034	272116.405813603	318457.213259118	200418.017709451	341262.004002272	2566869.49922027	286280.057370808	743206.002545198	250166.103134132	441341.2814251
A02-0384	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	03/05/2022 09:00 AM	03/07/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2614.338244	7843.504446	5228.921345	NA	NA	NA	28925.5059103	31114.9004264255	99995.6969930714	188496.648034377	6674.09468766667	31384.3950597055	13645.7999106	25014.7824605787	22751.2658532857	34084.8222110595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25002.58114065	27248.6048805535	101781.40997475	202824.148415032	5827.747155	8048.40194656899	12156.606517	19138.5378499453	19992.2184555714	30492.4470271073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21079.656371	23917.5900873309	103567.122956429	217357.622018136	4981.39962233333	16247.9562179541	10667.4131234	15889.6927571525	17233.1710578571	27629.1595176992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P01-0048	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	04/01/2022 10:02 AM	04/02/2022 10:02 AM	0.207	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	3428.5053703934	6857.2915624827	5142.89846643805	2686.50779242716	5373.23563108229	4029.87171175473	3674.05529172197	2761.40778074842	10181.6885157377	19959.0642074875	5488.99510409683	17773.2995766213	3821.7970624581	6573.20905384812	4212.21760287987	4248.93173859146	3321.51374695915	2259.06913862799	11274.052084367	23933.3500533339	4264.36821776586	12553.5928657526	3014.66290083552	4790.45006696446	3706.00559668673	3466.22933862835	3271.02299959697	2537.3816352246	10450.7826763269	21183.1680196589	5669.51600690061	18557.0962525612	4058.80960414037	6575.17742639855	3708.83099637659	3944.75522510219	2857.78490148822	1811.6744403084	11557.3238912965	25404.3252904121	4373.26337488102	13255.2323666238	3188.05565917762	4753.45944853192	3131.54631316684	2810.02941364323	2867.99070747196	3006.87013870369	10719.8768369162	22461.9592372934	5850.0369097044	21567.3420108004	4295.82214582264	7189.75872469713	3205.44438987331	4790.14015999024	2394.0560560173	2195.62124417529	11840.595698226	26916.8896813256	4482.15853199619	15973.7562542015	3361.44841751971	5286.82553876025	2557.08702964694	3528.16195562035
