Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day5.mean	n1.day5.ci	n1.load.day5.mean	n1.load.day5.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n2.day5.mean	n2.day5.ci	n2.load.day5.mean	n2.load.day5.ci
G01-0145	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	03/25/2022 09:00 AM	03/26/2022 08:00 AM	1.081	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	229111.195206642	92732.0252358914	160921.610221267	937529.474012396	379462.063235699	658495.768624048	54153.7327026367	182194.936323694	217590.831183977	749089.406662751	41542.2218588017	126237.899108854	164566.513391133	521464.446960259	28930.7110149667	72311.8280435034	111542.195598289	301803.779418362
C01-0106	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	01/13/2022 07:00 AM	01/14/2022 07:00 AM	8.363	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	254645.606	244531.1496	249588.3778	8061413.68976495	7741216.46127835	7901315.07552165	244689.344446	276979.609400882	9705392.25376058	9784597.92582855	215092.0045283	232822.823720799	8517966.0237353	8793034.44161248	185494.6646106	218609.085144366	7330539.79371002	8859827.34576487
L01-0084	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	04/21/2022 09:00 AM	04/22/2022 09:00 AM	0.144	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2065	2062	2063.5	1125.6295176	1123.99422048	1124.81186904	3265.41841401756	5065.36817490457	3330.61949404504	5192.5263489457	2955.56536839753	4033.18168263501	2967.12315848141	4133.27458254478	2645.71232277751	3435.02854928948	2603.62682291778	3673.81662290872
E01-0079	not institution specific	wwtp	WWTP	WWTP	58758	PrincetonWWTP-01	03/15/2022 08:15 AM	03/16/2022 08:15 AM	3.344	24-hr time-weighted composite	Princeton	24740	NA	-81.07993	37.38036	36000	Mercer	4.9	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	38744.4119900466	29054.9486875534	33899.6803388	490442.692473114	367789.483233159	429116.087853137	38828.5979807029	68902.4211748993	597137.153147088	893939.955219997	38372.4354655573	73277.0515484427	589369.27888262	965239.963006095	37916.2729504118	77986.8250946659	581601.404618152	1041049.40309062
D01-0063	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	03/15/2022 07:25 AM	03/16/2022 07:25 AM	1.28	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	40795.7162708046	43711.2166732549	42253.4664720298	197668.495780693	211795.042185095	204731.768982894	58925.857141614	43250.1210470969	275334.89030579	193906.379259751	47314.5364159718	38726.5758064991	222250.176306626	182627.130941753	35703.2156903296	50073.1577357157	169165.462307461	240386.345474867
A1032	not institution specific	wwtp	WWTP	WWTP	105612	StarCityWWTP-01	04/19/2021 12:00 PM	04/19/2021 11:59 AM	8.689	24-hr flow-weighted composite	Morgantown Star City	26505	NA	-79.9920554	39.6551745	48328	Monongalia	20.8	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	19320	9660	14490	635462.3791068	317731.1895534	476596.7843301	24158	56798.0053684916	826862.708245856	1845470.30664352	26800.9	67444.5260578922	922807.400080777	2202353.73007138	29443.8	78940.1015156961	1018752.0919157	2592298.26718803
J01-0012	not institution specific	wwtp	WWTP	WWTP	33432	AlpineLakeWWTP-01	03/22/2022 09:00 AM	03/23/2022 07:30 AM	0.112	24-hr time-weighted composite	Alpine Lake	26764	NA	-79.50179	39.45709	700	Preston	0.15	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	2636.87192928046	7911.11452504991	5273.99322716519	1117.94383341957	3354.04294783815	2235.99339062886	10315.5791855831	30043.0860235768	7246.84319369007	17064.5044511693	11874.7973939327	35233.0839778688	7190.30281092151	17149.3564917227	13434.0156022823	40901.1252740802	7133.76242815295	19164.8830801763
D01-0022	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	12/12/2021 07:30 AM	12/13/2021 07:30 AM	1.35	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	451446.3848	248272.6416	349859.5132	2307028.04030579	1268748.54932273	1787888.29481426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A03-0132	k12	upstream	Sewer Network	K-12 School	105612	MorgantownHS-01	01/05/2022 06:00 AM	01/05/2022 02:00 PM	NA	8-hr time-weighted composite	Morgantown High	26501		-79.95736	39.62542	1851	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	5759.879658	20163.04448	12961.462069	NA	NA	NA	33256.6403696	99168.2962408003	NA	NA	29816.7036548	84792.0591409	NA	NA	26376.76694	71389.8234687363	NA	NA
A02-0436	higher ed dorm	upstream	Sewer Network	Dormitory	105612	HonorsSummit-01 (MUB)	04/02/2022 09:00 AM	04/04/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Honors & Summit	26505	Isolates WVU Honors and Summit Halls (confirmed by dye test).	-79.9567626	39.6378753	874	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1203	2632	1917.5	NA	NA	NA	5959.92302757502	20141.8272236629	NA	NA	4232.55747681335	9546.04458791002	NA	NA	2505.19192605167	1163.74301955857	NA	NA
