Sample ID	type	category	group	level	county_population	Location	Sample Composite Start	Sample Composite End	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	location_info	longitude	latitude	population_served	counties_served	capacity_mgd	Status: WaTCH	status	responsible_lab	responsible_lab_abbrev	n1	n2	n1n2	n1.load	n2.load	n1n2.load	n1.day10.mean	n1.day10.ci	n1.day14.mean	n1.day14.ci	n1.day3.mean	n1.day3.ci	n1.day5.mean	n1.day5.ci	n1.day7.mean	n1.day7.ci	n1.load.day10.mean	n1.load.day10.ci	n1.load.day14.mean	n1.load.day14.ci	n1.load.day3.mean	n1.load.day3.ci	n1.load.day5.mean	n1.load.day5.ci	n1.load.day7.mean	n1.load.day7.ci	n1n2.day10.mean	n1n2.day10.ci	n1n2.day14.mean	n1n2.day14.ci	n1n2.day3.mean	n1n2.day3.ci	n1n2.day5.mean	n1n2.day5.ci	n1n2.day7.mean	n1n2.day7.ci	n1n2.load.day10.mean	n1n2.load.day10.ci	n1n2.load.day14.mean	n1n2.load.day14.ci	n1n2.load.day3.mean	n1n2.load.day3.ci	n1n2.load.day5.mean	n1n2.load.day5.ci	n1n2.load.day7.mean	n1n2.load.day7.ci	n2.day10.mean	n2.day10.ci	n2.day14.mean	n2.day14.ci	n2.day3.mean	n2.day3.ci	n2.day5.mean	n2.day5.ci	n2.day7.mean	n2.day7.ci	n2.load.day10.mean	n2.load.day10.ci	n2.load.day14.mean	n2.load.day14.ci	n2.load.day3.mean	n2.load.day3.ci	n2.load.day5.mean	n2.load.day5.ci	n2.load.day7.mean	n2.load.day7.ci
P01-0065	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	04/05/2022 09:00 AM	04/06/2022 09:00 AM	0.377	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1344	1374	1359	1918.02182208	1960.83480918	1939.42831563	3582.07311550751	2847.15655463106	3192.60254660142	2008.55611259625	2574.15998461843	5108.60256997271	4152.19197915047	6076.84821319287	3236.13712796462	4080.65905808038	3306.80532602574	2293.62324242314	2910.03445977974	1652.68215779344	2309.07905946917	1798.601659837	3406.76680785559	4117.5821215189	2667.1852950797	2921.19176434346	3223.29082338251	2649.54547355986	3137.82956539893	1868.92505949314	3150.62434996664	8889.10092221401	4409.10452083274	6154.43726459266	3508.07465773767	4064.87209783044	2852.25382855882	1878.20847620007	2771.54451110671	1372.10307122645	2764.00253042836	5206.90959063194	3602.59985521868	4145.71069461127	2880.47785125835	2872.31473609092	2864.50853125751	3043.55890015555	3083.05658419643	2203.32401218417	3727.08871531486	13208.1257707802	4666.01706251501	6602.00319378305	3780.01218751072	4342.80102222325	2397.70233109189	2211.42373883972	2633.05456243368	1682.69818977122	3218.92600138755	8769.923618107	3798.43290258178	4517.44335759356	3093.77040743699	3099.43899325513
G01-0128	not institution specific	wwtp	WWTP	WWTP	26868	KeyserWWTP-01	03/14/2022 09:00 AM	03/15/2022 08:00 AM	1.071	24-hr time-weighted composite	Keyser	26726	NA	-78.97508	39.44123	8168	Mineral	2.4	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	24347.8419631719	33481.9280728698	28914.8850180209	98710.3905214631	135741.565945911	117225.978233687	23472.0509580434	14357.2862632154	20998.5832161739	11810.7190745475	31519.7039023041	74866.1977017957	23788.7929072868	30379.2961778693	25903.7385137763	20122.0331687083	91794.1452841483	55419.1741316875	87988.012719482	44884.5158758946	123186.784522757	295586.275384696	93629.6387932192	119498.235115134	100802.338288608	77115.5456217328	18877.5710958473	11237.5025066758	17793.616117498	9413.97468148906	22018.078142032	41974.2921333015	16195.2747738945	19589.1411013505	20318.0452099247	15569.0776222266	73884.9481981737	43449.5668132789	76941.3656722274	36836.0104299937	86765.0833638164	177466.024301026	64071.6760191725	79354.17451138	79209.8925220078	59759.9235089921	14283.0912336511	13313.4228870325	14588.6490188222	10135.2923553316	12516.4523817599	85186.7867380754	8601.75664050225	25696.1549890281	14732.351906073	20227.5223000498	55975.7511121991	52174.9332182792	65894.7186249729	42456.2915087654	50343.3822048757	346813.249186786	34513.7132451258	104534.049410274	57617.4467554073	79264.1241460291
L01-0074	not institution specific	wwtp	WWTP	WWTP	8448	WestUnionWWTP-01	03/13/2022 09:00 AM	03/14/2022 09:00 AM	0.361	24-hr time-weighted composite	West Union	26456	NA	-80.77899	39.29906	564	Doddridge	0.2	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	7900.4273749888	3950.0273577869	5925.22736638785	10796.1948010298	5397.84277481888	8097.01878792436	28399.0937303219	18931.8322637659	31448.5762266585	16462.8854636591	7944.29368805141	18886.6915330509	15704.5258486438	33933.2868455798	23348.9702247455	25858.3853652196	31317.3488023704	19445.2202778137	46270.8164788475	31841.0231438954	10488.506486233	23956.5167722943	17639.1635542422	29973.5135977049	25102.5022258468	23886.1775409375	33269.7505054069	24422.2774004791	36084.7504277906	19861.2952181161	7385.23347315317	28178.0126163001	15348.6813878138	36336.6573924154	26557.1850034384	32891.7463988242	36457.6902692161	25887.9075061053	52235.8380098457	36585.1106536636	9693.00038333493	35829.4692829081	16914.3595264322	33019.5442294117	28225.0043115355	32140.8271048563	38140.4072804919	30656.6587943356	40720.9246289228	23854.1311785233	6826.17325825493	38043.12120844	14992.8369269838	38919.7147194907	29765.3997821313	41335.4322011177	41598.0317360617	33036.9739225102	58200.859540844	41764.0064298899	8897.49428043689	48669.5995311359	16189.5554986222	36409.5611972918	31347.5063972243	41804.7062297644
D01-0070	not institution specific	wwtp	WWTP	WWTP	57146	CharlesTownWWTP-01	03/29/2022 07:40 AM	03/30/2022 07:40 AM	1.26	24-hr flow-weighted composite	Charles Town	25414		-77.85589	39.27924	17000	Jefferson	2.25	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	13088.8380669057	10470.7421734929	11779.7901201993	62428.7393186253	49941.4256850118	56185.0825018186	249636.442303381	388011.695130876	201421.851228233	264924.130920617	95507.2722770273	530232.142300825	57514.5633662164	175950.697677699	324912.530385627	601819.899043297	1199099.38284	1875026.17705203	965976.096960222	1280215.90140471	449247.052933464	2485395.38162472	270581.996947798	825543.003697981	1563384.55713799	2908023.91491366	244952.09467687	406564.582881504	195026.583122988	277357.6455149	67751.9915252923	386271.091156994	41224.2363187722	126625.496082069	323372.847912784	631208.428666754	1178450.80517001	1964834.30572756	937001.867469606	1340396.86263971	318683.663541467	1810502.43683105	193999.087573295	593971.423112024	1557534.49971997	3050402.7568262	240267.747050359	426432.83759751	188631.315017743	290686.149679899	39996.7107735573	244744.232449141	24933.9092713281	78025.7719885673	321833.165439941	662591.74042793	1157802.22750003	2060639.03208345	908027.637978991	1404653.33025617	188120.27414947	1147283.90699492	117416.178198791	365885.649151285	1551684.44230195	3201954.54048244
P01-0019	not institution specific	wwtp	WWTP	WWTP	7482	StMarysWWTP-01	01/25/2022 10:00 AM	01/26/2022 10:00 AM	0.231	24-hr time-weighted composite	Saint Marys	26170		-81.20511	39.39125	2892	Pleasants	0.525	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	1121552.65	451704.1844	786628.4172	980718.958489231	394983.558970679	687851.258729955	NA	NA	NA	NA	1264230.53536667	5054744.43778947	994357.54556	1624932.26177552	NA	NA	NA	NA	NA	NA	1182870.54176191	4352288.28061878	912667.735280801	1424536.82193131	NA	NA	NA	NA	NA	NA	1031496.86973333	4130226.13532681	841530.21416	1322450.78857032	NA	NA	NA	NA	NA	NA	980561.021901197	3516475.15705409	778879.799181878	1148004.9369687	NA	NA	NA	NA	NA	NA	798763.2041	3310507.60412763	688702.88276	1060132.09397511	NA	NA	NA	NA	NA	NA	778251.50204048	2813713.45239098	645091.863082955	911686.480400266	NA	NA
A02-0418	not institution specific	upstream	Sewer Network	Campus	105612	Evansdale-01	03/23/2022 09:00 AM	03/25/2022 09:00 AM	NA	48-hr time-weighted composite	WVU Evansdale	26505	Captures all of the WVU Evansdale campus, including residential and academic buildings.	-79.9721575	39.6500969	-1	Monongalia	-1	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	19489.3123582005	6495.43077684937	12992.3715675249	NA	NA	NA	9146.50638162005	15081.0140139051	12075.9200421572	11632.5046156838	7806.77078606683	47336.3481384584	5487.6624716401	14438.9982452339	4885.03474574293	8573.91520319855	2771430.9232254	57954898.9991151	2771430.9232254	57954898.9991151	2771430.9232254	57954898.9991151	2771430.9232254	57954898.9991151	2771430.9232254	57954898.9991151	7807.82699320249	13004.9826534603	10948.3205245375	11060.6787892853	5496.62385584164	30372.0713745811	4094.17431350499	9164.47247482928	3889.61463278928	5545.85484700283	2302079.300073	41003112.2295372	2302079.300073	41003112.2295372	2302079.300073	41003112.2295372	2302079.300073	41003112.2295372	2302079.300073	41003112.2295372	6469.14760478494	11116.2176246802	9820.72100691781	10891.1245994598	3186.47692561646	13414.6431949726	2700.68615536987	3968.09595458936	2894.19451983562	2857.20246946919	1832727.6769206	24051325.4599593	1832727.6769206	24051325.4599593	1832727.6769206	24051325.4599593	1832727.6769206	24051325.4599593	1832727.6769206	24051325.4599593
C01-0055	not institution specific	wwtp	WWTP	WWTP	41411	WheelingWWTP-01	12/08/2021 07:00 AM	12/09/2021 07:00 AM	6.748	24-hr flow-weighted composite	Wheeling	26003	NA	-80.72757	40.05588	50000	Ohio	10	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	126909.2976	171948.6639	149428.98075	3241764.33109065	4392247.50235884	3817005.91672475	99343.5973993	82717.3462430113	104058.859677357	57824.2021783443	75322.3010666667	224988.331802777	91352.125618	150945.337812993	67478.3548704286	101724.25130921	2297399.62743434	1786808.93412109	2390776.08336954	1253402.02778613	2071722.39485231	4806104.78838863	2295167.613781	3346056.90331017	1691844.15551007	2344735.98254399	92690.72499785	77142.4497829398	91994.49584025	51732.7657878072	86979.9358666667	274595.869090775	99299.1568573	162555.398629055	72787.8635990714	110442.680044616	2168656.65114157	1719286.47678845	2132548.77424126	1154218.80248584	2358002.22832328	5926860.8343582	2489850.47158656	3626615.71631502	1822228.86910878	2557798.63810345	86037.8525964	76993.9759426275	79930.1320031429	52219.4122092898	98637.5706666667	324279.131718018	107246.1880966	175440.135027226	78097.3723277143	119808.388901552	2039913.6748488	1770844.53633486	1874321.46511297	1204618.0176697	2644282.06179426	7082759.84255516	2684533.32939212	3940376.12646163	1952613.58270749	2786888.44090678
K01-0009	not institution specific	wwtp	WWTP	WWTP	83518	ParkersburgWWTP-01	02/15/2022 06:27 AM	02/16/2022 06:24 AM	5.839	24-hr flow-weighted composite	Parkersburg	26101		-81.55739	39.28171	48050	Wood	15.5	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	175341.7119	65237.6765	120289.6942	3875579.43444769	1441948.95016621	2658764.19230695	322722.025653	211890.496753313	453013.583102143	247772.977904203	191243.959066667	143583.865908034	155059.883586	100779.522193537	203920.049704286	144637.813167826	7634377.22773937	4184183.24248246	12891236.3791998	9822018.49204622	4744388.07181117	3530531.24792299	4112240.740448	1914813.93858399	5388381.75045434	3055049.51447175	301264.838863	222386.948207907	434608.085677143	259323.578800208	138147.483836667	88433.5189639653	120239.315756	55236.2461408841	177544.231911429	166154.416404936	7069248.30202902	4423509.54265259	12447068.1278302	10207515.1483845	3517224.96515187	5348058.70417548	3281794.30431572	1697124.73731032	4677840.15817809	3434534.41118348	279807.652073	237347.321610188	416202.588252143	272792.030575374	85051.0086066667	243606.844860011	85418.747926	72272.981268784	151168.414118571	198515.001927691	6504119.37631866	4785487.78403145	12002899.8764606	10619914.9483334	2290061.85849257	8574763.68164318	2451347.86818345	2525108.21807007	3967298.56590184	4124400.0345984
H01-0093	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	12/15/2021 08:00 AM	12/16/2021 08:00 AM	1.6	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	17261.33885	22194.45661	19727.89773	104545.991513886	134424.188793696	119485.090153791	35354.0543614	36524.1950484635	50568.0692531429	39451.3773282528	26698.4660733333	68112.1399705886	19287.0240148	26851.6106018151	21258.1569548571	17670.8631994482	271220.245029802	236931.322098539	274812.711836355	165179.102037072	99228.4830261473	35689.3308389964	169671.476639477	348084.497947731	246578.719961067	359642.514889388	35656.3240794	37823.3287303504	62270.8265177857	68667.4579194546	31665.290045	87156.2364629214	23897.5034448	32402.2702346613	22771.7440127143	20512.4461705962	254893.060101018	227169.758199271	270799.557443064	162975.953021752	131727.251902737	108099.97280901	174735.308333301	276161.771912086	245761.566426703	351384.05138114	35958.5937974	39957.0601293138	73973.5837824286	102675.833965793	36632.1140166667	106203.691781936	28507.9828748	38639.4926531151	24285.3310705714	25738.543395784	238565.875172233	226652.279859971	266786.403049773	169236.421830352	164226.020779326	251439.909659957	179799.140027125	220325.253219386	244944.41289234	353461.466519207
H01-0073	not institution specific	wwtp	WWTP	WWTP	30531	MoundsvilleWWTP-01	01/10/2022 08:00 AM	01/11/2022 08:00 AM	2.3	24-hr flow-weighted composite	Moundsville	26041		-80.75493	39.92986	12000	Marshall	2.34	Complete	active	Zoonotic Pathogen Monitoring Laboratory at West Virginia University	WVU ZPM	79315.27555	107905.553	93610.414275	690553.925605369	939473.546577979	815013.736091674	61647.4705318	72228.8806981161	124469.012873643	222148.056404737	140610.60755	255203.735052819	114471.8843756	132530.462582441	86582.6371497143	98895.8343519892	456664.19863115	514300.63493031	341708.247955804	371100.506629439	1021817.51519872	1386408.4244807	841013.980876697	908464.056931968	640822.408513643	693050.171354944	64860.4055381	73551.8586287288	134677.604732714	242867.413672532	149864.616391667	230431.162011054	119948.9923638	131391.472462957	89812.0702259286	101293.242387934	476530.613089518	534017.701142181	358298.216011314	384601.032659304	1098094.48995623	1272565.85034968	886210.103299227	915692.031983582	667349.182734846	720340.869069749	68073.3405444	75396.9955429534	144886.196591786	263706.860058297	159118.625233333	207701.583081156	125426.100352	131672.882424239	93041.5033021429	104541.783466713	496397.027547885	557742.336403818	374888.184066824	400713.110482947	1174371.46471374	1214983.64202051	931406.225721757	937118.415491581	693875.95695605	755442.625254145
