sample_id	sbatch_id	variant	proportion	aliases
C01-0748	SARS_20241014	XEC	0.00221604	XEC,KS.1.1,KP.3.3
C01-0748	SARS_20241014	ML.1	0.00264399	ML.1
C01-0748	SARS_20241014	XDY	0.00243357	XDY,KP.3.2,LB.1.2.1
C01-0748	SARS_20241014	KP.1.1.3	0.00101626	KP.1.1.3
C01-0748	SARS_20241014	KP.2.3.3	0.00267972	KP.2.3.3
C01-0748	SARS_20241014	MC.13.1	0.00162167	MC.13.1
C01-0748	SARS_20241014	KP.3.1.5	0.00261624	KP.3.1.5
C01-0748	SARS_20241014	KP.3.3.4	0.08856084	KP.3.3.4
C01-0748	SARS_20241014	KP.3.1	0.49578259	KP.3.1
C01-0748	SARS_20241014	KP.3	0.22512412	KP.3
C01-0748	SARS_20241014	MC.11	0.00250627	MC.11
C01-0748	SARS_20241014	KP.1.1	0.16127503	KP.1.1
A01-1063	SARS_20241014	KP.3.3.4	0.00719309	KP.3.3.4
A01-1063	SARS_20241014	KP.3	0.89612668	KP.3
A01-1063	SARS_20241014	KP.3.1.1	0.00677386	KP.3.1.1
A01-1063	SARS_20241014	XEF	0.00147493	XEF
A01-1063	SARS_20241014	KP.1.1	0.00195668	KP.1.1
A01-1063	SARS_20241014	KS.1.2	0.00174129	KS.1.2
A01-1063	SARS_20241014	MC.11.1	0.00250808	MC.11.1
A01-1063	SARS_20241014	ML.1	0.00197851	ML.1
A01-1063	SARS_20241014	MC.17	0.00196720	MC.17
A01-1063	SARS_20241014	KP.2.3.4	0.00746359	KP.2.3.4
A01-1063	SARS_20241014	KP.2	0.05817612	KP.2
E01-0651	SARS_20241014	KP.3	0.48616812	KP.3
E01-0651	SARS_20241014	KP.3.1	0.05077682	KP.3.1
E01-0651	SARS_20241014	LF.3.1	0.00471697	LF.3.1
E01-0651	SARS_20241014	MC.15	0.00694443	MC.15
E01-0651	SARS_20241014	ML.1	0.00326456	ML.1
E01-0651	SARS_20241014	KP.2.3.2	0.01467719	KP.2.3.2
E01-0651	SARS_20241014	KP.3.2.5	0.00129534	KP.3.2.5
E01-0651	SARS_20241014	KP.2.3.4	0.00169309	KP.2.3.4
E01-0651	SARS_20241014	MC.13.1	0.00156762	MC.13.1
E01-0651	SARS_20241014	KP.3.4	0.41413369	KP.3.4
E01-0658	SARS_20241014	JN.11	0.00580559	JN.11
E01-0658	SARS_20241014	KP.1	0.00670974	KP.1
E01-0658	SARS_20241014	MC.13	0.00796055	MC.13
E01-0658	SARS_20241014	KS.1.1.2	0.00135220	KS.1.1.2
E01-0658	SARS_20241014	MC.13.1	0.00136986	MC.13.1
E01-0658	SARS_20241014	MD.1.2	0.00145138	MD.1.2
E01-0658	SARS_20241014	KP.2.3.3	0.95301691	KP.2.3.3
E01-0658	SARS_20241014	XDY	0.00432054	XDY,KP.3.2,LB.1.2.1
E01-0658	SARS_20241014	BA.2.86.5	0.00148258	BA.2.86.5
C01-0749	SARS_20241014	ML.1	0.00241298	ML.1
C01-0749	SARS_20241014	KP.1.1.3	0.00105964	KP.1.1.3
C01-0749	SARS_20241014	MC.10	0.00655022	MC.10
C01-0749	SARS_20241014	KP.2	0.36392823	KP.2
C01-0749	SARS_20241014	KP.2.3.4	0.04124190	KP.2.3.4
C01-0749	SARS_20241014	MC.13.1	0.00509230	MC.13.1
C01-0749	SARS_20241014	KP.3.1.1	0.43183178	KP.3.1.1
C01-0749	SARS_20241014	KP.3.2.4	0.01167320	KP.3.2.4
C01-0749	SARS_20241014	MC.13	0.07677900	MC.13
C01-0749	SARS_20241014	KP.2.3	0.05287570	KP.2.3
C01-0749	SARS_20241014	KP.2.23	0.00157922	KP.2.23
C01-0746	SARS_20241014	KP.3.1.1	0.02821914	KP.3.1.1
C01-0746	SARS_20241014	JN.1.11.1	0.55957741	JN.1.11.1
C01-0746	SARS_20241014	MC.13	0.00507318	MC.13
C01-0746	SARS_20241014	LF.3	0.02288612	LF.3
C01-0746	SARS_20241014	KP.2.11	0.00232288	KP.2.11
C01-0746	SARS_20241014	MC.11.1	0.00156006	MC.11.1
C01-0746	SARS_20241014	KP.2.3.3	0.00232213	KP.2.3.3
C01-0746	SARS_20241014	KP.2	0.25009500	KP.2
C01-0746	SARS_20241014	MC.13.1	0.00985222	MC.13.1
C01-0746	SARS_20241014	MC.18	0.00116891	MC.18
C01-0746	SARS_20241014	LF.3.1	0.00135627	LF.3.1
C01-0746	SARS_20241014	MC.6	0.00823045	MC.6
C01-0746	SARS_20241014	LB.1.3.2	0.00128793	LB.1.3.2
C01-0746	SARS_20241014	LB.1.1	0.09592197	LB.1.1
E01-0657	SARS_20241014	KP.2.3.7	0.01298224	KP.2.3.7
E01-0657	SARS_20241014	LF.3.1.1	0.00117069	LF.3.1.1
E01-0657	SARS_20241014	KP.2.3.4	0.94388976	KP.2.3.4
E01-0657	SARS_20241014	MC.18	0.02245477	MC.18
E01-0656	SARS_20241014	MD.1.1	0.00103048	MD.1.1
E01-0656	SARS_20241014	KP.3	0.00318389	KP.3
E01-0656	SARS_20241014	KP.2.3	0.05977300	KP.2.3
E01-0656	SARS_20241014	MC.4	0.00213290	MC.4
E01-0656	SARS_20241014	KP.2.11	0.00124224	KP.2.11
