sample_id	sbatch_id	variant	proportion	aliases
C01-0620	SARS_20240326	LF.2	0.00155199	LF.2
C01-0620	SARS_20240326	BA.5.1.17	0.00238155	BA.5.1.17
C01-0620	SARS_20240326	LF.4	0.00128123	LF.4
C01-0620	SARS_20240326	JN.1.32	0.21650835	JN.1.32
C01-0620	SARS_20240326	JN.1.1.1	0.00121293	JN.1.1.1,XDK
C01-0620	SARS_20240326	JN.1.18.2	0.00104384	JN.1.18.2
C01-0620	SARS_20240326	JN.1.7	0.00160319	JN.1.7
C01-0620	SARS_20240326	JN.1	0.04857149	JN.1,XDV,XDD
C01-0620	SARS_20240326	JN.1.2	0.04857149	JN.1.2
C01-0620	SARS_20240326	JN.1.8.1	0.01268233	JN.1.8.1
C01-0620	SARS_20240326	JN.1.8.2	0.01133137	JN.1.8.2
C01-0620	SARS_20240326	JN.1.45	0.00439239	JN.1.45
C01-0620	SARS_20240326	LM.1	0.00124224	LM.1
C01-0620	SARS_20240326	JN.1.19	0.00120095	JN.1.19
C01-0620	SARS_20240326	JN.1.26	0.00257400	JN.1.26
C01-0620	SARS_20240326	JN.1.3	0.04857149	JN.1.3
C01-0620	SARS_20240326	JN.1.7.3	0.00162026	JN.1.7.3
C01-0620	SARS_20240326	JN.1.22	0.00235942	JN.1.22
C01-0620	SARS_20240326	JN.1.30	0.01033590	JN.1.30
C01-0620	SARS_20240326	KQ.1	0.19392956	KQ.1
C01-0620	SARS_20240326	JN.1.1.9	0.00263852	JN.1.1.9
C01-0620	SARS_20240326	JN.1.4.3	0.08529758	JN.1.4.3
C01-0620	SARS_20240326	KV.2	0.00313480	KV.2
C01-0620	SARS_20240326	JN.1.18	0.07133027	JN.1.18
C01-0620	SARS_20240326	XBW	0.00213148	XBW,XBB.1.5,BQ.1.14
C01-0620	SARS_20240326	LL.1	0.00177936	LL.1
C01-0620	SARS_20240326	JN.1.4.6	0.00592981	JN.1.4.6
C01-0620	SARS_20240326	JN.1.4.4	0.04734642	JN.1.4.4
C01-0620	SARS_20240326	JN.1.60	0.04857149	JN.1.60
C01-0620	SARS_20240326	JN.1.1.5	0.00119906	JN.1.1.5
C01-0620	SARS_20240326	JN.1.46	0.00129032	JN.1.46
C01-0620	SARS_20240326	JN.1.4	0.03610958	JN.1.4,XDP,XEB,XED
C01-0620	SARS_20240326	JN.1.52	0.04857149	JN.1.52
C01-0620	SARS_20240326	LB.1.5	0.00107296	LB.1.5
C01-0620	SARS_20240326	BA.5.5.1	0.00120992	BA.5.5.1
C01-0620	SARS_20240326	JN.1.28	0.01265820	JN.1.28
A01-0821	SARS_20240326	JN.1.47	0.00246057	JN.1.47
A01-0821	SARS_20240326	JN.1.52	0.05174104	JN.1.52
A01-0821	SARS_20240326	JN.1.4	0.02012488	JN.1.4,XDP,XEB,XED
A01-0821	SARS_20240326	JN.1.62	0.02479737	JN.1.62
A01-0821	SARS_20240326	JN.1.64	0.00285143	JN.1.64
A01-0821	SARS_20240326	JN.1.25	0.00176996	JN.1.25
A01-0821	SARS_20240326	XDK.5	0.00421259	XDK.5
A01-0821	SARS_20240326	JN.1.60	0.05174104	JN.1.60
A01-0821	SARS_20240326	JN.1.4.4	0.00879666	JN.1.4.4
A01-0821	SARS_20240326	JN.1.38	0.00138840	JN.1.38
A01-0821	SARS_20240326	JN.1.4.6	0.01054725	JN.1.4.6
A01-0821	SARS_20240326	XBW	0.00110689	XBW,XBB.1.5,BQ.1.14
A01-0821	SARS_20240326	JN.1.18	0.01200533	JN.1.18
A01-0821	SARS_20240326	JN.1.30	0.00664282	JN.1.30
A01-0821	SARS_20240326	JN.1.10	0.05174104	JN.1.10
A01-0821	SARS_20240326	JN.1.7.3	0.00908587	JN.1.7.3
A01-0821	SARS_20240326	JN.1.25.1	0.00159004	JN.1.25.1
A01-0821	SARS_20240326	JN.1.43	0.00156250	JN.1.43
A01-0821	SARS_20240326	JN.1.3	0.05174104	JN.1.3
A01-0821	SARS_20240326	JN.1.19	0.00159968	JN.1.19
A01-0821	SARS_20240326	JN.1.8	0.30388800	JN.1.8
A01-0821	SARS_20240326	JN.1.45	0.00881356	JN.1.45
A01-0821	SARS_20240326	JN.1.47.2	0.00178571	JN.1.47.2
A01-0821	SARS_20240326	JN.1.55	0.00189036	JN.1.55
A01-0821	SARS_20240326	JN.1.8.2	0.21088913	JN.1.8.2
A01-0821	SARS_20240326	JN.1.2	0.05174104	JN.1.2
A01-0821	SARS_20240326	JN.1	0.05174104	JN.1,XDV,XDD
A01-0821	SARS_20240326	JN.1.4.5	0.00200175	JN.1.4.5
A01-0821	SARS_20240326	JN.1.7	0.02171795	JN.1.7
A01-0821	SARS_20240326	LF.5	0.00144092	LF.5
A01-0821	SARS_20240326	JN.1.27	0.00197628	JN.1.27
A01-0821	SARS_20240326	JN.1.64.1	0.00241173	JN.1.64.1
A01-0821	SARS_20240326	LF.2	0.00577617	LF.2
A01-0821	SARS_20240326	JN.1.7.9	0.00112108	JN.1.7.9
A01-0819	SARS_20240326	JN.1.4.6	0.04872849	JN.1.4.6
A01-0819	SARS_20240326	BA.5.1.17	0.00180375	BA.5.1.17
A01-0819	SARS_20240326	JN.1.32	0.14390912	JN.1.32
A01-0819	SARS_20240326	XDK	0.00153030	XDK,XBB.1.16.11,JN.1.1.1
A01-0819	SARS_20240326	JN.1.8.1	0.01533290	JN.1.8.1
A01-0819	SARS_20240326	JN.1.4.5	0.00720784	JN.1.4.5
A01-0819	SARS_20240326	JN.1.35	0.00303030	JN.1.35
A01-0819	SARS_20240326	JN.1.45	0.01725790	JN.1.45
A01-0819	SARS_20240326	JN.1.32.1	0.14390912	JN.1.32.1
A01-0819	SARS_20240326	MD.1.1	0.00581395	MD.1.1
A01-0819	SARS_20240326	JN.1.16.3	0.14390912	JN.1.16.3
A01-0819	SARS_20240326	JN.1.7.3	0.27345800	JN.1.7.3
A01-0819	SARS_20240326	KQ.1	0.17956280	KQ.1
A01-0819	SARS_20240326	JN.1.22	0.00170068	JN.1.22
A01-0822	SARS_20240326	JN.1.16.1	0.06223744	JN.1.16.1
A01-0822	SARS_20240326	JN.1.9.2	0.06223744	JN.1.9.2
A01-0822	SARS_20240326	JN.1.28	0.00683290	JN.1.28
A01-0822	SARS_20240326	JN.1.18.3	0.06223744	JN.1.18.3
A01-0822	SARS_20240326	LB.1.9	0.00354610	LB.1.9
A01-0822	SARS_20240326	BA.2.85	0.00115075	BA.2.85
A01-0822	SARS_20240326	JN.1.1.5	0.00564787	JN.1.1.5
A01-0822	SARS_20240326	JN.1.51	0.00423729	JN.1.51
A01-0822	SARS_20240326	JN.1.18	0.06223744	JN.1.18
A01-0822	SARS_20240326	BA.5.1.28	0.00158452	BA.5.1.28
A01-0822	SARS_20240326	JN.1.7.3	0.02281273	JN.1.7.3
A01-0822	SARS_20240326	JN.1.22	0.00204918	JN.1.22
A01-0822	SARS_20240326	JN.1.30	0.00976709	JN.1.30
A01-0822	SARS_20240326	JN.1.51.1	0.00423729	JN.1.51.1
A01-0822	SARS_20240326	LB.1	0.06223744	LB.1
A01-0822	SARS_20240326	JN.1.18.5	0.06223744	JN.1.18.5
A01-0822	SARS_20240326	LF.6	0.00483258	LF.6
A01-0822	SARS_20240326	JN.1.45	0.22509000	JN.1.45
A01-0822	SARS_20240326	JN.1.8	0.04997929	JN.1.8
A01-0822	SARS_20240326	JN.1.26	0.00833333	JN.1.26
A01-0822	SARS_20240326	MD.1.1	0.00114155	MD.1.1
A01-0822	SARS_20240326	XDK	0.00101699	XDK,XBB.1.16.11,JN.1.1.1
A01-0822	SARS_20240326	LF.5	0.00262927	LF.5
