sample_id	sbatch_id	variant	proportion	aliases
C01-0711	SARS_20240826	XDV.1	0.00576923	XDV.1
C01-0711	SARS_20240826	LB.1.3.3	0.00128370	LB.1.3.3
C01-0711	SARS_20240826	JN.1.18.5	0.02363283	JN.1.18.5
C01-0711	SARS_20240826	KP.3.3	0.04085460	KP.3.3,XEC
C01-0711	SARS_20240826	JN.1.61	0.01388888	JN.1.61
C01-0711	SARS_20240826	KP.2.3	0.19557498	KP.2.3
C01-0711	SARS_20240826	MC.1	0.09677416	MC.1
C01-0711	SARS_20240826	JN.1.18.7	0.01052629	JN.1.18.7
C01-0711	SARS_20240826	KP.2.3.4	0.00139499	KP.2.3.4
C01-0711	SARS_20240826	KP.3.1.2	0.01041669	KP.3.1.2
C01-0711	SARS_20240826	KP.3.3.4	0.00215619	KP.3.3.4
C01-0711	SARS_20240826	JN.1.52	0.00158774	JN.1.52
C01-0711	SARS_20240826	KP.2.10	0.00162677	KP.2.10
C01-0711	SARS_20240826	LQ.1	0.00319267	LQ.1
C01-0711	SARS_20240826	BA.2.86	0.04096701	BA.2.86
C01-0711	SARS_20240826	BA.2.81	0.00102881	BA.2.81
C01-0711	SARS_20240826	KP.2	0.04300942	KP.2
C01-0711	SARS_20240826	JN.1.13.1	0.01086959	JN.1.13.1
C01-0711	SARS_20240826	MC.2	0.01010100	MC.2
C01-0711	SARS_20240826	XAD	0.00529100	XAD,BA.2*,BA.1*
C01-0711	SARS_20240826	KP.2.15	0.00709220	KP.2.15
C01-0711	SARS_20240826	JN.1.28	0.00862068	JN.1.28
C01-0711	SARS_20240826	KP.3.1.4	0.01923080	KP.3.1.4
C01-0711	SARS_20240826	LP.1	0.02459019	LP.1
C01-0711	SARS_20240826	JN.1.50.1	0.00496894	JN.1.50.1
C01-0711	SARS_20240826	JN.1.18	0.09358484	JN.1.18
C01-0711	SARS_20240826	KP.3.1.1	0.28336884	KP.3.1.1
C01-0711	SARS_20240826	KP.3.1	0.03024864	KP.3.1
C01-0711	SARS_20240826	XBB.1.10	0.00335257	XBB.1.10
A01-0970	SARS_20240826	JN.1.13	0.00113732	JN.1.13
A01-0970	SARS_20240826	KP.3.3.4	0.00332953	KP.3.3.4
A01-0970	SARS_20240826	XDV	0.20137831	XDV,JN.1,XDE
A01-0970	SARS_20240826	KP.3.1	0.24635959	KP.3.1
A01-0970	SARS_20240826	LW.1	0.00179579	LW.1
A01-0970	SARS_20240826	LQ.1	0.00183824	LQ.1
A01-0970	SARS_20240826	BA.2.86	0.00337798	BA.2.86
A01-0970	SARS_20240826	LB.1.3.2	0.00126542	LB.1.3.2
A01-0970	SARS_20240826	LB.1.3	0.15479567	LB.1.3
A01-0970	SARS_20240826	KP.2.3.3	0.01949581	KP.2.3.3
A01-0970	SARS_20240826	XDV.1	0.00152532	XDV.1
A01-0970	SARS_20240826	KP.3	0.00827085	KP.3
A01-0970	SARS_20240826	KP.2.3	0.07068885	KP.2.3
A01-0970	SARS_20240826	LP.1	0.17876400	LP.1
A01-0970	SARS_20240826	KP.2.3.6	0.00332930	KP.2.3.6
A01-0970	SARS_20240826	LJ.1	0.00124275	LJ.1
A01-0970	SARS_20240826	KP.3.1.3	0.00112994	KP.3.1.3
A01-0970	SARS_20240826	KP.3.1.1	0.08490270	KP.3.1.1
A01-0971	SARS_20240826	LW.1	0.03177080	LW.1
A01-0971	SARS_20240826	KP.3.3.4	0.03161436	KP.3.3.4
A01-0971	SARS_20240826	KP.2.3.4	0.06327480	KP.2.3.4
A01-0971	SARS_20240826	XDR	0.00120008	XDR,JN.1.1,JD.1.1.1
A01-0971	SARS_20240826	JN.1.16	0.07037957	JN.1.16
A01-0971	SARS_20240826	BA.2.86	0.00249742	BA.2.86
A01-0971	SARS_20240826	LQ.1	0.00207277	LQ.1
A01-0971	SARS_20240826	KP.2.4	0.00300472	KP.2.4
A01-0971	SARS_20240826	LB.1	0.07193446	LB.1
A01-0971	SARS_20240826	KU.2	0.00145666	KU.2
A01-0971	SARS_20240826	KP.2.3.3	0.02191157	KP.2.3.3
