sample_id	sbatch_id	variant	proportion	aliases
A01-0919	SARS_20240730	KP.2.3.3	0.00472654	KP.2.3.3
A01-0919	SARS_20240730	JN.1.18.7	0.00145985	JN.1.18.7
A01-0919	SARS_20240730	JN.1.32	0.02242800	JN.1.32
A01-0919	SARS_20240730	KP.5	0.02116523	KP.5
A01-0919	SARS_20240730	JN.1.58.2	0.00141810	JN.1.58.2
A01-0919	SARS_20240730	KP.1.1	0.00316475	KP.1.1
A01-0919	SARS_20240730	JN.1.18	0.28857016	JN.1.18
A01-0919	SARS_20240730	KP.2	0.16307799	KP.2
A01-0919	SARS_20240730	JN.1.55	0.00243902	JN.1.55
A01-0919	SARS_20240730	KP.1.2	0.00280035	KP.1.2
A01-0919	SARS_20240730	JN.1.7.3	0.00224383	JN.1.7.3
A01-0919	SARS_20240730	LB.1.7	0.47043800	LB.1.7
A01-0919	SARS_20240730	KP.3.4	0.00136426	KP.3.4
A01-0919	SARS_20240730	JN.1.9.1	0.00124534	JN.1.9.1
A01-0919	SARS_20240730	JN.1.30.1	0.00113404	JN.1.30.1
A01-0919	SARS_20240730	KP.2.9	0.00181488	KP.2.9
C01-0666	SARS_20240730	KP.2	0.29286239	KP.2
C01-0666	SARS_20240730	KP.3	0.03273172	KP.3
C01-0666	SARS_20240730	JN.1.11.1	0.18716595	JN.1.11.1
C01-0666	SARS_20240730	KP.3.3	0.00105618	KP.3.3,XEC
C01-0666	SARS_20240730	JN.1.11	0.22948818	JN.1.11
C01-0666	SARS_20240730	KP.1.1.1	0.00187136	KP.1.1.1
C01-0666	SARS_20240730	KP.2.3.2	0.08474601	KP.2.3.2
C01-0666	SARS_20240730	KP.2.3.3	0.08474601	KP.2.3.3
C01-0666	SARS_20240730	KP.5	0.04951280	KP.5
C01-0666	SARS_20240730	KP.3.5	0.03273172	KP.3.5
C01-0671	SARS_20240730	KP.3.5	0.06122447	KP.3.5
C01-0671	SARS_20240730	JN.1.9	0.11464004	JN.1.9
C01-0671	SARS_20240730	KP.2.3.3	0.04081634	KP.2.3.3
C01-0671	SARS_20240730	JN.1.18.1	0.02721434	JN.1.18.1
C01-0671	SARS_20240730	KP.2.3.2	0.04081634	KP.2.3.2
C01-0671	SARS_20240730	JN.1.18	0.02721434	JN.1.18
C01-0671	SARS_20240730	KP.2	0.02910479	KP.2
C01-0671	SARS_20240730	JN.1.9.2	0.02721434	JN.1.9.2
C01-0671	SARS_20240730	JN.1	0.11464004	JN.1,XDV,XDD
C01-0671	SARS_20240730	KP.1.1.1	0.20869595	KP.1.1.1
C01-0671	SARS_20240730	KP.2.3	0.04336729	KP.2.3
C01-0671	SARS_20240730	JN.1.11	0.04201679	JN.1.11
C01-0671	SARS_20240730	JN.1.11.1	0.16180931	JN.1.11.1
C01-0671	SARS_20240730	KP.3	0.06122447	KP.3
E01-0541	SARS_20240730	JN.1.34	0.00115865	JN.1.34
E01-0541	SARS_20240730	JN.1.55	0.00133156	JN.1.55
E01-0541	SARS_20240730	KP.2.3	0.82938601	KP.2.3
E01-0541	SARS_20240730	KP.1.1.1	0.01610483	KP.1.1.1
E01-0541	SARS_20240730	JN.1.42.1	0.00181867	JN.1.42.1
E01-0541	SARS_20240730	KP.2.3.3	0.11057749	KP.2.3.3
E01-0541	SARS_20240730	KP.3	0.00188378	KP.3
E01-0541	SARS_20240730	JN.1.2	0.00101266	JN.1.2
E01-0541	SARS_20240730	JN.1.11.1	0.02592698	JN.1.11.1
A01-0916	SARS_20240730	KP.2.3.2	0.04225083	KP.2.3.2
A01-0916	SARS_20240730	JN.1.18.1	0.04150508	JN.1.18.1
A01-0916	SARS_20240730	KP.2.3.3	0.04225083	KP.2.3.3
A01-0916	SARS_20240730	JN.1.47.1	0.00176991	JN.1.47.1
A01-0916	SARS_20240730	JN.1.47	0.00176991	JN.1.47
A01-0916	SARS_20240730	JN.1.18	0.04150508	JN.1.18
A01-0916	SARS_20240730	JN.1.11	0.46826214	JN.1.11
A01-0916	SARS_20240730	JN.1.55	0.00132802	JN.1.55
A01-0916	SARS_20240730	KP.1.1.1	0.04285700	KP.1.1.1
A01-0916	SARS_20240730	JN.1.9.2	0.04150508	JN.1.9.2
A01-0916	SARS_20240730	JN.1.48.2	0.00166597	JN.1.48.2
A01-0916	SARS_20240730	KP.1.1.3	0.26666700	KP.1.1.3
A01-0916	SARS_20240730	JN.1.29	0.00101112	JN.1.29
E01-0542	SARS_20240730	LB.1.5	0.00156740	LB.1.5
E01-0542	SARS_20240730	LQ.1	0.00118500	LQ.1
E01-0542	SARS_20240730	JN.1.16	0.13696145	JN.1.16
E01-0542	SARS_20240730	KP.1.1.1	0.41023599	KP.1.1.1
E01-0542	SARS_20240730	JN.1.30	0.00265722	JN.1.30
E01-0542	SARS_20240730	JN.1.39.3	0.00158350	JN.1.39.3
E01-0542	SARS_20240730	JN.1	0.00365852	JN.1,XDV,XDD
E01-0542	SARS_20240730	JN.1.58.1	0.00167782	JN.1.58.1
E01-0542	SARS_20240730	XDY	0.00253550	XDY,KP.3.2,LB.1.2.1
E01-0542	SARS_20240730	JN.1.16.1	0.14648197	JN.1.16.1
E01-0542	SARS_20240730	LB.1.7	0.02071429	LB.1.7
E01-0542	SARS_20240730	KP.3.1	0.08750738	KP.3.1
E01-0542	SARS_20240730	JN.1.14	0.00164339	JN.1.14
E01-0542	SARS_20240730	KP.3.1.4	0.00172018	KP.3.1.4
E01-0542	SARS_20240730	MD.1.1	0.00120992	MD.1.1
E01-0542	SARS_20240730	JN.1.52	0.00147929	JN.1.52
E01-0542	SARS_20240730	KP.2.3.2	0.07866570	KP.2.3.2
E01-0542	SARS_20240730	KP.2.3.3	0.07866530	KP.2.3.3
E01-0542	SARS_20240730	LB.1.7.3	0.00428571	LB.1.7.3
E01-0542	SARS_20240730	JN.1.18	0.00366715	JN.1.18
C01-0670	SARS_20240730	JN.1.16.3	0.00738179	JN.1.16.3
C01-0670	SARS_20240730	JN.1.58	0.01298698	JN.1.58
C01-0670	SARS_20240730	JN.1	0.05394825	JN.1,XDV,XDD
C01-0670	SARS_20240730	JN.1.16	0.01144322	JN.1.16
C01-0670	SARS_20240730	JN.1.11	0.05948901	JN.1.11
C01-0670	SARS_20240730	KP.1.2	0.01335376	KP.1.2
C01-0670	SARS_20240730	KP.1.1.1	0.15789492	KP.1.1.1
C01-0670	SARS_20240730	JN.1.32.1	0.01505002	JN.1.32.1
C01-0670	SARS_20240730	JN.1.10	0.05394825	JN.1.10
C01-0670	SARS_20240730	JN.1.9	0.05394825	JN.1.9
C01-0670	SARS_20240730	KP.3.5	0.04464282	KP.3.5
C01-0670	SARS_20240730	KP.5	0.01872953	KP.5
C01-0670	SARS_20240730	JN.1.4.5	0.00126446	JN.1.4.5
C01-0670	SARS_20240730	JN.1.52	0.00492612	JN.1.52
C01-0670	SARS_20240730	LB.1.7	0.07881791	LB.1.7
C01-0670	SARS_20240730	JN.1.11.1	0.18666873	JN.1.11.1
C01-0670	SARS_20240730	KP.1.1.3	0.07692305	KP.1.1.3
C01-0670	SARS_20240730	KP.3	0.04464282	KP.3
C01-0670	SARS_20240730	JN.1.25	0.00131234	JN.1.25
C01-0670	SARS_20240730	KP.1	0.03677422	KP.1
C01-0670	SARS_20240730	JN.1.32	0.01505002	JN.1.32
C01-0670	SARS_20240730	KP.2.3.3	0.02500000	KP.2.3.3
C01-0670	SARS_20240730	KP.2.3.2	0.02500000	KP.2.3.2
E01-0540	SARS_20240730	JN.1.16.1	0.14192883	JN.1.16.1
E01-0540	SARS_20240730	KP.1.1.3	0.40135100	KP.1.1.3
E01-0540	SARS_20240730	LF.4	0.01047839	LF.4
E01-0540	SARS_20240730	JN.1.37	0.00224215	JN.1.37
E01-0540	SARS_20240730	KP.3.2.3	0.00146734	KP.3.2.3
E01-0540	SARS_20240730	JN.1.7.3	0.00106719	JN.1.7.3
E01-0540	SARS_20240730	KP.1.1.1	0.38649600	KP.1.1.1
E01-0540	SARS_20240730	KP.2.3	0.00775633	KP.2.3
E01-0540	SARS_20240730	JN.1.11	0.01145737	JN.1.11
E01-0540	SARS_20240730	JN.1.18	0.00285811	JN.1.18
