sample_id	sbatch_id	variant	proportion	aliases
C01-0609	SARS_20240229_B	JN.1.2	0.08313681	JN.1.2
C01-0609	SARS_20240229_B	JN.1.1.1	0.01273890	JN.1.1.1
C01-0609	SARS_20240229_B	JN.1	0.08313681	JN.1
C01-0609	SARS_20240229_B	JN.1.10	0.08313681	JN.1.10
C01-0609	SARS_20240229_B	JN.1.9.1	0.44965693	JN.1.9.1
C01-0609	SARS_20240229_B	JN.1.7	0.00738916	JN.1.7
C01-0609	SARS_20240229_B	JN.1.19	0.00125313	JN.1.19
C01-0609	SARS_20240229_B	JN.1.9	0.08313681	JN.1.9
C01-0609	SARS_20240229_B	JN.1.4.3	0.01130860	JN.1.4.3
C01-0609	SARS_20240229_B	BA.2.23	0.00342900	BA.2.23
C01-0609	SARS_20240229_B	JN.1.16	0.08313681	JN.1.16
C01-0609	SARS_20240229_B	JN.1.6	0.08313681	JN.1.6
C01-0609	SARS_20240229_B	BA.2.86	0.00643900	BA.2.86
C01-0609	SARS_20240229_B	JN.1.8.1	0.00671141	JN.1.8.1
C01-0610	SARS_20240229_B	JN.1.6.1	0.16051489	JN.1.6.1
C01-0610	SARS_20240229_B	JN.2.2	0.00189036	JN.2.2
C01-0610	SARS_20240229_B	JN.1.14	0.00117647	JN.1.14
C01-0610	SARS_20240229_B	JN.1.9.1	0.00226244	JN.1.9.1
C01-0610	SARS_20240229_B	JN.1.7	0.00110783	JN.1.7
C01-0610	SARS_20240229_B	KQ.1	0.00357143	KQ.1
C01-0610	SARS_20240229_B	JN.1.10	0.16051489	JN.1.10
C01-0610	SARS_20240229_B	JN.1.11	0.00482703	JN.1.11
C01-0610	SARS_20240229_B	JN.1	0.16051489	JN.1
C01-0610	SARS_20240229_B	JN.1.7.1	0.00110783	JN.1.7.1
C01-0610	SARS_20240229_B	JN.1.4.3	0.00357143	JN.1.4.3
C01-0610	SARS_20240229_B	JN.1.18	0.16051489	JN.1.18
C01-0610	SARS_20240229_B	JN.10	0.00294577	JN.10
C01-0610	SARS_20240229_B	JN.1.1	0.00313480	JN.1.1
C01-0610	SARS_20240229_B	JN.1.19	0.00129870	JN.1.19
C01-0610	SARS_20240229_B	JN.1.8.1	0.00288184	JN.1.8.1
C01-0610	SARS_20240229_B	JN.1.6	0.16051489	JN.1.6
C01-0610	SARS_20240229_B	JN.7	0.00129282	JN.7
C01-0610	SARS_20240229_B	JN.1.16	0.16051489	JN.1.16
E01-0396	SARS_20240229_B	XBW	0.00156389	XBW,XBB.1.5,BQ.1.14
E01-0396	SARS_20240229_B	JN.1	0.23744290	JN.1
E01-0396	SARS_20240229_B	JN.1.10	0.23744290	JN.1.10
E01-0396	SARS_20240229_B	JN.1.1.2	0.00165563	JN.1.1.2
E01-0396	SARS_20240229_B	JN.2.3	0.00344234	JN.2.3
E01-0396	SARS_20240229_B	JN.1.4.1	0.00263852	JN.1.4.1
E01-0396	SARS_20240229_B	XDP	0.00128755	XDP
E01-0396	SARS_20240229_B	JN.1.22	0.00135318	JN.1.22
E01-0396	SARS_20240229_B	JN.1.8	0.11891401	JN.1.8
E01-0396	SARS_20240229_B	JN.1.4.2	0.00814468	JN.1.4.2
E01-0396	SARS_20240229_B	B.4.2	0.00219780	B.4.2
E01-0396	SARS_20240229_B	JN.1.5	0.00170068	JN.1.5
E01-0396	SARS_20240229_B	XAD	0.00173160	XAD,BA.2*,BA.1*
E01-0396	SARS_20240229_B	JN.1.1.3	0.14501373	JN.1.1.3
E01-0396	SARS_20240229_B	JN.1.8.1	0.00280899	JN.1.8.1
E01-0396	SARS_20240229_B	BA.2.86	0.00579668	BA.2.86
E01-0396	SARS_20240229_B	XDK	0.00105764	XDK
E01-0396	SARS_20240229_B	JN.10	0.10146664	JN.10
E01-0396	SARS_20240229_B	JN.6	0.11743102	JN.6
E01-0398	SARS_20240229_B	JN.6	0.11295076	JN.6
E01-0398	SARS_20240229_B	XDK	0.00115618	XDK
E01-0398	SARS_20240229_B	JN.3	0.00740741	JN.3
E01-0398	SARS_20240229_B	JN.1.1	0.00173913	JN.1.1
E01-0398	SARS_20240229_B	B.1.1.380	0.00121749	B.1.1.380
E01-0398	SARS_20240229_B	JN.1.8.1	0.08781393	JN.1.8.1
E01-0398	SARS_20240229_B	JN.1.4	0.00442137	JN.1.4
E01-0398	SARS_20240229_B	B.1.1.323	0.00114416	B.1.1.323
E01-0398	SARS_20240229_B	JN.1.16	0.18693746	JN.1.16
E01-0398	SARS_20240229_B	JN.1.4.2	0.00216842	JN.1.4.2
E01-0398	SARS_20240229_B	JN.1.2	0.18693746	JN.1.2
E01-0398	SARS_20240229_B	XDP	0.00161946	XDP
E01-0398	SARS_20240229_B	JN.1.22	0.00135777	JN.1.22
E01-0398	SARS_20240229_B	JN.1.14	0.00258398	JN.1.14
E01-0398	SARS_20240229_B	JN.5	0.01010100	JN.5
E01-0398	SARS_20240229_B	JN.1.9.1	0.00371558	JN.1.9.1
