sample_id	sbatch_id	variant	proportion	aliases
A01-1048	SARS_20241007	KP.1	0.00197546	KP.1
A01-1048	SARS_20241007	MC.1	0.27992369	MC.1
A01-1048	SARS_20241007	MU.1	0.00114924	MU.1
A01-1048	SARS_20241007	KP.3.2.3	0.00468892	KP.3.2.3
A01-1048	SARS_20241007	JN.1.53	0.00151460	JN.1.53
A01-1048	SARS_20241007	JN.1.30	0.00291471	JN.1.30
A01-1048	SARS_20241007	KP.3.3.2	0.00225606	KP.3.3.2
A01-1048	SARS_20241007	KP.2.9	0.00732369	KP.2.9
A01-1048	SARS_20241007	LJ.1	0.00102016	LJ.1
A01-1048	SARS_20241007	KP.2.14	0.01221994	KP.2.14
A01-1048	SARS_20241007	KS.1.1	0.00965091	KS.1.1,XEC
A01-1048	SARS_20241007	JN.1.2	0.00127218	JN.1.2
A01-1048	SARS_20241007	KP.1.2	0.00199856	KP.1.2
A01-1048	SARS_20241007	KP.3.5	0.00289800	KP.3.5
A01-1048	SARS_20241007	MD.1.1	0.00191570	MD.1.1
A01-1048	SARS_20241007	KP.3.3.4	0.00100177	KP.3.3.4
A01-1048	SARS_20241007	JN.1.18.5	0.24127826	JN.1.18.5
A01-1048	SARS_20241007	JN.1.39.3	0.00105813	JN.1.39.3
A01-1048	SARS_20241007	MC.13	0.00181905	MC.13
A01-1048	SARS_20241007	JN.1.11.1	0.01656182	JN.1.11.1
A01-1048	SARS_20241007	XEE	0.17640858	XEE
A01-1048	SARS_20241007	JN.1.58.3	0.00138271	JN.1.58.3
A01-1048	SARS_20241007	KP.2.3.3	0.00258537	KP.2.3.3
A01-1048	SARS_20241007	JN.1.13	0.07008689	JN.1.13
A01-1048	SARS_20241007	KP.3.1.5	0.00139665	KP.3.1.5
A01-1048	SARS_20241007	KP.3.1.1	0.10610911	KP.3.1.1
A01-1048	SARS_20241007	KP.5	0.01833921	KP.5
C01-0739	SARS_20241007	KP.3.2.3	0.00392489	KP.3.2.3
C01-0739	SARS_20241007	KP.3.6	0.04408009	KP.3.6
C01-0739	SARS_20241007	KP.3	0.29399926	KP.3
C01-0739	SARS_20241007	KP.2.3.7	0.00141062	KP.2.3.7
C01-0739	SARS_20241007	KP.3.3.2	0.33447400	KP.3.3.2
C01-0739	SARS_20241007	KP.2.9	0.00273581	KP.2.9
C01-0739	SARS_20241007	KP.3.1.1	0.30291082	KP.3.1.1
A01-1051	SARS_20241007	LB.1.1	0.01255026	LB.1.1
A01-1051	SARS_20241007	KP.2.9	0.00602100	KP.2.9
A01-1051	SARS_20241007	KP.3.1.1	0.19630006	KP.3.1.1
A01-1051	SARS_20241007	LR.1	0.00147460	LR.1
