sample_id	sbatch_id	variant	proportion	aliases
A01-0799	SARS_20240219	JN.1.4.2	0.15901457	JN.1.4.2
A01-0799	SARS_20240219	XDQ	0.00179211	XDQ
A01-0799	SARS_20240219	HV.1	0.00509999	HV.1
A01-0799	SARS_20240219	JN.1.8.1	0.03499470	JN.1.8.1
A01-0799	SARS_20240219	XAD	0.00106073	XAD,BA.2*,BA.1*
A01-0799	SARS_20240219	BA.2.41	0.00114745	BA.2.41
A01-0799	SARS_20240219	JN.1.18	0.54632046	JN.1.18
A01-0799	SARS_20240219	HV.1.6.1	0.00126582	HV.1.6.1
A01-0799	SARS_20240219	BA.2.7	0.00117925	BA.2.7
A01-0799	SARS_20240219	EG.5.1.6	0.00509999	EG.5.1.6
A01-0799	SARS_20240219	XDD	0.02349160	XDD
A01-0799	SARS_20240219	EG.5.1.13	0.00115711	EG.5.1.13
A01-0799	SARS_20240219	JN.1.4	0.09076643	JN.1.4
A01-0799	SARS_20240219	XDP	0.00693943	XDP
A01-0799	SARS_20240219	XBB.1.21	0.00351096	XBB.1.21
A01-0799	SARS_20240219	BA.2.45	0.00487308	BA.2.45
A01-0799	SARS_20240219	JN.1.9.1	0.05667622	JN.1.9.1
A01-0799	SARS_20240219	HV.1.10	0.00234604	HV.1.10
A01-0799	SARS_20240219	BA.2.17	0.00324007	BA.2.17
A01-0799	SARS_20240219	HV.1.11	0.00509999	HV.1.11
A01-0799	SARS_20240219	GE.1.2.1	0.00105263	GE.1.2.1
A01-0799	SARS_20240219	XBB.1.34.1	0.00316662	XBB.1.34.1
A01-0799	SARS_20240219	XBL.2	0.00190114	XBL.2
A01-0799	SARS_20240219	KL.1	0.00126582	KL.1
A01-0799	SARS_20240219	XT	0.00221771	XT,BA.1*,BA.2*
A01-0799	SARS_20240219	XBB.2.3.15	0.00114164	XBB.2.3.15,JS
A01-0799	SARS_20240219	BA.2.16	0.00298507	BA.2.16
A01-0799	SARS_20240219	HV.1.3	0.00509999	HV.1.3
C01-0564	SARS_20240219	JN.10	0.11677389	JN.10
C01-0564	SARS_20240219	JN.1.1	0.39404284	JN.1.1
C01-0564	SARS_20240219	JN.11	0.00195695	JN.11
C01-0564	SARS_20240219	JN.9	0.05328573	JN.9
C01-0564	SARS_20240219	XDP	0.00179211	XDP
C01-0564	SARS_20240219	FL.17	0.00279703	FL.17
C01-0564	SARS_20240219	EG.6	0.00239234	EG.6
C01-0564	SARS_20240219	FL.34	0.00225734	FL.34
C01-0564	SARS_20240219	XBB.1.5.93	0.00331337	XBB.1.5.93,HD
C01-0564	SARS_20240219	EG.5.1.4	0.02947603	EG.5.1.4
C01-0564	SARS_20240219	FL.1.5.2	0.00130409	FL.1.5.2
C01-0564	SARS_20240219	XBB.1.9.1	0.02940168	XBB.1.9.1,FL,XCC
C01-0564	SARS_20240219	FL.25	0.02607861	FL.25
C01-0564	SARS_20240219	FL.2.1	0.02940168	FL.2.1
C01-0564	SARS_20240219	XDD	0.00157885	XDD
C01-0564	SARS_20240219	EG.5.1.13	0.00101163	EG.5.1.13
C01-0564	SARS_20240219	FL.15	0.00180832	FL.15
C01-0564	SARS_20240219	FL.2	0.02940168	FL.2
C01-0564	SARS_20240219	HV.1.11	0.24912058	HV.1.11
C01-0564	SARS_20240219	JN.3.1	0.00800000	JN.3.1
A01-0785	SARS_20240219	XDR	0.03366081	XDR
A01-0785	SARS_20240219	JN.1.4.1	0.00176991	JN.1.4.1
A01-0785	SARS_20240219	XDD	0.06481439	XDD
A01-0785	SARS_20240219	EG.5.1.13	0.00106906	EG.5.1.13
A01-0785	SARS_20240219	JN.1.18	0.47302825	JN.1.18
A01-0785	SARS_20240219	XBB.1.34.1	0.00146422	XBB.1.34.1
A01-0785	SARS_20240219	HV.1.11	0.01405436	HV.1.11
A01-0785	SARS_20240219	JN.1.8	0.11029599	JN.1.8
A01-0785	SARS_20240219	HV.1.10	0.00120184	HV.1.10
A01-0785	SARS_20240219	EG.5.1.7	0.00255102	EG.5.1.7
A01-0785	SARS_20240219	JN.1.4	0.11104909	JN.1.4
A01-0785	SARS_20240219	JN.1.4.2	0.09659900	JN.1.4.2
A01-0785	SARS_20240219	FL.35	0.06610087	FL.35
A01-0789	SARS_20240219	JN.1.22	0.00215297	JN.1.22
A01-0789	SARS_20240219	XZ	0.00130067	XZ,BA.1*,BA.2*
A01-0789	SARS_20240219	JN.1.2	0.07589355	JN.1.2
A01-0789	SARS_20240219	JN.5	0.00135074	JN.5
A01-0789	SARS_20240219	XBB.1.16.19	0.00185443	XBB.1.16.19,XCV
A01-0789	SARS_20240219	JN.1.14	0.05813110	JN.1.14
A01-0789	SARS_20240219	JN.1.18	0.13588683	JN.1.18
A01-0789	SARS_20240219	JN.9	0.09116596	JN.9
A01-0789	SARS_20240219	JN.1	0.07589355	JN.1
A01-0789	SARS_20240219	XAD	0.00101546	XAD,BA.2*,BA.1*
A01-0789	SARS_20240219	XDQ	0.08370980	XDQ
A01-0789	SARS_20240219	XBB.4	0.02098173	XBB.4
A01-0789	SARS_20240219	JN.10	0.03296700	JN.10
A01-0789	SARS_20240219	BA.2.10.4	0.00332963	BA.2.10.4
A01-0789	SARS_20240219	FL.35	0.02796803	FL.35
