"location_id"	"sample_code_prefix"	"location_primary_lab"	"location_status"	"location_common_name"	"location_category"	"location_group"	"location_lng"	"location_lat"	"location_primary_wwtp_id"	"location_counties_served"	"location_population_served"	"location_sampler_type"	"location_collection_window_hrs"	"location_collection_pull_ml"	"location_collection_step_min"	"location_collection_basis"	"location_collection_type"	"location_zipcode"	"location_comment"
"KeyserWWTP-01"	"G01"	"ZooWVU"	"active"	"Keyser"	"wwtp"	"non-sentinel"	-78.97508	39.44123	"KeyserWWTP"	"Mineral"	8168	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26726	NA
"WestonWWTP-01"	"F01"	"ZooWVU"	"active"	"Weston"	"wwtp"	"non-sentinel"	-80.45991	39.06224	"WestonWWTP"	"Lewis"	10364	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26452	NA
"MoundsvilleWWTP-01"	"H01"	"ZooWVU"	"active"	"Moundsville"	"wwtp"	"non-sentinel"	-80.75493	39.92986	"MoundsvilleWWTP"	"Marshall"	12000	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26041	NA
"ElkinsWWTP-01"	"R02"	"ZooWVU"	"active"	"Elkins"	"wwtp"	"non-sentinel"	-79.86543	38.92026	"ElkinsWWTP"	"Randolph"	13156	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26241	NA
"CharlesTownWWTP-01"	"D01"	"ZooWVU"	"active"	"Charles Town"	"wwtp"	"non-sentinel"	-77.85589	39.27924	"CharlesTownWWTP"	"Jefferson"	17000	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	25414	NA
"ClarksburgWWTP-01"	"N02"	"ZooWVU"	"active"	"Clarksburg"	"wwtp"	"non-sentinel"	-80.33857	39.27931	"ClarksburgWWTP"	"Harrison"	26498	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26301	NA
"PrincetonWWTP-01"	"E01"	"ZooWVU"	"inactive"	"Princeton"	"wwtp"	"sentinel"	-81.07993	37.38036	"PrincetonWWTP"	"Mercer"	36000	"WVU HACH"	24	25	20	"time"	"raw wastewater"	24740	NA
"ParkersburgWWTP-01"	"K01"	"ZooWVU"	"active"	"Parkersburg"	"wwtp"	"non-sentinel"	-81.55739	39.28171	"ParkersburgWWTP"	"Wood"	48050	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26101	NA
"StarCityWWTP-01"	"A01"	"ZooWVU"	"active"	"Morgantown Star City"	"wwtp"	"sentinel"	-79.9920554	39.6551745	"StarCityWWTP"	"Monongalia"	48328	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26505	NA
"WheelingWWTP-01"	"C01"	"ZooWVU"	"active"	"Wheeling"	"wwtp"	"sentinel"	-80.72757	40.05588	"WheelingWWTP"	"Ohio"	50000	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26003	NA
"3HG"	NA	"MUIDSL"	"withdrawn"	"MU 3rd Ave Hal Greer"	"mixed use"	"non-sentinel"	-82.430654	38.424089	"3rdAndHalGreerMU"	"Cabell"	NA	"MU HACH"	5	35	30	"time"	"raw wastewater"	25703	"Manhole located on the corner of 3rd Avene and Hal Greer. Collects from parts or all of Smith Music Hall, Smith Hall, Communications Building, and Science Building, Morrow, and Old Main"
"BV"	NA	"MUIDSL"	"withdrawn"	"Barboursville"	"wwtp"	"non-sentinel"	-82.2856987708015	38.4149468235091	"BarboursvilleLagoon"	"Cabell"	4000	"MU HACH"	24	250	30	"time"	"raw wastewater"	25504	"Lagoon - plan to pump into PeaRidge some day when new pearidge plant comes to be"
"COM"	NA	"MUIDSL"	"withdrawn"	"MU Commons"	"higher ed dorm"	"non-sentinel"	-82.425918	38.421746	"CommonsDormsMU"	"Cabell"	NA	"MU HACH"	5	100	30	"time"	"raw wastewater"	25703	"Manhole collects from Willis, Gibson, and Wellman dormatories - Haymaker WW goes toward Harless Cafe"
"HRSB"	NA	"MUIDSL"	"withdrawn"	"Hurricane"	"wwtp"	"non-sentinel"	-82.006959612419	38.4465240845599	"HurricaneWWTP"	"Putnam"	28759	"Facility hardware"	72	25	20	"time"	"raw wastewater"	25526	NA
"Northern Wayne Co PSD"	NA	"MUIDSL"	"withdrawn"	"Northern Wayne Co PSD"	"wwtp"	"non-sentinel"	-82.4513038405833	38.3433361645866	"HuntingtonSanitaryBoardWWTP"	"Wayne"	1600	"Facility hardware"	24	25	20	"time"	"raw wastewater"	25701	"Upstream from Huntington Sanitary board"
"Pea Ridge PSD LeSage"	NA	"MUIDSL"	"withdrawn"	"Pea Ridge PSD LeSage"	"wwtp"	"non-sentinel"	-82.2875639603452	38.5726236541722	"PeaRidgeWWTP-C"	"Cabell"	1000	"Facility hardware"	24	25	20	"time"	"raw wastewater"	25537	"Small independent plant under PeaRidge management"
"TTE"	NA	"MUIDSL"	"withdrawn"	"MU Towers East"	"higher ed dorm"	"non-sentinel"	-82.4255577006296	38.4229131101041	"TwinTowersEastDormMU"	"Cabell"	NA	"MU HACH"	5	35	30	"time"	"raw wastewater"	25703	NA
"TTW"	NA	"MUIDSL"	"withdrawn"	"MU Towers West"	"higher ed dorm"	"non-sentinel"	-82.4249078152202	38.4230761740759	"TwinTowersWestDormMU"	"Cabell"	NA	"MU HACH"	24	100	30	"time"	"raw wastewater"	25703	NA
"AthensWWTP-01"	"E02"	"ZooWVU"	"withdrawn"	"Athens"	"wwtp"	"non-sentinel"	-81.01598	37.42163	"AthensWWTP"	"Mercer"	2391	"WVU HACH"	24	25	20	"time"	"raw wastewater"	24740	NA
"BrookhavenES-01"	"A03"	"ZooWVU"	"inactive"	"Brookhaven Elementary"	"k12"	"non-sentinel"	-79.90501	39.61021	"StarCityWWTP"	"Monongalia"	579	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26508	NA
"CharlestonWWTP-01"	"B01"	"ZooWVU"	"inactive"	"CharlestonWVU"	"wwtp"	"non-sentinel"	-81.67768	38.37287	"CharlestonWWTP"	"Kanawha"	50000	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	25312	NA
"CheatLakeES-01"	"A03"	"ZooWVU"	"inactive"	"Cheat Lake Elementary"	"k12"	"non-sentinel"	-79.86761	39.65267	"StarCityWWTP"	"Monongalia"	830	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26508	NA
"CollegePark-02"	"A02"	"ZooWVU"	"inactive"	"College Park Apartments"	"higher ed dorm"	"non-sentinel"	-79.9458019	39.6362083	"StarCityWWTP"	"Monongalia"	567	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Isolates all of College Park Apartments."
"Dadisman-02"	"A02"	"ZooWVU"	"inactive"	"WVU Dadisman Hall"	"higher ed dorm"	"non-sentinel"	-79.9530932	39.6364231	"StarCityWWTP"	"Monongalia"	639	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Isolates WVU Dadisman Hall."
"Domain-01"	"A02"	"ZooWVU"	"inactive"	"The Domain"	"higher ed dorm"	"non-sentinel"	-80.0004209	39.6535571	"StarCityWWTP"	"Monongalia"	912	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Isolates The Domain (apartments)."
"Evansdale-01"	"A02"	"ZooWVU"	"inactive"	"WVU Evansdale"	"mixed use"	"sentinel"	-79.9721575	39.6500969	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures all of the WVU Evansdale campus, including residential and academic buildings."
"Evolution-01"	"A02"	"ZooWVU"	"inactive"	"Evolution (top)"	"higher ed dorm"	"non-sentinel"	-79.9562341	39.6679098	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"The creekside pipe (south?) captures all of CEV to the south side of the creek. It also captures a small portion of residential above CEV. The north pipe (parking lot side) captures the smaller CEV portion on this side of the creek. This north pipe is Evolution-02; it can be sampled here, but might be easier via the adjacent site marked on the map"
"Evolution-02"	"A02"	"ZooWVU"	"inactive"	"Evolution (bottom)"	"higher ed dorm"	"non-sentinel"	-79.9562046	39.6681122	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Three-way junction. Sample from the outflow closer to the yard to catch all of this portion of the CEV complex. This flow can also be captured in the access for Evolution-01"
"FollansbeeWWTP-01"	"S01"	"ZooWVU"	"withdrawn"	"Follansbee"	"wwtp"	"non-sentinel"	-80.59829	40.3258	"FollansbeeWWTP"	"Brooke"	6468	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26037	NA
"Hazelton-01"	NA	"ZooWVU"	"withdrawn"	"Hazelton Correctional"	"correctional"	"non-sentinel"	-79.51524	39.66807	"HazeltonWWTP"	"Preston"	1948	"WVU ISCO"	24	NA	NA	"time"	"raw wastewater"	26525	NA
"HonorsSummit-01"	"A02"	"ZooWVU"	"inactive"	"WVU Honors & Summit"	"higher ed dorm"	"sentinel"	-79.9567626	39.6378753	"StarCityWWTP"	"Monongalia"	874	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Isolates WVU Honors and Summit Halls (confirmed by dye test)."
"Lofts-01"	"A02"	"ZooWVU"	"inactive"	"The Lofts 1"	"higher ed dorm"	"non-sentinel"	-79.9551221	39.6691886	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures some combination of Stanley St (probably all) and Station Road (probably partial)"
"Lofts-02"	"A02"	"ZooWVU"	"inactive"	"The Lofts 2"	"higher ed dorm"	"non-sentinel"	-79.9552454	39.6692795	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures the upper section of Station Road. Not clear exactly which buildings drop here vs. Lofts-01"
"MorgantownHS-01"	"A03"	"ZooWVU"	"inactive"	"Morgantown High"	"k12"	"non-sentinel"	-79.95736	39.62542	"StarCityWWTP"	"Monongalia"	1851	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26501	NA
"MountainviewES-01"	"A03"	"ZooWVU"	"inactive"	"Mountainview Elementary"	"k12"	"non-sentinel"	-79.94331	39.61036	"StarCityWWTP"	"Monongalia"	726	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26501	NA
"MtValley-01"	"A02"	"ZooWVU"	"inactive"	"Mountain Valley Apartments"	"higher ed dorm"	"sentinel"	-79.9657691	39.6727656	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures all of Mountain Valley"
"NorthES-01"	"A02"	"ZooWVU"	"inactive"	"North Elementary"	"k12"	"non-sentinel"	-79.95674	39.66064	"StarCityWWTP"	"Monongalia"	688	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26505	NA
"NorthHighSt-02"	"A02"	"ZooWVU"	"inactive"	"North High Street"	"higher ed dorm"	"sentinel"	-79.9532029	39.6331164	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures a mixture of WVU campus and off-campus residential buildings, including Greek housing."
"OaklandE-02"	"A02"	"ZooWVU"	"inactive"	"WVU Oakland Hall"	"higher ed dorm"	"sentinel"	-79.9622118	39.6511596	"StarCityWWTP"	"Monongalia"	862	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Isolates WVU Oakland Hall."
"PetersburgWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Petersburg"	"wwtp"	"non-sentinel"	-79.12725	38.99091	"PetersburgWWTP"	"Grant"	2700	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26847	NA
"Seneca-01"	"A02"	"ZooWVU"	"inactive"	"WVU Seneca Hall"	"higher ed dorm"	"sentinel"	-79.95614	39.6392	"StarCityWWTP"	"Monongalia"	474	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures Seneca Hall and associated dining"
"Coliseum-01"	"A02"	"ZooWVU"	"inactive"	"WVU Coliseum"	"mixed use"	"non-sentinel"	-79.9850577	39.6481654	"StarCityWWTP-01"	"Monongalia"	NA	"WVU ISCO"	8	25	30	"time"	"raw wastewater"	26505	NA
"StadiumNE-01"	"A02"	"ZooWVU"	"active"	"WVU Stadium NE"	"mixed use"	"non-sentinel"	NA	NA	"StarCityWWTP-01"	"Monongalia"	NA	"WVU ISCO"	12	25	30	"time"	"raw wastewater"	26505	NA
"StadiumNW-01"	"A02"	"ZooWVU"	"active"	"WVU Stadium NW"	"mixed use"	"non-sentinel"	NA	NA	"StarCityWWTP-01"	"Monongalia"	NA	"WVU ISCO"	12	25	30	"time"	"raw wastewater"	26505	NA
"StadiumSE-01"	"A02"	"ZooWVU"	"active"	"WVU Stadium SE"	"mixed use"	"non-sentinel"	NA	NA	"StarCityWWTP-01"	"Monongalia"	NA	"WVU ISCO"	12	25	30	"time"	"raw wastewater"	26505	NA
"StMarysWWTP-01"	"P01"	"ZooWVU"	"withdrawn"	"Saint Marys"	"wwtp"	"non-sentinel"	-81.20511	39.39125	"StMarysWWTP"	"Pleasants"	2892	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26170	NA
"SuncrestES-01"	"A03"	"ZooWVU"	"inactive"	"Suncrest Elementary"	"k12"	"non-sentinel"	-79.97825	39.67137	"StarCityWWTP"	"Monongalia"	515	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26505	NA
"TowersBB-01"	"A02"	"ZooWVU"	"inactive"	"WVU Brooke & Braxton Towers"	"higher ed dorm"	"sentinel"	-79.9663361	39.6495489	"StarCityWWTP"	"Monongalia"	904	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures Brooke and Braxton Towers. Taken from the University Ave. side of the bottom flow, which compiles both towers"
"UniversityHS-01"	"A03"	"ZooWVU"	"inactive"	"University High"	"k12"	"non-sentinel"	-79.92615	39.68782	"StarCityWWTP"	"Monongalia"	1310	"WVU ISCO"	8	NA	NA	"time"	"raw wastewater"	26508	NA
"UPlace-01"	"A02"	"ZooWVU"	"inactive"	"University Place Apartments"	"higher ed dorm"	"sentinel"	-79.9567559	39.64019	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures UPlace and associated dining"
"StadiumSW-01"	"A02"	"ZooWVU"	"active"	"WVU Stadium SW"	"mixed use"	"non-sentinel"	NA	NA	"StarCityWWTP-01"	"Monongalia"	NA	"WVU ISCO"	12	25	30	"time"	"raw wastewater"	26505	NA
"WestRun-01"	"A02"	"ZooWVU"	"inactive"	"West Run Apartments"	"higher ed dorm"	"non-sentinel"	-79.925397	39.6565887	"StarCityWWTP"	"Monongalia"	NA	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26505	"Captures all of West Run Apartments"
"BelingtonWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Belington"	"wwtp"	"non-sentinel"	-79.93694	39.02201	"BelingtonWWTP"	"Barbour"	1974	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26250	NA
"BlacksvilleWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Blacksville"	"wwtp"	"non-sentinel"	-80.21201	39.72007	"BlacksvilleWWTP"	"Monongalia"	400	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26521	NA
"BridgeportWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Bridgeport"	"wwtp"	"non-sentinel"	-80.25899	39.28048	"BridgeportWWTP"	"Harrison"	6984	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26330	NA
"CameronWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Cameron"	"wwtp"	"non-sentinel"	-80.56744	39.82661	"CameronWWTP"	"Marshall"	1340	"WVU ISCO"	24	25	30	"time"	"raw wastewater"	26033	NA
"FairmontWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Fairmont"	"wwtp"	"non-sentinel"	-80.12445	39.49395	"FairmontWWTP"	"Marion"	25525	"WVU ISCO"	24	25	30	"time"	"raw wastewater"	26554	NA
"PotomacState-01"	"G02"	"ZooWVU"	"withdrawn"	"WVU Keyser"	"higher ed dorm"	"non-sentinel"	-78.98272	39.43807	"KeyserWWTP"	"Mineral"	1193	"WVU ISCO"	48	25	30	"time"	"raw wastewater"	26726	NA
"SistervilleWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Sisterville"	"wwtp"	"non-sentinel"	NA	NA	"SistervilleWWTP"	"Tyler"	1800	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	NA	NA
"WarmSpringsWWTP-01"	"I01"	"ZooWVU"	"withdrawn"	"Warm Springs"	"wwtp"	"non-sentinel"	-78.22662	39.62802	"WarmSpringsWWTP"	"Morgan"	3255	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	25411	NA
"WeirtonWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Weirton"	"wwtp"	"non-sentinel"	NA	NA	"WeirtonWWTP"	"Brooke"	20411	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	NA	NA
"WorthingtonWWTP-01"	NA	"ZooWVU"	"withdrawn"	"Worthington"	"wwtp"	"non-sentinel"	-80.26036	39.45258	"WorthingtonWWTP"	"Marion"	2742	"WVU ISCO"	24	25	30	"time"	"raw wastewater"	26591	NA
"MoorefieldWWTP-01"	"V01"	"ZooWVU"	"withdrawn"	"Moorefield"	"wwtp"	"sentinel"	-78.95516	39.11593	"MoorefieldWWTP"	"Hardy"	3510	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26836	NA
