Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A02-0090	17810	OneStep RT-ddPCR	Human RNase P	30.405740737915	32306.0995340347	None				2021-09-09	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	L5	AP0007	B05	JL	SARS-CoV-2 N1	48.9328384399414	0	1303.83804321289	51991.1408424377	SARS-CoV-2 N2	70.1245403289794	0	1366.20712280273	74507.3240995406																																					0.005		2021-09-08	10	NT04155	Halcyon	Nanotrap	0.425		CP0010	A05	JL				WVU Morgantown		2021-09-08	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	L5	EP0010	A05	JL		Pass	EL	09/08/2021 10:07 AM	Composite	09/08/2021 09:00 AM	09/06/2021 09:00 AM	JL	09/08/2021	7.07	CollegePark-02		
A02-0035	16385	OneStep RT-ddPCR	Human RNase P	23.593852519989	25068.4683024883	None					CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L1	AP0004	A02	JL		47.2078895568848	-20	2835.2719116211			37.0851159095764	-20	3151.89849853516																																						0.005		2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A01	JL				WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L1	EP0004	A01	JL		Pass	EL	08/25/2021 09:12 AM	Composite	08/25/2021 09:16 AM	08/23/2021 09:16 AM	JL	08/25/2021	6.55	Evansdale-01		
A02-0002 100K	11472	OneStep RT-ddPCR				BRSV	0	0		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	100k	AP000000	B05	JL	SARS-CoV-2 N1	1951.31072998047	0	2236.36169433594	2073267.65060425	SARS-CoV-2 N2	1940.17150878906	0	2276.70715332032	2061432.22808838																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Spike with 100K HI-SARS	CP000000	C01	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Spike with 100K HI-SARS	EP000000	C01	JL													
A01-0009	17879	OneStep RT-ddPCR	Human RNase P	15.7977366447449	16785.0951850414	None				08/20/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H5	AP000000	A05	JL	SARS-CoV-2 N1	15.7977366447449	0	1047.21549987793	16785.09569	SARS-CoV-2 N2	27.6530051231384	0	1082.35214233398	29381.31845																																					0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	6.97	CP000000	A05	JL				Monongalia County	Star City	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H5	EP000000	A05	JL		Pass	GG	08/18/2021 11:59 AM	Composite	08/18/2021 11:59 AM	08/18/2021 12:01 PM	Jl	08/20/2021	6.97	StarCityWWTP-01		
A02-0002	20957	OneStep RT-ddPCR				BRSV	0	0		08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C01	JL	SARS-CoV-2 N1	6.73744678497314	0	2236.36169433594	7158.53721	SARS-CoV-2 N2	5.61440527439118	0	2276.70715332032	5965.30548																																					0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C05	JL	Josh Lambert		08/16/2021 01:03 PM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C05	JL	NaN	Pass	EL	08/12/2021 09:00 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/13/2021	6.65	OaklandE-02		10
A02-0071	9657	OneStep RT-ddPCR	Human RNase P	242.699298858642	257868.005037307						Manual	DQ	XXXXXX	QX One	BRSV Triplex	H6	AP000000	F03	JL		2.51566112041474	0	3138.02612304688			2.51566112041474	0	3336.0806274414																																						0.005		2021-09-02	10	 NT04155	Kookaburra	Nanotrap	0.425		CP0007	D04	JL				WVU Morgantown		2021-09-02	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H6	EP0007	B10	JL		Pass	EL	09/01/2021 10:20 AM	Grab			JL	09/01/2021	8.16	HonorsSummit-01 (MUB)		
A02-0089	14167	OneStep RT-ddPCR	Human RNase P	114.879360198975	122059.320211411	None				2021-09-09	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	L4	AP0007	B04	JL	SARS-CoV-2 N1	149.954271316528	0	1303.83804321289	159326.413273811	SARS-CoV-2 N2	68.1940078735352	0	1366.20712280273	72456.1333656311																																					0.005		2021-09-08	10	NT04155	Halcyon	Nanotrap	0.425		CP0010	A04	JL				WVU Morgantown		2021-09-08	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	L4	EP0010	A04	JL		Pass	EL	09/08/2021 09:55 AM	Composite	09/08/2021 08:48 AM	09/06/2021 08:48 AM	JL	09/08/2021	7.26	NorthHighSt-02 (MUB)		
A02-0017	9830	OneStep RT-ddPCR	Human RNase P	62.7242279052734	66644.492149353	None				08/20/2021	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	B1	AP0005	A01	JL	SARS-CoV-2 N1	105.71084022522	0	2615.09490966796	0	SARS-CoV-2 N2	75.9448099136352	0	2786.11602783204	0																																					0.005	NaN	2021-08-27	10	NT04155	Kookaburra	Nanotrap	0.425		CP0005	A01	JL	Eric Lundstrum		08/18/2021 09:38 AM	WVU Morgantown	G	2021-08-27	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	B1	EP0005	A01	JL		Pass	EL	08/18/2021 09:38 AM	Composite	08/18/2021 09:38 AM	08/16/2021 09:41 AM	JL	08/18/2021	7.15	OaklandE-02		
A02-0074	18056	OneStep RT-ddPCR	Human RNase P	58.7142848968506	62383.9277029038	None				2021-09-09	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I4	AP0007	B06	JL	SARS-CoV-2 N1	36.5161085128784	0	1303.83804321289	38798.3652949333	SARS-CoV-2 N2	44.3483686447144	0	1366.20712280273	47120.141685009																																					0.005		2021-09-03	10	NT04155	Halcyon	Nanotrap	0.425		CP0008	A04	JL				WVU Morgantown		2021-09-03	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	I4	EP0008	A04	JL		Pass	EL	09/03/2021 09:30 AM	Composite	09/03/2021 09:08 AM	09/01/2021 09:08 AM	JL	09/03/2021	6.81	Evansdale-01		
A02-0029	14381	OneStep RT-ddPCR	Human RNase P	525.883865356446	558751.606941224	None					Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	B8	AP0005	H01	JL		16.5232312679291	0	2615.09490966796			21.0317611694336	0	2786.11602783204																																						0.005		2021-08-27	10	NT04155	Kookaburra	Nanotrap	0.425		CP0005	B02	JL				WVU Morgantown	G	2021-08-27	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	B8	EP0005	A08	JL		Pass	EL	08/23/2021 09:46 AM	Grab			JL	08/23/2021	7.54	HonorsSummit-01 (MUB)		
