Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A1009	14514	OneStep RT-ddPCR	Human RNase P		115878					3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				30639	SARS-CoV-2 N2				34062																																				CDC N1/N2/RP Triplex	0.005		3/19/21 3:00	100				3.5				TD	Josh Lambert	3/19/21 15:34	3/19/21 15:34	Monongalia County	A1009	3/21/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	GG	3/18/21 11:59	Composite	3/18/21 11:59	3/18/21 12:01	JL	3/19/21		StarCityWWTP-01	Available	
A02-0050	19522	OneStep RT-ddPCR	Human RNase P	2.410676926	2561.344234	None				9/9/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	F7	AP0007	C05	JL	SARS-CoV-2 N1	73.63698483	0	1303.838043	78239.29638	SARS-CoV-2 N2	112.3585796	0	1366.207123	119380.9909																																					0.005		9/2/21	10	 NT04155	Kookaburra	Nanotrap	0.425		CP0007	B01	JL				WVU Morgantown		9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F7	EP0007	A07	JL		Pass	EL	8/27/21 9:32	Composite	8/27/21 9:13	8/23/21 9:13	JL	8/27/21	6.51	Evansdale-01		
A02-0023	11003	OneStep RT-ddPCR	Human RNase P	10.50681472	11163.49064	None				8/20/21	Manual	DQ	XXXXXX	QX One	BRSV Triplex	F4	AP000000	D01	JL	SARS-CoV-2 N1	56.79361343	0	3138.026123	29334.11992	SARS-CoV-2 N2	21.01840734	0	3336.080627	36673.0299																																					0.005		9/2/21	10	 NT04155	Kookaburra	Nanotrap	0.425	7.16	CP0007	A04	JL				WVU Morgantown	G	9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F4	EP0007	A04	JL		Pass	EL	8/20/21 9:56	Composite	8/20/21 9:56	8/18/21 9:56	Jl	8/20/21	7.16	NorthHighSt-02 (MUB)		
A01-0012	15896	OneStep RT-ddPCR	Human RNase P	31.17315769	33121.48005	None					CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	K2	AP0004	G03	JL	SARS-CoV-2 N1	74.86507893	-20	2835.271912	79544.14636	SARS-CoV-2 N2	72.78320313	-20	3151.898499	77332.15332																																					0.005		8/24/21	10	NT04155	Halcyon	Nanotrap	0.425		CP0003	A02	JL				Monongalia County	Star City	8/24/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	K2	EP0003	A02	JL		Pass	GG	8/22/21 23:59	Composite	8/22/21 23:59	8/22/21 0:00	JL	8/24/21	7.06	StarCityWWTP-01		
A02-0031	13987	OneStep RT-ddPCR	Human RNase P	975.8476257	1036838.102	None					Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	C1	AP0005	A02	JL	SARS-CoV-2 N1	9.342662692	0	2615.09491	9926.57911	SARS-CoV-2 N2	82.66587257	0	2786.116028	87832.48961																																					0.005		8/27/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP0005	B03	JL				WVU Morgantown	G	8/27/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	C1	EP0005	A09	JL		Pass	EL	8/23/21 9:55	Grab			JL	8/23/21	8.46	NorthHighSt-02 (MUB)		
A02-0099																																																																				2021-09-13	10	NT04155	Halcyon	Nanotrap	0.425		CP0011	B04	JL				WVU Morgantown		2021-09-13	0.4	2105033	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B2	EP0011	A10	JL		Pass	EL	09/13/2021 09:50 AM	Composite	09/13/2021 09:00 AM	09/11/2021 09:00 AM	JL	09/13/2021	7.11	HonorsSummit-01 (MUB)		
A01-0001	19475	OneStep RT-ddPCR				BRSV	548.8265228	583128.1805		8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A03	JL	SARS-CoV-2 N1	8.458818793	0	2236.361694	8987.49459	SARS-CoV-2 N2	9.667469263	0	2276.707153	10271.68584																																					0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL	Josh Lambert		8/13/21 12:13	Monongalia County	WWTP	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	GG	8/9/21 23:55	Composite	8/9/21 23:55	8/9/21 0:00	JL	8/13/21	NaN	StarCityWWTP-01		10
A0221	13910	OneStep RT-ddPCR	Human RNase P		6084					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				88398	SARS-CoV-2 N2				82296																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				3				MS	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0221	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	GS	1/17/21 0:00	Composite	1/17/21 23:59	1/17/21 0:00	TD	1/22/21		StarCityWWTP-01	Available	
A0216	14343	OneStep RT-ddPCR	Human RNase P		0					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				161664	SARS-CoV-2 N2				173496																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0216	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	GS	1/10/21 0:00	Composite	1/10/21 23:59	1/10/21 0:00	TD	1/15/21		StarCityWWTP-01	Available	
A02-0084	19601	OneStep RT-ddPCR	Human RNase P	49.26872253	52348.01769	None				9/9/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	K6	AP0007	A06	JL	SARS-CoV-2 N1	191.6449738	0	1303.838043	203622.7846	SARS-CoV-2 N2	204.961338	0	1366.207123	217771.4217																																					0.005		9/8/21	10	NT04155	Halcyon	Nanotrap	0.425		CP0009	A06	JL				WVU Morgantown		9/8/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	K6	EP0009	A06	JL		Pass	EL	9/6/21 8:48	Composite	9/6/21 8:48	9/4/21 9:00	JL	9/7/21	6.89	NorthHighSt-02 (MUB)		
A1042	14297	OneStep RT-ddPCR	Human RNase P		39510						Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 14:30	100				5					Josh Lambert	5/7/21 15:21	5/7/21 15:21	Monongalia County	A1042		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	GG	5/3/21 23:55	Composite	5/3/21 23:55	5/3/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available	
A02-0080	14549	OneStep RT-ddPCR	Human RNase P	50.18832684	53325.09726	None				9/9/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I6	AP0007	C03	JL	SARS-CoV-2 N1	6.469900608	0	1303.838043	6874.269396	SARS-CoV-2 N2	14.55977917	0	1366.207123	15469.76537																																					0.005		9/3/21	10	NT04155	Halcyon	Nanotrap	0.425		CP0008	A06	JL				WVU Morgantown		9/3/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	I6	EP0008	A06	JL		Pass	EL	9/3/21 10:46	Composite	9/3/21 10:46	9/1/21 10:59	JL	9/3/21	5.86	CollegePark-02		
A0238	11383	OneStep RT-ddPCR	Human RNase P		4968					3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				14880	SARS-CoV-2 N2				39696																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				4				AT	Timothy Driscoll	2/24/21 10:41	2/24/21 10:41	Monongalia County	A0238	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	GG	2/9/21 8:00	Composite	2/9/21 11:55	2/9/21 12:00	TD	2/11/21		StarCityWWTP-01	Available	
A1022	10709	OneStep RT-ddPCR	Human RNase P		26370						Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				105540	SARS-CoV-2 N2				112140																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Josh Lambert	4/9/21 12:56	4/9/21 12:56	Monongalia County	A1022	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	GG	4/5/21 11:55	Composite	4/5/21 11:55	4/5/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available	
A01-0005	14966	OneStep RT-ddPCR	Human RNase P	23.59469414	25069.36252	None				8/18/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G5	AP000000	A05	JL	SARS-CoV-2 N1	210.036068	0	1685.59967	223163.3263	SARS-CoV-2 N2	238.6065865	1.36802882	1874.414978	253519.4941																																					0.005	NaN	8/18/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A05	JL	Josh Lambert		8/18/21 13:14	Monongalia County	Star City	8/18/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	GG	8/14/21 23:55	Composite	8/14/21 23:55	8/14/21 0:00	JL	8/18/21	6.85	StarCityWWTP-01		
A0220	12903	OneStep RT-ddPCR	Human RNase P		0					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				43776	SARS-CoV-2 N2				52536																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0220	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	GS	1/14/21 0:00	Composite	1/14/21 23:59	1/14/21 0:00	TD	1/15/21		StarCityWWTP-01	Available	
A1050	12110	OneStep RT-ddPCR		114.92		BRSV		272935												SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005		7/7/21	10				0.95	pH - 6.98				Josh Lambert		7/8/21 11:12	Monongalia County	A1050	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County		EL	5/17/21 23:55	Composite	5/17/21 23:55	5/17/21 0:00	JL	5/21/21	6.98	StarCityWWTP-01	Available	
A02-0040	14933	OneStep RT-ddPCR	Human RNase P	453.3557892	481690.526	None					CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L6	AP0004	F02	JL	SARS-CoV-2 N1	17.54501104	-20	2835.271912	18641.57423	SARS-CoV-2 N2	20.47055244	-20	3151.898499	21749.96197																																					0.005	Very Dense Fecal Sample	8/25/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A06	JL				WVU Morgantown		8/25/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L6	EP0004	A06	JL		Pass	EL	8/25/21 9:39	Grab			JL	8/25/21	7.02	HonorsSummit-01 (MUB)		
C01-0003	18909	OneStep RT-ddPCR	Human RNase P	57.309832572937	60891.6971087456	None				2021-09-20	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	F7	AP0008	D07	JL	SARS-CoV-2 N1	368.712768554688	0	1320.22521972656	391757.316589356	SARS-CoV-2 N2	310.640335083008	0	1524.01962280273	330055.356025696																																					0.005	Water was very dirty with solid matter; water was colored black essentially when unsettled.	2021-09-17	10	NT04155	Halcyon	Nanotrap	0.425		CP0013	B03	JL				Ohio County		2021-09-17	0.4	2105033	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F7	EP0012	A07	JL		Pass	MVC	09/15/2021 07:00 AM	Composite	09/15/2021 07:00 AM	09/14/2021 07:00 AM	JL	09/17/2021	4.81	Wheeling WPCD		
A1077	14191	OneStep RT-ddPCR		61.43		BRSV		145896.25												SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	1.66			3942.5																																				N1/N2/BRSV Triplex	0.005		7/7/21	10				0.95	pH - 6.42				Josh Lambert		7/9/21 12:01	Monongalia County	A1077	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05					Monongalia County		EL	6/23/21 23:55	Composite	6/23/21 23:55	6/23/21 0:00	JL	6/25/21	6.42	StarCityWWTP-01	Available	
A06-0005	17313	OneStep RT-ddPCR				BRSV	540.2661514	574032.7859		8/13/21	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A07	JL	SARS-CoV-2 N1	0	0	2236.361694	0	SARS-CoV-2 N2	1.359099597	0	2276.707153	1444.04335																																					0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL	Eric Lundstrum		8/10/21 9:07	WVU Morgantown	Building/Complex	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B01	JL	NaN	Pass	EL	8/10/21 9:07	Composite	8/10/21 9:00	8/9/21 9:00	JL	8/10/21	7.43	Evansdale-01		10
A01-0031	17045	OneStep RT-ddPCR	Human RNase P	24.86085176	26414.655	None				9/9/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	K3	AP0007	A03	JL	SARS-CoV-2 N1	64.96977329	0	1303.838043	69030.38412	SARS-CoV-2 N2	64.96977329	0	1366.207123	69030.38412																																					0.005		9/8/21	10	NT04155	Halcyon	Nanotrap	0.425		CP0009	A03	JL				Monongalia County		9/8/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	K3	EP0009	A03	JL		Pass	GG	9/6/21 23:55	Composite	9/6/21 23:55	9/6/21 0:00	JL	9/7/21	6.56	StarCityWWTP-01		
A1006	10779	OneStep RT-ddPCR	Human RNase P		55036.8					3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005		3/19/21 3:00	100				4.2				TD	Josh Lambert	3/19/21 15:30	3/19/21 15:30	Monongalia County	A1006	3/21/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	GG	3/15/21 11:59	Composite	3/15/21 11:59	3/15/21 12:01	JL	3/19/21		StarCityWWTP-01	Available	
A02-0056	11965	OneStep RT-ddPCR	Human RNase P	0	0	None					Manual	DQ	XXXXXX	QX One	BRSV Triplex	G3	AP000000	C02	JL	SARS-CoV-2 N1	29.38838005	0	3138.026123	31225.1538	SARS-CoV-2 N2	13.70998979	0	3336.080627	14566.86415																																					0.005		9/2/21	10	 NT04155	Kookaburra	Nanotrap	0.425		CP0007	B05	JL				WVU Morgantown		9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	G3	EP0007	A11	JL		Pass	EL	8/27/21 10:39	Composite	8/27/21 9:49	8/25/21 9:49	JL	8/27/21	7.17	NorthHighSt-02 (MUB)		
A0022	12254	OneStep RT-ddPCR	Human RNase P		27648					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				49795.2	SARS-CoV-2 N2				49795.2																																				CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				4.8				MS	Timothy Driscoll	12/7/20 15:07	12/7/20 15:07	Monongalia County	A0022	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	GG	11/19/20 0:00	Composite	11/19/20 23:59	11/19/20 0:00	TD	11/30/20		StarCityWWTP-01	Available	
