Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Volume Tested (mL)
A1106	18310	OneStep RT-ddPCR				BRSV	492.148246765136	522907.512187957		2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A02	JL	SARS-CoV-2 N1	8.99712562561036	0	2236.36169433594	9559.44597721101	SARS-CoV-2 N2	11.5683662891388	0	2276.70715332032	12291.38918221																																					0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL						2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL													
A02-0084																																																																																	WVU Morgantown													Pass	EL	09/06/2021 08:48 AM	Composite	09/06/2021 08:48 AM	09/04/2021 09:00 AM	JL	09/07/2021	6.89	NorthHighSt-02 (MUB)		
A01-0007	18545	OneStep RT-ddPCR	Human RNase P	43.1779050827026	45876.5241503715	None				08/18/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G7	AP000000	A07	JL	SARS-CoV-2 N1	30.4702949523926	0	1685.59967041016	32374.68839	SARS-CoV-2 N2	13.9606535434723	1.368028819561	1874.41497802734	14833.19414																																					0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL	Josh Lambert		08/18/2021 01:15 PM	NaN	Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A07	JL	NaN	Pass	GG	08/16/2021 11:55 PM	Composite	08/16/2021 11:55 PM	08/16/2021 12:00 AM	JL	08/18/2021	6.86	StarCityWWTP-01		
A02-0089																																																																																	WVU Morgantown													Pass	EL	09/08/2021 09:55 AM	Composite	09/08/2021 08:48 AM	09/06/2021 08:48 AM	JL	09/08/2021	7.26	NorthHighSt-02 (MUB)		
A02-0020	17034	OneStep RT-ddPCR	Human RNase P	19.3464362621307	20555.5885285139	None				08/20/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H7	AP000000	A07	JL	SARS-CoV-2 N1	9.6712303161621	0	1047.21549987793	10275.68221	SARS-CoV-2 N2	11.053159236908	0	1082.35214233398	11743.9822																																					0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	6.88	CP000000	B01	JL				WVU Morgantown	G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H7	EP000000	A07	JL		Pass	EL	08/20/2021 09:17 AM	Composite	08/20/2021 09:30 AM	08/20/2021 09:18 AM	Jl	08/20/2021	6.88	Evansdale-01		
A02-0050																																																																																	WVU Morgantown													Pass	EL	08/27/2021 09:32 AM	Composite	08/27/2021 09:13 AM	08/23/2021 09:13 AM	JL	08/27/2021	6.51	Evansdale-01		
A02-0064																																																																																	WVU Morgantown													Pass	EL	08/30/2021 10:35 AM	Grab			JL	08/30/2021	8.11	NorthHighSt-02 (MUB)		
A01-0046																																																																																	Monongalia County													Pass	JT	09/02/2021 11:55 PM	Composite	09/02/2021 11:55 PM	09/02/2021 12:00 AM	JL	09/02/2021	6.74	StarCityWWTP-01		
A02-0039	17859	OneStep RT-ddPCR	Human RNase P	79.851803779602	84842.5415158271	None				2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	L5	AP0004	E02	JL	SARS-CoV-2 N1	295.568962097168	-20	2835.2719116211	314042.022228241	SARS-CoV-2 N2	308.093585968018	-20	3151.89849853516	327349.435091019																																					0.005		2021-08-25	10	NT04155	Kookaburra	Nanotrap	0.425		CP0004	A05	JL				WVU Morgantown		2021-08-25	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	L5	EP0004	A05	JL		Pass	EL	08/25/2021 09:38 AM	Composite	08/25/2021 09:55 AM	08/23/2021 09:55 AM	JL	08/25/2021	7.09	HonorsSummit-01 (MUB)		
A02-0086																																																																																	WVU Morgantown													Pass	EL	09/08/2021 09:10 AM	Composite	09/08/2021 08:20 PM	09/06/2021 08:20 PM	JL	09/08/2021	6.31	Evansdale-01		
