Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
A02-0031	13987	OneStep RT-ddPCR	Human RNase P	975.8476257	1036838.102					8/27/21	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	C1	AP0005	A02	JL	SARS-CoV-2 N1	9.342662692	0	2615.09491	9926.57911	SARS-CoV-2 N2	82.66587257	0	2786.116028	87832.48961																																				CDC N1/N2/RP Triplex	0.005	Sample		8/27/21	10	NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0005	B03	JL	WVU Morgantown	Sample	8/27/21	0.4	2102028	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	C1	EP0005	A09	JL	NorthHighSt-02 (MUB)	EL	8/23/21 9:55	Grab	8/23/21 9:55	8/23/21 9:55			Pass	JL	8/23/21	8.46	Monongalia	Processing	Complete
A03-0173																																																																																											NorthES-01												Monongalia		
A02-0207	15080	OneStep RT-ddPCR	Human RNase P	6.242051125	6632.17932	None				11/4/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	K5	AP0016	F05	JL	SARS-CoV-2 N1	0	0	1040.980072	0	SARS-CoV-2 N2	1.560357511	0	1205.935364	1657.879855																																					0.005	Sample		11/3/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0032	D03	JL	WVU Morgantown	Sample	11/3/21	0.4	21108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	K5	EP0032	B09	JL	CollegePark-02	CA	11/3/21 11:30	Composite	11/3/21 11:31	11/1/21 11:31			Pass	JL	11/3/21	7.12	Monongalia	Processing	Complete
A0249	10132	OneStep RT-ddPCR	Human RNase P		61628.4					11/17/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				151837.2	SARS-CoV-2 N2				132824.4																																				CDC N1/N2/RP Triplex	0.005	Sample		11/13/20	100			PEG Precipitation	3.4				MS	WWTP	Sample	11/17/20	0.2			Qiagen QiaAMP Viral Mini-RNA Kit	0.06				MS	StarCityWWTP-01	GS	11/11/20 0:00	Composite	11/11/20 23:59	11/11/20 0:00	6.790		Pass	TD	11/13/20		Monongalia	Processing	Complete
A01-0087																																																																			Sample		11/12/21	10	NT04474	Kookaburra	Ceres Nanotrap	0.425		CP0035	C02	AJ	WWTP	Sample	11/12/21	0.4	2108255	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	H2	EP0035	B02	AJ	StarCityWWTP-01	GG	11/11/21 23:55	Composite	11/11/21 23:55	11/11/21 0:00			Pass	JL	11/12/21	7.01	Monongalia	Processing	Processing
F01-0021	12585	OneStep RT-ddPCR	Human RNase P	7.479745746	7947.229855					9/29/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	B2	AP0010	D02	JL	SARS-CoV-2 N1	118.083086	0	1097.667847	125463.2789	SARS-CoV-2 N2	22.44637728	0	1200.682373	23849.27586																																				CDC N1/N2/RP Triplex	0.005	Sample	NO METADATA 	9/29/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0018	A02	JL	WWTP	Sample	9/29/21	0.4	2105049	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	B2	EP0018	A02	JL	WestonWWTP-01	--		Composite					Fail: Missing Required Data	JL	9/27/21	6.87	Lewis	Rejected	Rejected
L01-0027																																																																																											WestUnionWWTP-01												Doddridge		
J01-0013																																																																															WWTP												AlpineLakeWWTP-01												Preston		
A02-0191	16607	OneStep RT-ddPCR	Human RNase P	34.02868271	36155.47538	None				11/22/21	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	NAB14 B6	AP0021	E03	JL	SARS-CoV-2 N1	200.6269264	1109.141006	0	213166.1093	SARS-CoV-2 N2	180.6298447	1229.36615	0	191919.21																																					0.005	Sample		10/28/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0030	C03	JL	WVU Morgantown	Sample	10/28/21	0.4	2108255	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	0.05	B7	EP0030	B07	JL	HonorsSummit-01 (MUB)	EL	10/27/21 9:55	Composite	10/27/21 9:55	10/25/21 10:16			Pass	JL	10/27/21		Monongalia	Processing	Complete
G01-0050																																																																															WWTP												KeyserWWTP-01	-	11/30/2021 09:20 AM	Composite	11/30/2021 08:00 AM	11/29/2021 09:00 AM			Pass	AJ	12/02/2021	7.31	Mineral		
