Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status	Date Added to Database
A02-0003 0	16649	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex	0k	AP000000	B06	JL	SARS-CoV-2 N1	0	99.9626001999652	104905.313036199	SARS-CoV-2 N2	0	99.9632629606967	105150.199234209																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425	Labeled 0	CP000000	C02	JL			2021-08-25.16-46-26				2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	Labeled 0	EP000000	C02	JL		Pass	Pass	Pass												2021-08-25.16-46-49
A02-0018	18936	OneStep RT-ddPCR	None	2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G3	AP000000	A03	JL	SARS-CoV-2 N1	0	99.8402729171382	41756.8646292588	SARS-CoV-2 N2	31.549265490618	99.856348309887	50849.0394388335																													Multiplex	0.005		2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL		Eric Lundstrum	2021-08-25.16-46-26	08/18/2021 10:07 AM	WVU Morgantown	G	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL		Pass	Pass	Pass	Pass	EL	08/18/2021 10:06 AM	Composite	08/18/2021 10:05 AM	08/16/2021 10:05 AM	JL	08/18/2021	7.02	NorthHighSt-02 (MUB)		2021-08-25.16-46-49
A02-0022	3939	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H2	AP000000	A02	JL	SARS-CoV-2 N1	0	99.9155717285111	0	SARS-CoV-2 N2	0	99.9183125425886	0																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	7.39	CP000000	A02	JL						G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H2	EP000000	A02	JL		Fail: Droplet Counts Below Threshold	Pass	Pass			08/20/2021 09:42 AM	Composite	08/20/2021 09:42 AM	08/18/2021 09:42 AM				HonorsSummit-01 (MUB)		2021-08-25.16-46-49
A02-0020	17034	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H7	AP000000	A07	JL	SARS-CoV-2 N1	0	99.9155717285111	24390.6778398099	SARS-CoV-2 N2	0	99.9183125425886	27662.659356588																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	6.88	CP000000	B01	JL						G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H7	EP000000	A07	JL		Pass	Pass	Pass			08/20/2021 09:17 AM	Composite	08/20/2021 09:30 AM	08/20/2021 09:18 AM				Evansdale-01		2021-08-25.16-46-49
A01-0010	18269	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H6	AP000000	A06	JL	SARS-CoV-2 N1	0	99.9155717285111	48257.4327390603	SARS-CoV-2 N2	0	99.9183125425886	52743.3289822743																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	6.99	CP000000	A06	JL						Star City	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H6	EP000000	A06	JL		Pass	Pass	Pass			08/19/2021 11:59 PM	Composite	08/19/2021 11:59 PM	08/19/2021 12:01 AM				StarCityWWTP-01		2021-08-25.16-46-49
A02-0012	18304	OneStep RT-ddPCR	None	08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B02	JL	SARS-CoV-2 N1	0	99.9487431908882	4097.80094	SARS-CoV-2 N2	0	99.9507301404237	10928.96241	None																												Multiplex	0.005	NaN	2021-08-16	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B04	JL		Eric Lundstrum	2021-08-25.16-46-26	08/16/2021 09:54 AM	WVU Morgantown	G	2021-08-16	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A10	JL	NaN	Pass	Pass	Pass	Pass	Alexander Brun	08/16/2021 09:54 AM	Composite	08/16/2021 09:00 AM	08/14/2021 09:00 AM	Josh Lambert	08/16/2021	6.65	HonorsSummit-01 (MUB)		2021-08-25.16-46-49
A1106	18310	OneStep RT-ddPCR	BRSV	2021-08-13	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	A02	JL	SARS-CoV-2 N1	0	99.9626001999652	1185.20703872258	SARS-CoV-2 N2	0	99.9632629606967	1630.48281760561																													Multiplex	0.005		2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A02	JL			2021-08-25.16-46-26				2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A02	JL		Pass	Pass	Pass												2021-08-25.16-46-49
A02-0002	20957	OneStep RT-ddPCR	BRSV	08/13/2021	Manual	DQ	XXXXXX	QX 200	BRSV Triplex		AP000000	C01	JL	SARS-CoV-2 N1	0	99.9626001999652	7158.53721	SARS-CoV-2 N2	0	99.9632629606967	5965.30548																													Multiplex	0.005	NaN	2021-08-13	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C05	JL		Josh Lambert	2021-08-25.16-46-26	08/16/2021 01:03 PM	WVU Morgantown	Building/Complex	2021-08-13	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C05	JL	NaN	Pass	Pass	Pass	Pass	EL	08/12/2021 09:00 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/13/2021	6.65	OaklandE-02		2021-08-25.16-46-49
A02-0024	17511	OneStep RT-ddPCR	None	2021-08-20	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H4	AP000000	A04	JL	SARS-CoV-2 N1	0	99.9155717285111	1806.35328212798	SARS-CoV-2 N2	0	99.9183125425886	27283.8852961585																													Multiplex	0.005		2021-08-20	10	NT04155	Kookaburra	Nanotrap	0.425	7.16	CP000000	A04	JL						G	2021-08-20	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H4	EP000000	A04	JL		Pass	Pass	Pass			08/20/2021 10:10 AM	Composite	08/20/2021 10:10 AM	08/18/2021 10:10 AM				CollegePark-02		2021-08-25.16-46-49
A01-0007	18545	OneStep RT-ddPCR	None	2021-08-18	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	G7	AP000000	A07	JL	SARS-CoV-2 N1	0	99.8402729171382	37091.697074748	SARS-CoV-2 N2	31.549265490618	99.856348309887	19131.0947084717																													Multiplex	0.005	NaN	2021-08-18	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B01	JL		Josh Lambert	2021-08-25.16-46-26	08/18/2021 01:15 PM		Star City	2021-08-18	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A07	JL	NaN	Pass	Pass	Pass	Pass	GG	08/16/2021 11:55 PM	Composite	08/16/2021 11:55 PM	08/16/2021 12:00 AM	JL	08/18/2021	6.86	StarCityWWTP-01		2021-08-25.16-46-49
