assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
M03-0504.a1	M03-0504.e1	M03-0504	AB79	D03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	17124	0	0	
M03-0504.a2	M03-0504.e1	M03-0504	AB79	D03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	17124	0	0	
M03-0504.a3	M03-0504.e1	M03-0504	AB79	D03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	17124	0	0	
M03-0504.a4	M03-0504.e1	M03-0504	AB79	D03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	17124	0	0	
M03-0504.a5	M03-0504.e1	M03-0504	AB79	D03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	17124	0	0.0734582096338272	
N02-0544.a1	N02-0544.e1	N02-0544	AB79	B03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	22271	0	0	
N02-0544.a2	N02-0544.e1	N02-0544	AB79	B03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	22271	0	0.395420730113983	
N02-0544.a3	N02-0544.e1	N02-0544	AB79	B03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	22271	0	0.395420730113983	
N02-0544.a4	N02-0544.e1	N02-0544	AB79	B03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	22271	0	0.395420730113983	
N02-0544.a5	N02-0544.e1	N02-0544	AB79	B03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	22271	0	1.86521565914154	
A01-1186.a1	A01-1186.e1	A01-1186	AB79	E01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21642	0	0.465056508779526	
A01-1186.a2	A01-1186.e1	A01-1186	AB79	E01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21642	0	1.51206278800964	
A01-1186.a3	A01-1186.e1	A01-1186	AB79	E01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21642	0	0	
A01-1186.a4	A01-1186.e1	A01-1186	AB79	E01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21642	0	0.639497041702271	
A01-1186.a5	A01-1186.e1	A01-1186	AB79	E01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21642	0	0.697649240493774	
A04-0651.a1	A04-0651.e1	A04-0651	AB79	F03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21916	0	5.57963991165161	
A04-0651.a2	A04-0651.e1	A04-0651	AB79	F03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21916	0	5.06089878082275	
A04-0651.a3	A04-0651.e1	A04-0651	AB79	F03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21916	0	0.918650150299072	
A04-0651.a4	A04-0651.e1	A04-0651	AB79	F03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21916	0	2.4703950881958	
A04-0651.a5	A04-0651.e1	A04-0651	AB79	F03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21916	0	0.172195792198181	
P01-0181.a1	P01-0181.e1	P01-0181	AB79	E03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21139	0	1.13109028339386	
P01-0181.a2	P01-0181.e1	P01-0181	AB79	E03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21139	0	1.78639721870422	
P01-0181.a3	P01-0181.e1	P01-0181	AB79	E03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21139	0	4.76937532424927	
P01-0181.a4	P01-0181.e1	P01-0181	AB79	E03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21139	0	4.11251258850098	
P01-0181.a5	P01-0181.e1	P01-0181	AB79	E03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21139	0	0.357076525688171	
A01-1187.a1	A01-1187.e1	A01-1187	AB79	F01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21649	0	0.290546178817749	
A01-1187.a2	A01-1187.e1	A01-1187	AB79	F01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21649	0	3.37446880340576	
A01-1187.a3	A01-1187.e1	A01-1187	AB79	F01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21649	0	0.464906126260757	
A01-1187.a4	A01-1187.e1	A01-1187	AB79	F01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21649	0	1.80246925354004	
A01-1187.a5	A01-1187.e1	A01-1187	AB79	F01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21649	0	1.04628050327301	
A01-1183.a1	A01-1183.e1	A01-1183	AB79	B01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	20705	0	1.88471043109894	
A01-1183.a2	A01-1183.e1	A01-1183	AB79	B01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	20705	0	0.303794622421265	
A01-1183.a3	A01-1183.e1	A01-1183	AB79	B01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20705	0	2.00640177726746	
A01-1183.a4	A01-1183.e1	A01-1183	AB79	B01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	20705	0	1.21561896800995	
A01-1183.a5	A01-1183.e1	A01-1183	AB79	B01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	20705	0	0	
A01-1185.a1	A01-1185.e1	A01-1185	AB79	D01	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	22139	0	0.0568178333342075	
A01-1185.a2	A01-1185.e1	A01-1185	AB79	D01	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	22139	0	0.397778749465942	
A01-1185.a3	A01-1185.e1	A01-1185	AB79	D01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	22139	0	3.01488733291626	
A01-1185.a4	A01-1185.e1	A01-1185	AB79	D01	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	22139	0	2.44548726081848	
A01-1185.a5	A01-1185.e1	A01-1185	AB79	D01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	22139	0	4.89573812484741	
Q01-0604.a1	Q01-0604.e1	Q01-0604	AB79	H03	5	unknown	sample	Respiratory Syncitial Virus, Human (RSV)	G	sample	RNA	Cy5	21851	0	0.0575667209923267	
Q01-0604.a2	Q01-0604.e1	Q01-0604	AB79	H03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21851	0	2.53543138504028	
Q01-0604.a3	Q01-0604.e1	Q01-0604	AB79	H03	5	unknown	sample	Influenza Virus A (FluA)	M	sample	RNA	FAM	21851	0	0.748572885990143	
Q01-0604.a4	Q01-0604.e1	Q01-0604	AB79	H03	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21851	0	2.53543138504028	
Q01-0604.a5	Q01-0604.e1	Q01-0604	AB79	H03	5	unknown	sample	Influenza Virus B (FluB)	NEP/NS1	sample	RNA	Cy5.5	21851	0	0.460607528686523	
A01-1184.a1	A01-1184.e1	A01-1184	AB79	C01	5	unknown	sample	Respiratory Syncitial Virus, Bovine (BRSV)	Other	sample	RNA	HEX	21724	0	2.26020479202271	
