Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
M03-0090	WWTP	ManningtonWWTP-01	M03-0090	Marion	Sample	Composite		06/26/2022 11:00 AM	06/29/2022	06/25/2022 11:00 AM	06/26/2022 11:00 AM	AJ	2022-06-30		7.14			Pass	SARS-CoV-2 N1	75775.2956449987	SARS-CoV-2 N2	43611.4713549613	0.136	Processing	Complete
A02-0149	WVU Morgantown	HonorsSummit-01 (MUB)	Sample	Monongalia	Sample	Composite	EL	10/08/2021 09:37 AM	10/08/2021	10/06/2021 09:37 AM	10/08/2021 09:38 AM	JL	10/11/21		7.45			Pass	SARS-CoV-2 N1	7910.839841	SARS-CoV-2 N2	55414.56968		Rejected: No Flow	Complete
C01-0251	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite		08/30/2022 07:00 AM	09/07/2022	08/29/2022 07:00 AM	08/30/2022 07:00 AM	AJ	2022-09-08					Pass	SARS-CoV-2 N1	43416.1383658646	SARS-CoV-2 N2	56449.7559517622	10.937	Processing	Complete
A04-0102	WWTP	CheatLakeWWTP-01	A04-0102	Monongalia	Sample	Composite		06/28/2022 08:00 AM	06/29/2022	06/27/2022 08:00 AM	06/28/2022 08:00 AM	AJ	2022-06-30		7.27			Pass	SARS-CoV-2 N1	281663.349866867	SARS-CoV-2 N2	265042.425692081	0.551	Processing	Complete
L01-0160	WWTP	WestUnionWWTP-01	L01-0160	Doddridge	Sample	Composite		07/01/2022 09:00 AM	07/06/2022	06/30/2022 09:00 AM	07/01/2022 09:00 AM	AJ	2022-07-07		7.35			Pass	SARS-CoV-2 N1	582879.313230515	SARS-CoV-2 N2	538697.118759154	0.28	Processing	Complete
K01-0111	WWTP	ParkersburgWWTP-01	K01-0111	Wood	Sample	Composite		06/28/2022 06:22 AM	07/06/2022	06/27/2022 06:23 AM	06/28/2022 06:22 AM	AJ	2022-07-07		7.02			Pass	SARS-CoV-2 N1	249719.299077988	SARS-CoV-2 N2	253726.931512356	5.119	Processing	Complete
E01-0003	WWTP	PrincetonWWTP-01	Sample	Mercer	Sample	Composite	TT	11/02/2021 08:00 AM	11/05/2021	11/01/2021 08:00 AM	11/02/2021 08:00 AM	JL	11/8/21		6.63			Pass	SARS-CoV-2 N1	70082.5882	SARS-CoV-2 N2	73981.83256		Processing	Confirming
H01-0021	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite	DRC	10/19/2021 08:15 AM	10/25/2021	10/18/2021 08:00 AM	10/19/2021 08:00 AM	JL	11/1/21		7.06			Pass	SARS-CoV-2 N1		SARS-CoV-2 N2			Processing	Confirming
C01-0037	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	GZ	11/11/2021 07:00 AM	11/12/2021	11/10/2021 07:00 AM	11/11/2021 07:00 AM	JL	11/22/21		6.26			Pass	SARS-CoV-2 N1	63799.74186	SARS-CoV-2 N2	81070.8943		Rejected: No Flow	Complete
R02-0121	WWTP	ElkinsWWTP-01	Sample	Randolph	Sample	Composite		08/12/2022 06:00 AM	08/17/2022	08/11/2022 06:00 AM	08/12/2022 06:00 AM	AJ	2022-08-18	ILLEGIBLE FLOW				Fail: Missing Required Data	SARS-CoV-2 N1	2487.56635934115	SARS-CoV-2 N2	4975.28029605745		Processing	Complete
G01-0152	WWTP	KeyserWWTP-01	G01-0152	Mineral	Sample	Composite		05/17/2022 08:00 AM	05/19/2022	05/16/2022 08:00 AM	05/17/2022 08:00 AM	JL	2022-05-20		7.1			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	2788.81876263767	1.393	Processing	Complete
A03-0145	K-12	NorthES-01	Sample	Monongalia	Sample	Composite	GZ	12/10/2021 12:31 PM	12/13/2021	12/10/2021 06:00 AM	12/10/2021 02:00 PM	AJ	12/14/21		8.95			Pass	SARS-CoV-2 N1	2546.666586	SARS-CoV-2 N2	2546.666586		Rejected: No Flow	Complete
L01-0154	WWTP	WestUnionWWTP-01	Sample	Doddridge	Sample	Composite		07/14/2022 09:00 AM	07/20/2022	07/13/2022 09:00 AM	07/14/2022 09:00 AM	AJ	2022-07-25					Pass	SARS-CoV-2 N1	82376.8074810507	SARS-CoV-2 N2	72070.8529651164	0.175	Processing	Complete
G01-0125	WWTP	KeyserWWTP-01	G01-0125	Mineral	Sample	Composite		04/11/2022 08:00 AM	04/14/2022	04/10/2022 09:00 AM	04/11/2022 08:00 AM	JL	4/19/22		7.1			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	5672.18313	1.499	Processing	Complete
A03-0171	K-12	SuncrestES-01	Sample	Monongalia	Sample	Composite	GZ	01/13/2022 10:25 AM	01/13/2022	01/12/2022 06:00 AM	01/12/2022 02:00 PM	AJ	1/19/22		9.02			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	22394.74565		Processing	Complete
