Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
A02-0097	WVU Morgantown	Evansdale-01	Sample	Monongalia	Sample	Grab	EL	9/13/21 9:20	9/13/21	9/13/21 9:20	9/13/21 9:20	JL	9/20/21		7.79			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Rejected: No Flow	Complete
A0023	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	11/22/20 0:00	11/30/20	11/22/20 0:00	11/22/20 23:59	TD	12/14/20					Pass	SARS-CoV-2 N1	49394.4	SARS-CoV-2 N2	29647.2	8.214	Rejected: No NTC	Complete
A1047	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	EL	5/17/21 9:18	5/18/21	5/12/21 12:00	5/12/21 11:59	MVS	5/19/21					Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	4779	10.836	Processing	Complete
A02-0044	WVU Morgantown		Sample	Monongalia	Sample																			Processing	Unknown
E02-0097	WWTP	AthensWWTP-01	G	Mercer	Sample	Composite		1/12/22 8:00	1/21/22	1/11/22 8:00	1/12/22 8:00	AJ	1/24/22		6.65			Pass	SARS-CoV-2 N1	1178725.526	SARS-CoV-2 N2	1193624.904	0.217	Processing	Complete
A0104	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GS	11/5/20 0:00	11/9/20	11/5/20 0:00	11/5/20 23:59	TD	11/10/20					Pass	SARS-CoV-2 N1	13708.8	SARS-CoV-2 N2	13708.8	6.009	Rejected: No NTC	Complete
A02-0262	WVU Morgantown	CollegePark-02	Sample	Monongalia	Sample	Composite	GZ	12/8/21 10:08	12/8/21	12/6/21 9:00	12/8/21 9:00	AJ	12/9/21		7.93			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Confirming
A01-0129	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	12/19/21 0:00	12/21/21	12/18/21 0:00	12/19/21 0:00	AJ	12/28/21		7.55			Pass	SARS-CoV-2 N1	367054.9911	SARS-CoV-2 N2	307543.3677	8	Processing	Complete
A01-0032	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	JL	9/9/21 23:55	9/13/21	9/9/21 0:00	9/9/21 23:55	JL	9/20/21		6.83			Pass	SARS-CoV-2 N1	101988.9289	SARS-CoV-2 N2	121158.2518	9.799	Processing	Complete
K01-0012	WWTP	ParkersburgWWTP-01	Sample	Wood	Sample	Composite		12/15/21 6:28	12/16/21	12/14/21 6:20	12/15/21 6:28	AJ	12/21/21		7.26			Pass	SARS-CoV-2 N1	29830.437	SARS-CoV-2 N2	3727.644179	4.913	Processing	Complete
A03-0092	K-12	SuncrestES-01	Sample	Monongalia	Sample	Composite	BL	11/12/21 14:05	11/15/21	11/12/21 6:00	11/12/21 14:00	JL	12/3/21		8.58			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Rejected: No Flow	Complete
A1066	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	EL	6/8/21 23:55	6/11/21	6/8/21 0:00	6/8/21 23:55	JL	7/7/21		6.28			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	6.899	Processing	Confirming
E01-0002	WWTP	PrincetonWWTP-01	Sample	Mercer	Sample	Composite	TT	10/28/21 8:00	10/29/21	10/27/21 8:00	10/28/21 8:00	JL	11/4/21		7.02			Pass	SARS-CoV-2 N1	44152.90624	SARS-CoV-2 N2	6302.785762		Rejected: No Flow	Complete
H01-0081	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite		12/5/21 8:15	12/10/21	12/4/21 8:00	12/5/21 8:00	JL	12/14/21		7.26			Pass	SARS-CoV-2 N1	114918.3449	SARS-CoV-2 N2	82816.40545	1.2	Processing	Complete
E02-0020	WWTP	AthensWWTP-01	Sample	Mercer	Sample	Composite		12/14/21 8:00	12/17/21	12/13/21 8:00	12/14/21 8:00	AJ	12/21/21		7.22			Pass	SARS-CoV-2 N1	44380.08405	SARS-CoV-2 N2	41768.19384	0.092	Processing	Complete
A1040	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	EL	4/30/21 11:11	4/30/21	4/29/21 11:59	4/30/21 11:59	MVS	5/3/21					Pass	SARS-CoV-2 N1	4692	SARS-CoV-2 N2	4692	7.844	Processing	Complete
G01-0045	WWTP	KeyserWWTP-01	Sample	Mineral	Sample	Composite		12/5/21 8:50	12/10/21	12/4/21 9:00	12/5/21 8:00	AJ	12/14/21		7.28			Pass	SARS-CoV-2 N1	77810.66582	SARS-CoV-2 N2	67069.56826	0.572	Processing	Complete
A03-0055	K-12	MorgantownHS-01	Sample	Monongalia	Sample	Composite	BL	10/29/21 13:50	11/1/21	10/29/21 6:00	10/29/21 13:50	JL	11/8/21		5.84			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Rejected: No Flow	Complete
H01-0052	WWTP	MoundsvilleWWTP-01	G	Marshall	Sample	Composite		12/25/21 8:15	1/3/22	12/24/21 8:00	12/25/21 8:00	AJ	1/12/22		7.14			Fail: Temperature Above Threshold	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	1.4	Processing	Complete
C01-0024	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	OR	10/19/21 7:00	10/27/21	10/18/21 7:00	10/19/21 7:00	JL	11/1/21		6.74			Pass	SARS-CoV-2 N1		SARS-CoV-2 N2			Processing	Confirming
A01-0023	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample																			Processing	Unknown
B01-0027	WWTP	CharlestonWWTP-01	Sample	Kanawha	Sample	Composite		12/6/21 8:25	12/7/21	12/5/21 7:00	12/6/21 7:00	AJ	12/9/21		7.13			Pass	SARS-CoV-2 N1	21987.46182	SARS-CoV-2 N2	3663.776089	6.349	Processing	Complete
G01-0014	WWTP	KeyserWWTP-01	Sample	Mineral	Sample	Composite		12/6/21 9:30	12/9/21	12/5/21 9:00	12/6/21 8:00	AJ	12/14/21		7.3			Pass	SARS-CoV-2 N1	66722.86548	SARS-CoV-2 N2	19613.34955	0.534	Processing	Complete
C01-0071	WWTP	WheelingWWTP-01	G	Ohio	Sample	Composite	GZ	12/31/21 7:00	1/4/22	12/30/21 7:00	12/31/21 7:00	AJ	1/12/22	6.77				Pass	SARS-CoV-2 N1	42979.08001	SARS-CoV-2 N2	50146.55001	11.117	Processing	Complete
A02-0129	WVU Morgantown	NorthHighSt-02 (MUB)	Sample	Monongalia	Sample	Composite	EL	9/27/21 10:06	9/27/21	9/25/21 10:06	9/27/21 10:06	JL	9/29/21		6.57			Pass	SARS-CoV-2 N1	14949.91906	SARS-CoV-2 N2	3736.641593		Rejected: No Flow	Complete
A03-0004	K-12	NorthES-01	Sample	Monongalia	Sample	Composite	TD	9/16/21 18:00	9/16/21	9/15/21 6:00	9/15/21 14:00	TD	10/5/21		7.24			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	1690.577418		Rejected: No Flow	Complete
A02-0219	WVU Morgantown	OaklandE-02	Sample	Monongalia	Sample	Composite	EL	11/15/21 9:39		11/13/21 9:00	11/15/21 9:00		11/22/21		7.98			Pass	SARS-CoV-2 N1	50691.7119	SARS-CoV-2 N2	24515.41305		Rejected: No Flow	Complete
A0206	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	12/31/20 0:00	1/7/21	12/31/20 0:00	12/31/20 23:59	TD	2/22/21					Pass	SARS-CoV-2 N1	51072	SARS-CoV-2 N2	62016	12.743	Rejected: No NTC	Complete
A02-0305	WVU Morgantown	OaklandE-02	Sample	Monongalia	Sample	Composite	GZ	1/24/22 9:46	1/24/22	1/22/22 9:00	1/24/22 9:00	AJ			8.01			Pass						Processing	Processing
A1024	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	4/7/21 11:55	4/9/21	4/7/21 12:00	4/7/21 11:55	Josh Lambert	4/12/21					Pass	SARS-CoV-2 N1	46728	SARS-CoV-2 N2	33372	9.15	Processing	Complete
C01-0050	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	GZ	12/2/21 7:00	12/7/21	12/1/21 7:00	12/2/21 7:00	AJ	12/14/21		6.5			Pass	SARS-CoV-2 N1	2746.061403	SARS-CoV-2 N2	2746.061403	6.108	Processing	Complete
A02-0168	WVU Morgantown	NorthHighSt-02 (MUB)	Sample	Monongalia	Sample	Composite	EL	10/13/21 10:10	10/13/21	10/11/21 10:10	10/13/21 10:10	JL	10/14/21		7.75			Pass	SARS-CoV-2 N1	32602.15431	SARS-CoV-2 N2	37495.5824		Rejected: No Flow	Complete
A0224	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GS	1/20/21 0:00	1/22/21	1/20/21 0:00	1/20/21 23:59	TD	2/22/21					Pass	SARS-CoV-2 N1	44784	SARS-CoV-2 N2	44784	8.431	Rejected: No NTC	Complete
A01-0036	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	DW	9/1/21 23:55	9/1/21	9/1/21 0:00	9/1/21 23:55	JL	9/3/21		6.53			Pass	SARS-CoV-2 N1	72143.12136	SARS-CoV-2 N2	38447.71758	12.161	Processing	Complete
A02-0070	WVU Morgantown	HonorsSummit-01 (MUB)	Sample	Monongalia	Sample	Composite	EL	9/1/21 10:19	9/1/21	8/30/21 10:04	9/1/21 10:04	JL	9/2/21		7.09			Pass	SARS-CoV-2 N1	8789.809942	SARS-CoV-2 N2	5273.501743		Rejected: No Flow	Complete
C01-0108	WWTP	WheelingWWTP-01	G	Ohio	Sample	Composite	GZ	1/18/22 7:00	1/25/22	1/17/22 7:00	1/18/22 7:00	AJ						Pass					7.285	Processing	Processing
