Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
C01-0140	WWTP	WheelingWWTP-01	C01-0140	Ohio	Sample	Composite		04/04/2022 07:00 AM	04/05/2022	04/03/2022 07:00 AM	04/04/2022 07:00 AM	JL	4/6/22		6.25			Pass	SARS-CoV-2 N1	21167.55802	SARS-CoV-2 N2	13228.47068	7.11	Processing	Complete
O01-0216	WWTP	GraftonWWTP-01	Sample	Taylor	Sample	Composite		11/10/2022 07:00 AM	11/16/2022	11/09/2022 07:00 AM	11/10/2022 07:00 AM	AJ	11/21/22					Pass	SARS-CoV-2 N1	26534.83037	SARS-CoV-2 N2	24322.95341	0.62	Processing	Complete
J01-0242	WWTP	AlpineLakeWWTP-01	Sample	Preston	Sample	Composite		03/08/2023 07:30 AM	03/15/2023	03/07/2023 07:30 AM	03/08/2023 07:30 AM	AJ	2023-03-17					Pass	SARS-CoV-2 N1	118093.488067389	SARS-CoV-2 N2	97533.1270694733	0.202	Processing	Complete
A02-1299	WVU Morgantown	HonorsSummit-01 (MUB)	Sample	Monongalia	Sample	Composite	GZ	05/15/2023 11:24 AM	05/15/2023	05/13/2023 09:00 AM	05/15/2023 09:00 AM	LW	2023-05-19					Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Complete
A01-0145	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	01/06/2022 12:00 AM	01/10/2022	01/05/2022 12:00 AM	01/06/2022 12:00 AM	AJ	1/12/22		7.42			Pass	SARS-CoV-2 N1	70239.27547	SARS-CoV-2 N2	87817.49904	9.5	Processing	Complete
J01-0264	WWTP	AlpineLakeWWTP-01	Sample	Preston	Sample	Composite		04/13/2023 07:30 AM	04/19/2023	04/12/2023 07:30 AM	04/13/2023 07:30 AM	AJ	2023-04-21					Pass	SARS-CoV-2 N1	113659.371882677	SARS-CoV-2 N2	106831.673830747	0.08	Processing	Complete
A03-0154	K-12	MountainviewES-01	Sample	Monongalia	Sample	Composite	GZ	12/17/2021 01:38 PM	12/17/2021	12/17/2021 06:00 AM	12/17/2021 02:00 PM	AJ	12/28/21		8.93			Pass	SARS-CoV-2 N1	22195.50345	SARS-CoV-2 N2	44402.76213		Processing	Complete
C01-0468	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite		07/19/2023 07:00 AM	07/26/2023	07/18/2023 07:00 AM	07/19/2023 07:00 AM	AJ	2023-07-28					Pass	SARS-CoV-2 N1	16014.9098932743	SARS-CoV-2 N2	12811.4701062441	5.519	Processing	Complete
N02-0169	WWTP	ClarksburgWWTP-01	Sample	Harrison	Sample	Composite		10/04/2022 07:00 AM	10/07/2022	10/03/2022 07:00 AM	10/04/2022 07:00 AM	AJ	10/17/22					Pass	SARS-CoV-2 N1	23196.6811	SARS-CoV-2 N2	18556.3197	11.528	Processing	Complete
M04-0172	WWTP	FarmingtonWWTP-01	Sample	Marion	Sample	Composite		01/12/2023 12:00 PM	01/26/2023	01/11/2023 12:00 PM	01/12/2023 12:00 PM	AJ	1/27/23					Pass	SARS-CoV-2 N1	8998.257592	SARS-CoV-2 N2	8998.257592	0.102	Processing	Complete
H01-0255	WWTP	MoundsvilleWWTP-01	H01-0255	Marshall	Sample	Composite		06/19/2022 08:00 AM	06/24/2022	06/18/2022 08:00 AM	06/19/2022 08:00 AM	AJ	6/28/22		7.13			Pass	SARS-CoV-2 N1	60187.63393	SARS-CoV-2 N2	40115.48437	1.7	Processing	Complete
J01-0038	WWTP	AlpineLakeWWTP-01	J01-0038	Preston	Sample	Composite		04/29/2022 09:45 AM	05/04/2022	04/28/2022 07:30 AM	04/29/2022 07:30 AM	AJ	5/5/22		7.25			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.168	Processing	Complete
E02-0183	WWTP	AthensWWTP-01	Sample	Mercer	Sample	Composite		08/18/2022 08:00 AM	08/19/2022	08/17/2022 08:00 AM	08/18/2022 08:00 AM	AJ	8/23/22					Pass	SARS-CoV-2 N1	268125.506	SARS-CoV-2 N2	270294.7873	0.17	Processing	Complete
N03-0158	WWTP	SalemWWTP-01	Sample	Harrison	Sample	Composite		08/30/2022 07:30 AM	08/31/2022	08/29/2022 07:30 AM	08/30/2022 07:30 AM	AJ	9/1/22					Pass	SARS-CoV-2 N1	124374.4406	SARS-CoV-2 N2	117188.9555	0.55019	Processing	Complete
A04-0102	WWTP	CheatLakeWWTP-01	A04-0102	Monongalia	Sample	Composite		06/28/2022 08:00 AM	06/29/2022	06/27/2022 08:00 AM	06/28/2022 08:00 AM	AJ	6/30/22		7.27			Pass	SARS-CoV-2 N1	281663.3499	SARS-CoV-2 N2	265042.4257	0.551	Processing	Complete
Q01-0061	WWTP	MadisonWWTP-01	Q01-0061	Boone	Sample	Composite		07/05/2022 08:00 AM	07/08/2022	07/04/2022 08:00 AM	07/05/2022 08:00 AM	JL	7/11/22		7.2			Pass	SARS-CoV-2 N1	6336.666187	SARS-CoV-2 N2	0	0.306	Processing	Complete
N03-0365	WWTP	SalemWWTP-01	Sample	Harrison	Sample	Composite		06/08/2023 08:00 AM	06/14/2023	06/07/2023 08:00 AM	06/08/2023 08:00 AM	LW	2023-06-21					Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	3.651	Processing	Complete
