Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
H01-0002	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite	DRC	9/29/21 8:10	10/1/21	9/28/21 8:00	9/29/21 8:00	JL	10/5/21					Pass	SARS-CoV-2 N1	54749.96507	SARS-CoV-2 N2	33677.71953		Rejected: No Flow	Complete
C01-0010	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	MVC	9/28/21 7:00	10/1/21	9/27/21 7:00	9/28/21 7:00	JL	10/5/21					Pass	SARS-CoV-2 N1	37600.79622	SARS-CoV-2 N2	67410.84516		Rejected: No Flow	Complete
B01-0092	WWTP	CharlestonWWTP-01	G	Kanawha	Sample	Composite		2/2/22 7:15	2/8/22	2/1/22 7:00	2/2/22 7:00	AJ			6.91			Pass					8.713	Processing	Processing
A02-0036	WVU Morgantown	Evansdale-01	Sample	Monongalia	Sample	Grab	EL	8/25/21 9:13	8/25/21	8/25/21 9:13	8/25/21 9:13	JL	8/25/21		7.79			Pass	SARS-CoV-2 N1	1601344.404	SARS-CoV-2 N2	1580821.695		Rejected: No Flow	Complete
B01-0096	WWTP	CharlestonWWTP-01	G	Kanawha	Sample	Composite		1/21/22 7:30	2/2/22	1/20/22 7:00	1/21/22 7:00	AJ	2/7/22		7.31			Pass	SARS-CoV-2 N1	228610.1881	SARS-CoV-2 N2	164004.0493	20.941	Processing	Complete
N02-0044	WWTP	ClarksburgWWTP-01	G	Harrison	Sample	Composite		2/16/22 7:00	2/22/22	2/15/22 7:00	2/16/22 7:00	AJ	2/24/22					Fail: Missing Required Data	SARS-CoV-2 N1	118116.8371	SARS-CoV-2 N2	146289.0226		Processing	Complete
E01-0015	WWTP	PrincetonWWTP-01	Sample	Mercer	Sample	Composite	TT	12/3/21 8:00	12/9/21	12/2/21 8:00	12/3/21 8:00	AJ	12/14/21		7.01			Pass	SARS-CoV-2 N1	213639.1917	SARS-CoV-2 N2	225540.0181	1.614	Processing	Complete
A01-0086	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	11/10/21 23:55	11/12/21	11/10/21 0:00	11/10/21 23:55	JL			6.97			Pass					6.77	Processing	Confirming
H01-0130	WWTP	MoundsvilleWWTP-01	G	Marshall	Sample	Composite		2/17/22 8:15	2/18/22	2/16/22 8:00	2/17/22 8:00	AJ	2/22/22					Pass	SARS-CoV-2 N1	53316.07886	SARS-CoV-2 N2	79999.57591	1.9	Processing	Complete
A0043	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GG	12/17/20 0:00	12/18/20	12/17/20 12:00	12/17/20 11:59	TD	2/22/21					Pass	SARS-CoV-2 N1	60100.8	SARS-CoV-2 N2	44072.4	11.864	Rejected: No NTC	Complete
C01-0058	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	GZ	12/14/21 7:00	12/21/21	12/13/21 7:00	12/14/21 7:00	AJ	12/28/21		7.11			Pass	SARS-CoV-2 N1	208484.6601	SARS-CoV-2 N2	74523.52524	8.278	Processing	Complete
