assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
J01-1038.a1	J01-1038.e1	J01-1038	AB174	G01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	13514	0	0	
J01-1038.a2	J01-1038.e1	J01-1038	AB174	G01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	13514	0	0	
J01-1038.a3	J01-1038.e1	J01-1038	AB174	G01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	13514	0	0	
J01-1038.a4	J01-1038.e1	J01-1038	AB174	G01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	13514	0	8.31137657165527	
J01-1038.a5	J01-1038.e1	J01-1038	AB174	G01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	13514	0	0	
W01-1025.a1	W01-1025.e1	W01-1025	AB174	F02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19527	0	0	
W01-1025.a2	W01-1025.e1	W01-1025	AB174	F02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19527	0	0	
W01-1025.a3	W01-1025.e1	W01-1025	AB174	F02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19527	0	0	
W01-1025.a4	W01-1025.e1	W01-1025	AB174	F02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19527	0	1.28899085521698	
W01-1025.a5	W01-1025.e1	W01-1025	AB174	F02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19527	0	9.31035232543945	
C01-1336.a1	C01-1336.e1	C01-1336	AB174	C01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20022	0	0.062825545668602	
C01-1336.a2	C01-1336.e1	C01-1336	AB174	C01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20022	0	0	
C01-1336.a3	C01-1336.e1	C01-1336	AB174	C01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20022	0	0	
C01-1336.a4	C01-1336.e1	C01-1336	AB174	C01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20022	0	13.6437063217163	
C01-1336.a5	C01-1336.e1	C01-1336	AB174	C01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20022	0	0	
G01-1022.a1	G01-1022.e1	G01-1022	AB174	A02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	16257	0	6.90516328811646	
G01-1022.a2	G01-1022.e1	G01-1022	AB174	A02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	16257	0	0	
G01-1022.a3	G01-1022.e1	G01-1022	AB174	A02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	16257	0	0	
G01-1022.a4	G01-1022.e1	G01-1022	AB174	A02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	16257	0	0	
G01-1022.a5	G01-1022.e1	G01-1022	AB174	A02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	16257	0	0	
K01-0471.a1	K01-0471.e1	K01-0471	AB174	E02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	21792	0	9.90926456451416	
K01-0471.a2	K01-0471.e1	K01-0471	AB174	E02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21792	0	0	
K01-0471.a3	K01-0471.e1	K01-0471	AB174	E02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	21792	0	0	
K01-0471.a4	K01-0471.e1	K01-0471	AB174	E02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	21792	0	0	
K01-0471.a5	K01-0471.e1	K01-0471	AB174	E02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	21792	0	0	
C01-1335.a1	C01-1335.e1	C01-1335	AB174	B01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19625	0	0.320515125989914	
C01-1335.a2	C01-1335.e1	C01-1335	AB174	B01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19625	0	12.1079206466675	
C01-1335.a3	C01-1335.e1	C01-1335	AB174	B01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19625	0	0	
C01-1335.a4	C01-1335.e1	C01-1335	AB174	B01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19625	0	0	
