sample_id	sample_status	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_ph_lab	sample_comment
M04-0429		FarmingtonWWTP-01	Routine Surveillance	Pass	01/11/2026 08:00 AM	01/12/2026 08:00 AM	01/12/2026 08:00 AM		0.078	LS	01/15/2026		
Q01-1007		MadisonWWTP-01	Routine Surveillance	Fail: Missing Required Data	12/21/2025 08:00 AM	12/29/2025 08:00 AM	12/29/2025 08:00 AM			LS	01/08/2026		
K01-0545		ParkersburgWWTP-01	Routine Surveillance	Pass	12/29/2025 06:30 AM	12/30/2025 06:30 AM	12/30/2025 06:30 AM		6.60	LS	01/08/2026		
A01-1452		StarCityWWTP-01	Routine Surveillance	Pass	01/07/2026 12:00 AM	01/08/2026 12:00 AM	01/08/2026 12:00 AM		9.1	LS	01/15/2026		
H01-1015		MoundsvilleWWTP-01	Routine Surveillance	Pass	01/11/2026 08:00 AM	01/12/2026 08:00 AM	01/12/2026 08:00 AM		1.3	LS	01/15/2026		
U01-1004		WhiteOakWWTP-01	Routine Surveillance	Pass	12/21/2025 12:00 AM	12/22/2025 12:00 AM	12/22/2025 12:00 AM		0.592	LS	01/08/2026		
R02-1005		ElkinsWWTP-01	Routine Surveillance	Pass	12/28/2025 08:00 AM	12/29/2025 08:00 AM	12/29/2025 08:00 AM		3.12	LS	01/15/2026		
D01-0610		CharlesTownWWTP-01	Routine Surveillance	Pass	12/22/2025 07:00 AM	12/23/2025 07:00 AM	12/23/2025 07:00 AM		1.27	LS	01/08/2026		
L01-1003		WestUnionWWTP-01	Routine Surveillance	Pass	01/11/2026 07:00 AM	01/12/2026 07:00 AM	01/12/2026 07:00 AM		0.254	LS	01/15/2026		
A01-1450		StarCityWWTP-01	Routine Surveillance	Pass	01/03/2026 12:00 AM	01/04/2026 12:00 AM	01/04/2026 12:00 AM		8.6	LS	01/08/2026		
T01-0422		PointPleasantWWTP-01	Routine Surveillance	Pass	01/11/2026 12:00 PM	01/12/2026 12:00 PM	01/12/2026 12:15 PM		0.2	LS	01/15/2026		
C01-1144		WheelingWWTP-01	Routine Surveillance	Pass	12/18/2025 08:00 AM	12/19/2025 08:00 AM	12/19/2025 08:00 AM		8.8	LS	01/08/2026		
A01-1445		StarCityWWTP-01	Routine Surveillance	Pass	12/28/2025 12:00 AM	12/29/2025 12:00 AM	12/29/2025 12:00 AM		11.7	LS	01/08/2026		
C01-1141		WheelingWWTP-01	Routine Surveillance	Pass	12/15/2025 08:00 AM	12/16/2025 08:00 AM	12/16/2025 08:00 AM		7.5	LS	01/08/2026		
C01-1145		WheelingWWTP-01	Routine Surveillance	Pass	12/21/2025 08:00 AM	12/22/2025 08:00 AM	12/22/2025 08:00 AM		7.8	LS	01/08/2026		
A01-1441		StarCityWWTP-01	Routine Surveillance	Pass	12/23/2025 12:00 AM	12/24/2025 12:00 AM	12/25/2025 12:00 AM		9.0	LS	01/08/2026		
D01-1006		CharlesTownWWTP-01	Routine Surveillance	Pass	01/12/2026 07:00 AM	01/13/2026 07:00 AM	01/13/2026 07:00 AM		1.21	LS	01/15/2026		
F01-1004		WestonWWTP-01	Routine Surveillance	Pass	01/11/2026 12:00 AM	01/12/2026 12:00 AM	01/12/2026 12:00 AM		1.5	LS	01/15/2026		
J01-1005		AlpineLakeWWTP-01	Routine Surveillance	Pass	12/28/2025 07:30 AM	12/29/2025 07:30 AM	12/29/2025 07:30 AM		0.196	LS	01/08/2026		
C01-1150		WheelingWWTP-01	Routine Surveillance	Pass	12/24/2025 08:00 AM	12/25/2025 08:00 AM	12/25/2025 08:00 AM		6.7	LS	01/08/2026		
